,Rk,Player,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Rk,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Rk,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Rk,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Rk,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,VAL
20,58,Markel Bergara,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,58,0.6,2,1,0,1,1,1,2,50.0,1,15,5,33.3,1,11,3,3,0,0,3,2,4,1,0,58,0.6,15,21,71.4,247,86,8,11,72.7,5,7,71.4,1,1,100.0,0,0.0,0.0,0,3,1,1,2,58,0.6,31,2,6,18,8,1,30,0,0,,0,0,10,43,14,2,0,0,1,1,18,14,77.8,3,58,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,76
21,59,Pedro Bigas,6.5,2,0.31,2,0,0,0,0,0,1,0.15,1,0,0,0,0,0,59,6.5,6,5,2,2,2,3,6,50.0,3,48,24,50.0,25,21,2,3,0,0,3,8,14,25,0,59,6.5,249,307,81.1,6243,1798,52,58,89.7,120,140,85.7,75,105,71.4,1,0.3,+0.7,1,29,2,0,34,59,6.5,352,26,124,234,10,3,341,1,1,100.0,1,0,209,1478,706,27,2,0,1,1,203,196,96.6,3,59,6.5,0,3,0,0.0,0.46,0.00,0.00,,9.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2,73
22,60,Alejandro Blanco,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,60,0.2,0,0,0,0,0,0,2,0.0,2,4,1,25.0,1,2,1,1,0,0,1,0,0,1,0,60,0.2,4,6,66.7,37,10,4,6,66.7,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,60,0.2,10,2,4,4,3,1,10,1,1,100.0,1,0,8,35,20,0,0,0,2,1,9,7,77.8,3,60,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,65
23,62,Pablo de Blasis,16.9,36,2.13,34,0,0,0,1,1,0,0.00,0,0,0,0,0,0,62,16.9,29,17,14,9,6,14,43,32.6,29,294,91,31.0,78,135,81,29,0,0,29,11,40,30,0,62,16.9,554,793,69.9,10301,4298,230,269,85.5,256,337,76.0,65,159,40.9,0,2.1,-2.1,21,68,31,16,75,62,16.9,962,26,142,495,380,31,862,8,21,38.1,9,2,596,2709,1528,77,29,1,24,18,711,588,82.7,76,62,16.9,2,12,8,66.7,0.71,0.47,0.17,0.25,18.4,0,0,0,1.1,1.1,0.09,+0.9,+0.9,74
24,70,Martin Braithwaite,15.6,23,1.48,18,0,2,1,2,0,6,0.39,4,0,0,1,1,0,70,15.6,7,5,1,3,3,0,9,0.0,9,274,69,25.2,7,124,143,7,0,0,7,1,8,3,0,70,15.6,184,249,73.9,2473,381,119,150,79.3,53,71,74.6,7,13,53.8,5,1.9,+3.1,14,11,4,0,9,70,15.6,423,6,25,185,251,63,417,18,37,48.6,24,1,291,1221,612,27,14,9,50,28,664,313,47.1,125,70,15.6,4,29,10,34.5,1.86,0.64,0.14,0.40,11.7,0,0,0,3.6,3.6,0.13,+0.4,+0.4,75
25,71,Darko Brašanac,17.6,24,1.37,18,2,1,1,2,0,1,0.06,1,0,0,0,0,0,71,17.6,32,19,13,15,4,12,34,35.3,22,320,76,23.8,83,185,52,22,3,0,19,13,45,25,0,71,17.6,494,617,80.1,8965,2371,202,239,84.5,227,266,85.3,56,87,64.4,1,0.4,+0.6,9,44,5,1,44,71,17.6,777,39,184,463,178,22,758,13,20,65.0,14,0,479,2626,1298,58,16,2,14,16,534,425,79.6,46,71,17.6,0,8,1,12.5,0.46,0.06,0.00,0.00,15.0,0,0,0,0.5,0.5,0.06,-0.5,-0.5,75
26,74,Burgui,6.2,24,3.89,16,3,2,0,3,0,2,0.32,2,0,0,0,0,0,74,6.2,7,5,4,2,1,1,4,25.0,3,101,25,24.8,25,54,22,5,1,0,4,0,7,0,1,74,6.2,167,212,78.8,2930,961,85,98,86.7,57,72,79.2,22,35,62.9,0,0.6,-0.6,11,17,7,2,23,74,6.2,262,2,40,130,108,9,242,7,14,50.0,7,0,190,1029,644,36,7,3,8,3,238,180,75.6,35,74,6.2,1,8,2,25.0,1.30,0.32,0.13,0.50,22.1,0,0,0,0.9,0.9,0.12,+0.1,+0.1,74
27,75,Sergio Busquets,30.2,51,1.69,45,0,0,1,2,3,5,0.17,4,0,0,0,0,1,75,30.2,80,57,27,40,13,37,99,37.4,62,758,217,28.6,189,413,156,71,10,0,61,35,115,34,0,75,30.2,2163,2397,90.2,40275,10802,877,952,92.1,960,1039,92.4,280,331,84.6,1,1.2,-0.2,15,239,15,0,167,75,30.2,2673,90,598,1792,411,11,2589,17,21,81.0,17,1,1927,6747,3439,112,31,0,15,19,2095,2000,95.5,37,75,30.2,0,6,0,0.0,0.20,0.00,0.00,,24.6,0,0,0,0.4,0.4,0.07,-0.4,-0.4,89
28,76,Unai Bustinza,22.5,31,1.38,23,4,0,0,2,2,1,0.04,1,0,0,0,0,0,76,22.5,44,32,29,13,2,18,44,40.9,26,205,59,28.8,109,73,23,37,13,0,24,35,79,152,1,76,22.5,708,1011,70.0,15323,6592,228,269,84.8,334,416,80.3,135,304,44.4,1,0.6,+0.4,11,66,13,7,67,76,22.5,1294,137,556,620,186,17,1108,3,5,60.0,3,0,590,3521,2038,63,20,1,7,9,613,573,93.5,16,76,22.5,0,5,1,20.0,0.22,0.04,0.00,0.00,21.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2,76
29,77,Erick Cabaco,18.1,9,0.50,9,0,0,0,0,0,1,0.06,1,0,0,0,0,0,77,18.1,27,15,23,4,0,10,30,33.3,20,163,51,31.3,100,51,12,37,10,0,27,23,50,79,0,77,18.1,522,712,73.3,11223,5303,182,206,88.3,231,289,79.9,100,199,50.3,0,0.2,-0.2,3,60,6,0,58,77,18.1,896,108,430,453,51,10,847,3,4,75.0,3,0,474,2811,1725,61,6,0,1,3,505,492,97.4,10,77,18.1,2,10,3,30.0,0.55,0.17,0.20,0.67,11.7,0,0,0,1.1,1.1,0.11,+0.9,+0.9,75
