,ID,NAME,NATION,POSITION,TEAM,AGE,90S,SCA,SCA90,GCA,GCA90,TACKLES,TACKLESWIN,VSDRIBLETACKLE,%VSDRIBLETACKLE,BLOCKS,INTERCEPTIONS,TOTALPASSES,%TOTALPASSES,ASSIST,SHOTPASSES,TOTALTOUCHES,TOTALDRIBBLES,%TOTALDRIBBLES,DISTANCE,GOALS,SHOTS,SHOTSONTARGET,FREEKICKS,VAL
257,408,Fernando Pacheco,es ESP,GK,Alavés,25,37.3,5,0.13,1,0.03,0,0,0,,1,3,580,54.9,0,0,1146,1,100.0,3589,0,0,0,0,79
258,410,Ruben Pardo,es ESP,MF,Real Sociedad,24,2.5,8,3.26,1,0.41,1,0,1,50.0,5,5,107,76.4,1,4,155,5,60.0,500,0,1,0,0,75
259,411,Nicolas Pareja,ar ARG,DF,Sevilla,33,4.5,5,1.11,1,0.22,11,8,3,60.0,8,13,197,86.4,0,1,289,0,,710,0,3,0,1,78
260,412,Daniel Parejo,es ESP,MF,Valencia,28,33.3,150,4.50,16,0.48,88,57,31,35.6,37,34,2090,81.6,7,70,2821,60,76.7,7813,7,39,15,22,86
261,413,Thomas Partey,gh GHA,MFDF,Atlético Madrid,24,26.4,38,1.44,6,0.23,94,64,33,47.8,32,53,1182,82.3,0,12,1734,53,84.9,5528,3,22,3,4,82
262,415,Gabriel Paulista,br BRA,DF,Valencia,26,28.7,8,0.28,1,0.03,47,27,32,69.6,30,51,1197,86.8,0,3,1678,5,100.0,4840,0,16,4,1,82
263,417,Alfonso Pedraza,es ESP,MFDF,Alavés,21,27.1,62,2.29,8,0.30,57,40,19,33.9,39,32,454,63.1,5,30,1069,98,43.9,4768,3,43,13,0,76
264,418,Ruben Peña,es ESP,DFMF,Eibar,26,19.2,44,2.29,3,0.16,41,28,20,47.6,24,30,664,69.5,0,17,1152,40,50.0,3108,1,12,2,0,77
265,422,Hernan Perez,py PAR,MF,Alavés,28,4.2,14,3.38,0,0.00,11,8,2,10.5,5,3,101,67.8,0,6,213,24,45.8,1072,0,8,2,0,77
266,423,Hernan Perez,py PAR,MFDF,Espanyol,28,1.6,3,1.90,0,0.00,4,3,2,66.7,1,1,47,59.5,0,0,99,4,25.0,329,0,0,0,0,77
267,425,Ruben Perez,es ESP,MF,Leganés,28,28.0,38,1.36,3,0.11,99,61,48,47.5,30,77,1140,76.0,0,14,1769,35,77.1,4225,0,17,1,0,75
268,426,Pablo Piatti,ar ARG,MFFW,Espanyol,28,19.3,79,4.09,7,0.36,45,32,17,29.8,28,22,428,63.0,3,43,928,49,49.0,3178,2,29,4,1,79
269,427,Tomas Pina Isla,es ESP,MF,Alavés,29,26.5,32,1.21,2,0.08,71,49,20,50.0,28,43,795,81.1,0,10,1205,22,86.4,2661,1,13,3,0,76
270,428,Gerard Pique,es ESP,DF,Barcelona,30,29.2,19,0.65,1,0.03,31,22,16,44.4,40,30,1669,89.3,0,6,2132,16,81.3,7916,2,18,5,0,87
271,430,Carles Planas,es ESP,DF,Girona,26,2.1,5,2.36,1,0.47,5,2,3,50.0,1,5,74,69.8,1,4,125,1,0.0,223,0,1,0,0,75
272,431,Pere Pons,es ESP,MF,Girona,24,28.4,47,1.65,7,0.25,80,54,23,26.4,28,30,824,79.8,2,11,1301,57,71.9,3625,0,14,4,0,78
273,432,Francisco Portillo,es ESP,MFFW,Getafe,27,27.3,64,2.34,7,0.26,38,23,11,24.4,25,22,739,72.5,3,23,1276,76,47.4,3294,2,18,6,0,75
274,433,Portu,es ESP,MF,Girona,25,33.3,92,2.76,16,0.48,30,24,8,24.2,14,12,477,71.0,5,39,984,118,42.4,5645,11,49,25,0,80
275,434,Sergio Postigo,es ESP,DF,Levante,28,26.9,18,0.67,1,0.04,36,23,18,56.3,27,40,768,79.9,0,5,1227,11,81.8,3289,1,7,2,0,75
276,435,Dario Poveda,es ESP,MF,Villarreal,20,0.0,0,0.00,0,0.00,1,0,1,100.0,0,0,1,50.0,0,0,4,0,,5,0,0,0,0,61
277,438,Dani Raba,es ESP,MFFW,Villarreal,21,12.3,49,3.97,4,0.32,25,21,9,20.0,21,17,374,74.7,4,25,674,45,60.0,2349,2,18,5,1,75
278,439,Nemanja Radoja,rs SRB,MF,Celta Vigo,24,12.3,17,1.38,3,0.24,18,16,3,37.5,8,10,523,85.6,1,7,683,16,68.8,2156,0,4,2,0,77
