,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,,-additional
145,Aritz Elustondo,es ESP,DF,Real Sociedad,26,1994,20.9,31,17,21,7,3,15,25,60.0,10,152,53,34.9,81,64,7,18,5,0,13,8,39,124,0,Matches,f7dc2ae5
146,Rodrigo Ely,br BRA,DF,Alavés,26,1993,5.2,7,3,5,2,0,3,4,75.0,1,28,14,50.0,12,15,1,5,1,0,4,2,9,33,1,Matches,fd47b4f2
147,Emerson,br BRA,DF,Betis,21,1999,33.2,96,60,65,24,7,43,82,52.4,39,535,161,30.1,260,192,83,63,7,0,56,67,163,116,1,Matches,df8b52a5
148,Youssef En-Nesyri,ma MAR,FW,Sevilla,23,1997,25.7,25,17,3,12,10,5,22,22.7,17,396,88,22.2,33,174,189,18,1,0,17,8,33,21,0,Matches,04e17fd5
149,Sergi Enrich,es ESP,FW,Eibar,30,1990,15.6,22,15,6,7,9,7,21,33.3,14,313,103,32.9,26,150,137,15,0,0,15,11,33,8,0,Matches,bb4b1242
150,Aarón Escandell,es ESP,GK,Granada,24,1995,5.0,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,0,0,0,0,0,0,2,0,Matches,67669ce7
151,Dani Escriche,es ESP,FWMF,Huesca,22,1998,9.5,16,13,9,1,6,4,12,33.3,8,142,31,21.8,43,67,32,11,0,0,11,8,24,4,0,Matches,5a36f180
152,Sergio Escudero,es ESP,DF,Sevilla,30,1989,6.3,12,8,5,6,1,5,9,55.6,4,88,24,27.3,28,39,21,9,2,0,7,7,19,13,0,Matches,b0616e3d
153,Alfonso Espino,uy URU,DF,Cádiz,28,1992,28.9,92,58,66,25,1,44,92,47.8,48,525,140,26.7,310,174,41,71,7,1,64,46,138,86,0,Matches,db001fa9
154,Vicente Esquerdo,es ESP,MF,Valencia,21,1999,2.6,7,6,4,2,1,1,4,25.0,3,46,21,45.7,23,18,5,9,3,0,6,5,12,6,0,Matches,ced26057
155,Pervis Estupiñán,ec ECU,DF,Villarreal,22,1998,13.0,37,24,19,14,4,12,18,66.7,6,175,70,40.0,80,65,30,21,2,0,19,29,66,23,2,Matches,d38fdf53
156,Xabier Etxeita,es ESP,DF,Getafe,32,1987,9.8,12,6,7,5,0,5,14,35.7,9,77,29,37.7,46,25,6,11,3,0,8,10,22,77,1,Matches,4a895384
157,Edu Expósito,es ESP,MF,Eibar,23,1996,27.3,43,27,15,25,3,18,59,30.5,41,443,150,33.9,105,244,94,40,4,0,36,32,75,23,1,Matches,283c7121
158,Jokin Ezkieta,es ESP,GK,Athletic Club,23,1996,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches,0f7dbaf6
159,Fali,es ESP,DFMF,Cádiz,26,1993,29.3,43,21,26,14,3,10,29,34.5,19,280,81,28.9,147,115,18,45,16,1,29,24,67,148,0,Matches,72a84002
160,Ansu Fati,es ESP,FW,Barcelona,17,2002,4.8,8,3,2,3,3,2,5,40.0,3,80,18,22.5,18,29,33,8,0,0,8,1,9,1,0,Matches,0ba976e4
161,Nabil Fekir,fr FRA,MFFW,Betis,27,1993,29.1,45,36,12,16,17,7,28,25.0,21,604,170,28.1,65,338,201,31,1,0,30,12,57,3,0,Matches,bece776f
162,Felipe,br BRA,DF,Atlético Madrid,31,1989,22.9,38,23,27,11,0,16,23,69.6,7,184,54,29.3,104,69,11,38,17,0,21,43,81,159,0,Matches,51a3c4c8
163,João Félix,pt POR,FWMF,Atlético Madrid,20,1999,17.5,9,6,2,6,1,4,13,30.8,9,182,59,32.4,15,98,69,7,0,0,7,9,18,3,0,Matches,8aafd64f
164,Aitor Fernández,es ESP,GK,Levante,29,1991,29.0,0,0,0,0,0,0,0,,0,6,1,16.7,6,0,0,1,0,0,1,0,0,4,0,Matches,a01c3d54
165,Álex Fernández,es ESP,MF,Cádiz,27,1992,21.6,25,15,9,13,3,9,32,28.1,23,328,69,21.0,119,166,43,23,1,0,22,21,46,24,0,Matches,aa677a35
166,Álvaro Fernández,es ESP,GK,Huesca,22,1998,22.0,0,0,0,0,0,0,2,0.0,2,5,3,60.0,3,2,0,0,0,0,0,0,0,1,0,Matches,f127d782
167,Andrés Fernández,es ESP,GK,Huesca,33,1986,16.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,2,Matches,307fcd26
168,Augusto Fernández,ar ARG,MF,Cádiz,34,1986,4.1,11,6,2,9,0,6,17,35.3,11,120,32,26.7,49,56,15,5,1,0,4,11,22,8,0,Matches,78c40e94
169,Carlos Fernández,es ESP,FWMF,Real Sociedad,24,1996,4.3,2,1,0,2,0,1,7,14.3,6,111,25,22.5,13,61,37,8,2,0,6,3,5,6,0,Matches,e08647d6
170,Carlos Fernández,es ESP,FW,Sevilla,24,1996,1.6,1,0,1,0,0,0,2,0.0,2,17,1,5.9,2,4,11,3,1,0,2,1,2,0,0,Matches,e08647d6
171,Joaquín Fernández,es ESP,DF,Valladolid,24,1996,23.0,29,18,20,9,0,7,22,31.8,15,181,63,34.8,104,65,12,40,15,0,25,33,62,151,1,Matches,b86a64b2
172,Fernando,br BRA,MF,Sevilla,33,1987,28.3,68,52,33,29,6,30,56,53.6,26,365,131,35.9,156,164,45,45,9,0,36,40,108,78,0,Matches,41f32541
173,David Ferreiro,es ESP,MFFW,Huesca,32,1988,28.1,30,14,15,9,6,6,44,13.6,38,490,107,21.8,121,243,126,44,1,0,43,18,48,11,0,Matches,8970907e
174,Facundo Ferreyra,ar ARG,FW,Celta Vigo,29,1991,3.3,2,2,0,2,0,1,1,100.0,0,67,12,17.9,9,38,20,4,0,0,4,0,2,2,0,Matches,b39a793e
175,Fidel,es ESP,MFDF,Elche,30,1989,26.6,48,30,31,11,6,25,82,30.5,57,407,109,26.8,177,162,68,42,4,0,38,13,61,23,0,Matches,eb82b6f1
176,Junior Firpo,es ESP,DF,Barcelona,23,1996,3.2,2,2,1,1,0,0,1,0.0,1,32,12,37.5,17,11,4,5,3,0,2,4,6,6,0,Matches,24f59bb2
177,Kingsley Fobi,gh GHA,DF,Granada,21,1998,0.5,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,1,0,0,1,0,0,1,0,Matches,954c26c9
178,Ramón Folch,es ESP,MF,Elche,30,1989,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches,dc56efc9
179,José Fontán,es ESP,DF,Celta Vigo,20,2000,7.2,14,7,10,4,0,3,11,27.3,8,97,24,24.7,42,49,6,11,3,0,8,9,23,45,0,Matches,1827a42d
180,Dimitri Foulquier,fr FRA,DF,Granada,27,1993,29.6,44,28,26,14,4,18,32,56.3,14,330,98,29.7,150,140,40,50,6,0,44,32,76,81,1,Matches,45e17712
181,Juan Foyth,ar ARG,DFMF,Villarreal,22,1998,13.0,42,26,25,11,6,9,31,29.0,22,198,65,32.8,81,101,16,35,8,1,27,19,61,31,1,Matches,6c7762c3
182,Jorge de Frutos,es ESP,MFFW,Levante,23,1997,24.3,51,31,16,25,10,13,50,26.0,37,467,125,26.8,119,194,154,36,3,0,33,24,75,21,1,Matches,38ce1150
183,Ramiro Funes Mori,ar ARG,DF,Villarreal,29,1991,8.1,11,3,6,5,0,4,6,66.7,2,56,16,28.6,34,20,2,10,6,0,4,14,25,52,0,Matches,89cbc961
184,Javi Galán,es ESP,DF,Huesca,25,1994,34.1,109,74,57,47,5,42,83,50.6,41,556,187,33.6,256,242,58,69,4,0,65,28,137,56,0,Matches,a4b00319
185,Enric Gallego,es ESP,FW,Osasuna,33,1986,9.0,9,6,4,2,3,0,10,0.0,10,175,46,26.3,17,76,82,8,0,0,8,1,10,7,0,Matches,82e9b89d
186,Kévin Gameiro,fr FRA,FW,Valencia,33,1987,12.0,7,6,4,1,2,3,10,30.0,7,184,45,24.5,32,79,73,12,1,0,11,0,7,1,0,Matches,42276181
187,Aleix García,es ESP,MF,Eibar,23,1997,4.9,6,4,2,4,0,2,8,25.0,6,75,21,28.0,10,46,19,7,0,0,7,4,10,3,0,Matches,a10361d2
188,Borja García,es ESP,MFFW,Huesca,29,1990,12.4,15,10,5,8,2,3,11,27.3,8,115,47,40.9,33,59,23,13,0,0,13,10,25,6,0,Matches,e7f4603c
189,Dani García,es ESP,MF,Athletic Club,30,1990,21.3,34,23,10,21,3,14,44,31.8,30,282,93,33.0,68,165,49,29,7,0,22,29,63,56,0,Matches,240d3a0b
190,David García,es ESP,DF,Osasuna,26,1994,35.0,41,29,21,18,2,17,30,56.7,13,302,129,42.7,143,151,8,51,20,0,31,53,94,267,0,Matches,3e42f707
191,Manu García,es ESP,MF,Alavés,34,1986,12.5,26,18,9,15,2,6,32,18.8,26,250,72,28.8,85,140,25,24,3,0,21,13,39,30,0,Matches,05a4465d
192,Raúl García,es ESP,FWMF,Athletic Club,34,1986,19.4,37,21,8,20,9,6,24,25.0,18,375,95,25.3,50,171,154,40,3,0,37,10,47,18,0,Matches,b418dbd4
193,Raúl García,es ESP,DFMF,Valladolid,31,1989,5.6,9,3,5,4,0,5,14,35.7,9,66,20,30.3,20,34,12,11,1,0,10,5,14,18,0,Matches,1a317a1b
194,Rubén García,es ESP,MFFW,Osasuna,27,1993,30.2,50,39,28,17,5,17,42,40.5,25,422,134,31.8,137,182,103,54,3,0,51,27,77,28,0,Matches,5c96b017
195,Sergi García,es ESP,MF,Alavés,21,1999,0.2,1,1,0,1,0,0,1,0.0,1,3,1,33.3,0,1,2,0,0,0,0,0,1,0,0,Matches,a039d52e
196,Unai García,es ESP,DF,Osasuna,28,1992,13.8,27,14,17,7,3,8,17,47.1,9,107,32,29.9,53,48,6,18,8,0,10,17,44,55,0,Matches,4a633cfe
197,Mario Gaspar,es ESP,DF,Villarreal,29,1990,20.6,51,19,18,27,6,16,38,42.1,22,293,74,25.3,112,132,49,43,4,0,39,26,77,71,0,Matches,fb5d47b3
198,Paulo Gazzaniga,ar ARG,GK,Elche,28,1992,8.0,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,0,0,0,0,0,0,0,0,Matches,63d17038
199,David Gil,es ESP,GK,Cádiz,26,1994,4.0,0,0,0,0,0,0,1,0.0,1,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,Matches,fea23125
200,Álvaro Giménez,es ESP,FWMF,Cádiz,29,1991,4.5,3,2,2,1,0,1,4,25.0,3,59,17,28.8,7,27,25,5,0,0,5,3,6,0,0,Matches,18017beb
201,Dani Gómez,es ESP,FW,Levante,22,1998,18.5,6,5,3,2,1,0,10,0.0,10,285,49,17.2,21,140,124,8,1,0,7,3,9,3,0,Matches,0e5ddc7c
202,Ibai Gómez,es ESP,MF,Athletic Club,30,1989,4.7,4,3,1,2,1,2,8,25.0,6,74,13,17.6,18,38,18,9,0,0,9,2,6,3,0,Matches,9d2a3d5f
203,Maxi Gómez,uy URU,FW,Valencia,23,1996,29.9,11,9,3,7,1,3,14,21.4,11,250,58,23.2,18,120,112,13,4,0,9,2,13,30,0,Matches,4c2e9442
204,Moi Gómez,es ESP,MFFW,Villarreal,26,1994,28.5,24,15,8,10,6,10,40,25.0,30,372,110,29.6,81,169,122,33,3,0,30,21,45,17,0,Matches,5a626448
205,Papu Gómez,ar ARG,MFFW,Sevilla,32,1988,10.2,13,7,4,6,3,7,20,35.0,13,153,48,31.4,33,68,52,15,1,0,14,19,32,6,0,Matches,6e4df551
206,Sergi Gómez,es ESP,DF,Sevilla,28,1992,8.0,6,3,4,2,0,1,2,50.0,1,51,18,35.3,28,23,0,9,3,0,6,3,9,34,0,Matches,bc6f5f06
207,Sergio Gómez,es ESP,MFFW,Huesca,19,2000,8.8,28,17,13,12,3,11,24,45.8,13,162,49,30.2,58,68,36,16,0,0,16,18,46,4,0,Matches,01e5f06e
208,Maxime Gonalons,fr FRA,MF,Granada,31,1989,16.4,65,50,26,34,5,22,52,42.3,30,315,104,33.0,121,165,29,17,0,0,17,24,89,19,0,Matches,b8c1de25
209,Bruno González,es ESP,DF,Valladolid,30,1990,25.1,32,15,22,10,0,14,30,46.7,16,249,78,31.3,148,96,5,35,17,0,18,29,61,147,3,Matches,f11fe861
210,Diego González,es ESP,DF,Elche,25,1995,14.2,16,12,9,5,2,4,11,36.4,7,130,44,33.8,82,45,3,27,11,1,16,15,31,84,2,Matches,4ac7608e
211,Sergio González,es ESP,MFDF,Cádiz,23,1997,1.0,0,0,0,0,0,0,2,0.0,2,18,4,22.2,3,15,0,0,0,0,0,2,2,2,0,Matches,5dd16ace
212,Urko González,es ESP,MF,Real Sociedad,19,2001,0.5,0,0,0,0,0,0,1,0.0,1,10,3,30.0,0,9,1,1,1,0,0,0,0,1,0,Matches,c4f5eb61
213,Andoni Gorosabel,es ESP,DF,Real Sociedad,23,1996,26.5,70,35,40,25,5,30,80,37.5,50,356,113,31.7,150,133,73,33,2,0,31,26,96,54,0,Matches,6f5f82c0
214,Antoine Griezmann,fr FRA,FWMF,Barcelona,29,1991,28.9,39,28,12,17,10,10,42,23.8,32,423,133,31.4,65,202,156,32,4,0,28,13,52,14,0,Matches,df69b544
215,Andrés Guardado,mx MEX,MF,Betis,33,1986,14.6,29,16,12,12,5,8,24,33.3,16,202,52,25.7,72,101,29,15,4,0,11,22,51,23,1,Matches,ef322658
216,Sergi Guardiola,es ESP,FW,Valladolid,29,1991,19.9,11,7,1,3,7,3,27,11.1,24,418,106,25.4,32,206,180,16,2,0,14,9,20,16,1,Matches,32974271
217,Nemanja Gudelj,rs SRB,MFDF,Sevilla,28,1991,11.6,27,16,17,10,0,8,15,53.3,7,160,54,33.8,68,77,15,16,7,0,9,14,41,40,2,Matches,0076ab7f
218,Gonçalo Guedes,pt POR,MFFW,Valencia,23,1996,25.4,26,17,11,9,6,9,40,22.5,31,336,87,25.9,93,132,111,31,1,0,30,19,45,5,0,Matches,e6bc67d7
219,Ander Guevara,es ESP,MF,Real Sociedad,23,1997,23.1,45,31,19,23,3,15,41,36.6,26,391,105,26.9,124,216,51,32,5,0,27,23,68,46,1,Matches,8e48dc61
220,John Guidetti,se SWE,FWMF,Alavés,28,1992,2.3,2,2,0,2,0,1,3,33.3,2,47,9,19.1,4,24,19,0,0,0,0,0,2,1,0,Matches,99bebd12
221,Hugo Guillamón,es ESP,DF,Valencia,20,2000,22.1,24,14,17,7,0,6,18,33.3,12,159,47,29.6,95,63,1,33,15,0,18,23,47,149,4,Matches,f7c12fbf
222,Jon Guridi,es ESP,MF,Real Sociedad,25,1995,9.2,19,12,6,10,3,4,16,25.0,12,159,43,27.0,29,95,35,10,1,0,9,9,28,8,0,Matches,4c0a6a48
223,Raúl Guti,es ESP,MF,Elche,23,1996,31.8,40,26,15,20,5,11,40,27.5,29,417,115,27.6,161,194,62,42,2,0,40,43,83,30,0,Matches,0b2c8585
224,Marcos Mauro López Gutiérrez,ar ARG,DF,Cádiz,29,1991,20.3,25,15,18,7,0,7,18,38.9,11,132,47,35.6,86,44,2,26,14,0,12,19,44,89,0,Matches,b3b62f94
225,Miguel Gutiérrez,es ESP,DF,Real Madrid,19,2001,3.5,4,2,1,3,0,1,5,20.0,4,64,17,26.6,20,31,13,7,1,0,6,6,10,9,0,Matches,7e98cff1
226,Munir El Haddadi,ma MAR,FW,Sevilla,24,1995,9.4,11,9,5,5,1,2,19,10.5,17,160,39,24.4,38,73,49,8,0,0,8,3,14,5,0,Matches,8696bc90
227,Eden Hazard,be BEL,FWMF,Real Madrid,29,1991,5.9,1,0,0,1,0,1,5,20.0,4,34,5,14.7,8,17,9,2,1,0,1,4,5,1,0,Matches,a39bb753
228,Mario Hermoso,es ESP,DF,Atlético Madrid,25,1995,28.6,61,37,45,12,4,37,67,55.2,30,261,77,29.5,150,91,20,47,10,0,37,34,95,85,0,Matches,555f3a0b
229,Aridane Hernández,gq EQG,DF,Osasuna,31,1989,22.5,31,21,21,9,1,10,16,62.5,6,133,45,33.8,75,50,8,38,19,0,19,44,75,173,0,Matches,132ac341
230,Héctor Herrera,mx MEX,MF,Atlético Madrid,30,1990,7.6,17,13,8,6,3,6,18,33.3,12,139,41,29.5,56,73,10,12,2,0,10,9,26,18,0,Matches,a8542814
231,Sergio Herrera,es ESP,GK,Osasuna,27,1993,32.9,0,0,0,0,0,0,2,0.0,2,3,0,0.0,3,0,0,1,0,0,1,0,0,2,0,Matches,a4995f48
232,Yangel Herrera,ve VEN,MF,Granada,22,1998,25.7,59,42,22,31,6,14,57,24.6,43,586,152,25.9,167,315,104,59,15,2,44,26,85,47,0,Matches,e778654a
233,Pablo Hervías,es ESP,DFMF,Valladolid,27,1993,13.4,26,17,9,14,3,15,31,48.4,16,142,43,30.3,58,66,18,11,0,0,11,16,42,15,0,Matches,ba5a9545
234,Jordan Holsgrove,sct SCO,MF,Celta Vigo,20,1999,1.6,5,1,3,1,1,2,3,66.7,1,43,13,30.2,14,17,12,2,0,0,2,0,5,2,0,Matches,8a6daac3
235,Vicente Iborra,es ESP,MF,Villarreal,32,1988,10.3,18,13,9,7,2,5,19,26.3,14,126,39,31.0,50,61,15,19,8,0,11,5,23,28,0,Matches,ad1ffcfd
236,Oussama Idrissi,ma MAR,FWMF,Sevilla,24,1996,0.3,2,1,0,1,1,0,1,0.0,1,7,3,42.9,2,3,2,1,0,0,1,1,3,0,0,Matches,34caa4b3
237,Iglesias,es ESP,DFMF,Getafe,22,1998,6.7,28,16,13,10,5,6,13,46.2,7,158,41,25.9,52,72,34,15,2,0,13,12,40,32,0,Matches,974322dc
238,Borja Iglesias,es ESP,FW,Betis,27,1993,15.7,1,0,0,0,1,0,6,0.0,6,228,52,22.8,17,108,103,11,3,0,8,5,6,13,0,Matches,75645f0e
239,Asier Illarramendi,es ESP,MF,Real Sociedad,30,1990,3.7,4,3,1,3,0,1,4,25.0,3,37,14,37.8,8,18,11,6,1,0,5,5,9,9,0,Matches,5ce0b5ba
240,Pablo Insua,es ESP,DF,Huesca,26,1993,17.6,30,18,22,8,0,12,32,37.5,20,227,79,34.8,151,70,6,20,8,0,12,15,45,81,0,Matches,4b5e7e90
241,Takashi Inui,jp JPN,MFFW,Eibar,32,1988,20.2,16,10,5,5,6,5,19,26.3,14,312,97,31.1,65,99,148,27,0,0,27,15,31,5,0,Matches,61bd33d0
242,Alexander Isak,se SWE,FW,Real Sociedad,20,1999,26.0,14,10,0,5,9,2,9,22.2,7,290,80,27.6,12,83,195,14,2,0,12,5,19,6,0,Matches,8e92be30
243,Isco,es ESP,MFFW,Real Madrid,28,1992,10.1,9,8,4,4,1,1,15,6.7,14,144,42,29.2,28,79,37,10,1,0,9,5,14,4,0,Matches,a0b4bb3e
244,Jairo Izquierdo,es ESP,MFDF,Cádiz,26,1993,14.2,22,6,11,7,4,10,37,27.0,27,188,48,25.5,72,79,37,18,1,0,17,16,38,12,0,Matches,2ceb58ab
245,Saidy Janko,gm GAM,DF,Valladolid,24,1995,13.6,21,14,17,3,1,7,20,35.0,13,171,44,25.7,86,58,27,24,2,0,22,24,45,47,0,Matches,689c9cf4
246,Adnan Januzaj,be BEL,FWMF,Real Sociedad,25,1995,11.3,12,6,2,8,2,1,6,16.7,5,107,30,28.0,11,62,34,9,2,0,7,5,17,5,0,Matches,4737cebe
247,Jason,es ESP,MFDF,Valencia,26,1994,4.9,11,6,5,4,2,3,16,18.8,13,98,24,24.5,29,51,18,10,2,0,8,9,20,6,1,Matches,9038c2a1
248,Luis Javier Suárez,co COL,FWMF,Granada,22,1997,18.5,24,15,7,8,9,4,17,23.5,13,270,63,23.3,30,121,119,16,2,0,14,10,34,14,0,Matches,eeba07f8
249,Joaquín,es ESP,FWMF,Betis,39,1981,14.3,7,5,2,4,1,3,12,25.0,9,152,35,23.0,33,76,43,18,1,0,17,14,21,10,0,Matches,4c5b14d2
250,John Joe,ie IRL,MFDF,Getafe,16,2003,0.7,1,1,0,1,0,0,0,,0,24,4,16.7,4,17,3,1,0,0,1,1,2,0,0,Matches,fd01216a
251,Frenkie de Jong,nl NED,MFDF,Barcelona,23,1997,35.0,41,26,19,18,4,11,37,29.7,26,360,114,31.7,99,183,78,32,3,0,29,37,78,31,1,Matches,1bacc518
252,Luuk de Jong,nl NED,FW,Sevilla,29,1990,14.1,10,5,4,3,3,1,5,20.0,4,194,62,32.0,13,86,95,12,3,0,9,3,13,14,0,Matches,abb3bb95
253,Jens Jønsson,dk DEN,MF,Cádiz,27,1993,29.1,56,41,29,24,3,17,44,38.6,27,480,143,29.8,179,249,52,52,9,0,43,47,103,51,0,Matches,53520a67
254,Jony,es ESP,MFFW,Osasuna,29,1991,9.7,6,6,1,3,2,3,14,21.4,11,119,31,26.1,22,53,44,8,0,0,8,11,17,3,0,Matches,244f57b9
255,Joan Jordán,es ESP,MF,Sevilla,26,1994,26.7,50,28,15,28,7,18,78,23.1,60,480,128,26.7,113,290,77,28,1,0,27,19,69,35,1,Matches,2a0c8ba4
256,Josan,es ESP,MFDF,Elche,30,1989,21.4,40,26,26,14,0,10,36,27.8,26,282,67,23.8,122,111,49,35,2,0,33,21,61,28,1,Matches,5b28b2f6
257,Willian José,br BRA,FW,Real Sociedad,28,1991,7.7,4,4,0,4,0,2,4,50.0,2,100,35,35.0,3,37,60,5,1,0,4,1,5,5,0,Matches,d87e2cae
258,Joselu,es ESP,FW,Alavés,30,1990,33.6,29,21,10,16,3,7,28,25.0,21,560,131,23.4,52,275,233,37,6,0,31,17,46,56,0,Matches,6265208f
259,Josema,es ESP,DF,Elche,24,1996,21.8,49,29,37,12,0,7,18,38.9,11,241,83,34.4,160,68,13,42,10,0,32,34,83,98,0,Matches,ed3f5f4c
260,Jota,pt POR,MFFW,Valladolid,21,1999,7.4,12,3,3,6,3,4,7,57.1,3,84,20,23.8,11,50,23,8,0,0,8,5,17,2,1,Matches,2b65fe46
261,Jota,es ESP,MF,Alavés,29,1991,15.5,23,14,8,10,5,4,24,16.7,20,306,73,23.9,78,157,71,16,0,0,16,16,39,11,0,Matches,9f351459
262,Luka Jović,rs SRB,FWMF,Real Madrid,22,1997,1.7,0,0,0,0,0,0,0,,0,15,2,13.3,2,2,11,0,0,0,0,0,0,0,0,Matches,4d8cd038
263,Juanmi,es ESP,FWMF,Betis,27,1993,6.7,11,8,2,4,5,5,16,31.3,11,134,39,29.1,21,63,50,3,0,0,3,3,14,2,1,Matches,84399660
264,Vinicius Júnior,br BRA,FW,Real Madrid,20,2000,21.9,34,24,15,9,10,9,45,20.0,36,445,119,26.7,109,175,161,40,2,0,38,8,42,7,0,Matches,7111d552
265,Damian Kądzior,pl POL,FWMF,Eibar,28,1992,2.2,1,1,0,1,0,1,6,16.7,5,34,8,23.5,4,15,15,1,0,0,1,0,1,0,0,Matches,bb6c6331
266,Lee Kangin,kr KOR,FWMF,Valencia,19,2001,14.0,18,13,9,5,4,5,32,15.6,27,321,73,22.7,59,171,91,10,0,0,10,2,20,1,0,Matches,8455ad90
267,Stephane Keller,cm CMR,DF,Alavés,18,2001,0.2,1,1,0,1,0,0,0,,0,2,1,50.0,1,1,0,1,0,0,1,0,1,0,0,Matches,89d1e9fa
268,Kenedy,br BRA,FWMF,Granada,24,1996,16.3,28,18,15,8,5,4,25,16.0,21,259,64,24.7,81,96,82,32,4,0,28,21,49,16,1,Matches,5eebbfdf
269,Kike,es ESP,FW,Eibar,30,1989,34.3,26,22,7,11,8,3,25,12.0,22,556,178,32.0,32,209,315,35,4,0,31,8,34,26,0,Matches,e897d8ba
270,Giorgi Kochorashvili,ge GEO,MF,Levante,21,1999,0.3,0,0,0,0,0,0,0,,0,6,3,50.0,1,4,1,0,0,0,0,0,0,0,0,Matches,3da1b6ed
271,Kenan Kodro,ba BIH,FWMF,Athletic Club,26,1993,0.5,0,0,0,0,0,0,1,0.0,1,9,1,11.1,1,4,4,0,0,0,0,0,0,0,0,Matches,e82d2807
272,Kenan Kodro,ba BIH,FWMF,Valladolid,26,1993,5.1,0,0,0,0,0,0,2,0.0,2,59,11,18.6,6,19,34,1,0,0,1,4,4,5,0,Matches,e82d2807
273,Koba Koindredi,fr FRA,MF,Valencia,18,2001,0.2,2,2,1,1,0,0,1,0.0,1,4,3,75.0,1,3,0,0,0,0,0,0,2,1,0,Matches,3a58d075
274,Koke,es ESP,MF,Atlético Madrid,28,1992,33.6,78,53,27,38,13,30,107,28.0,77,616,177,28.7,202,316,98,46,6,0,40,38,116,44,0,Matches,55126f3b
275,Geoffrey Kondogbia,cf CTA,MF,Valencia,27,1993,4.9,15,10,7,7,1,5,15,33.3,10,118,37,31.4,49,64,5,4,1,0,3,4,19,13,0,Matches,cce181df
276,Geoffrey Kondogbia,cf CTA,MFFW,Atlético Madrid,27,1993,6.8,29,20,8,20,1,9,18,50.0,9,170,57,33.5,56,98,16,13,5,0,8,9,38,12,0,Matches,cce181df
277,Youssouf Koné,ml MLI,DFFW,Elche,25,1995,0.8,2,0,1,0,1,0,1,0.0,1,9,2,22.2,8,0,1,0,0,0,0,1,3,0,0,Matches,e6eadfb8
278,Jules Koundé,fr FRA,DF,Sevilla,21,1998,33.1,31,23,16,14,1,10,23,43.5,13,242,110,45.5,124,93,25,42,19,1,23,42,73,140,1,Matches,4d1666ff
279,Toni Kroos,de GER,MF,Real Madrid,30,1990,23.5,39,25,15,21,3,8,51,15.7,43,433,114,26.3,118,240,75,32,6,0,26,22,61,11,2,Matches,6ce1f46f
280,Takefusa Kubo,jp JPN,MFFW,Getafe,19,2001,8.9,8,5,1,5,2,1,15,6.7,14,193,51,26.4,28,87,78,22,0,0,22,12,20,7,0,Matches,16aa3654
281,Takefusa Kubo,jp JPN,MFFW,Villarreal,19,2001,3.3,5,3,2,1,2,2,4,50.0,2,49,17,34.7,13,20,16,1,0,0,1,2,7,1,0,Matches,16aa3654
282,Kuki,es ESP,MF,Valladolid,22,1998,0.3,1,1,0,0,1,0,0,,0,10,2,20.0,0,9,1,1,0,0,1,0,1,0,0,Matches,2b6dc4d7
283,Víctor Laguardia,es ESP,DF,Alavés,30,1989,29.2,22,16,17,4,1,12,35,34.3,23,188,74,39.4,114,68,6,47,16,1,31,26,48,183,1,Matches,b7c99b9b
284,Diego Lainez,mx MEX,FW,Betis,20,2000,9.6,13,9,6,4,3,5,15,33.3,10,140,36,25.7,40,66,34,17,0,0,17,16,29,6,0,Matches,bf12926c
285,Toni Lato,es ESP,DF,Valencia,22,1997,8.1,10,6,6,1,3,8,18,44.4,10,134,39,29.1,68,43,23,27,1,0,26,11,21,17,0,Matches,8e088e04
286,Lauti,uy URU,MFFW,Celta Vigo,19,2001,0.2,0,0,0,0,0,0,0,,0,3,1,33.3,0,1,2,0,0,0,0,0,0,1,0,Matches,f934c5c9
287,Robin Le Normand,fr FRA,DF,Real Sociedad,23,1996,30.5,40,21,29,11,0,12,21,57.1,9,250,73,29.2,147,95,8,43,23,0,20,34,74,178,2,Matches,9a64e67e
288,Jeremías Ledesma,ar ARG,GK,Cádiz,27,1993,32.0,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,2,0,0,2,0,0,2,6,Matches,6c4776b1
289,Florian Lejeune,fr FRA,DF,Alavés,29,1991,33.5,48,29,38,10,0,20,30,66.7,10,263,93,35.4,171,82,10,54,24,2,30,58,106,228,0,Matches,6eaed4eb
290,Iñigo Lekue,es ESP,DF,Athletic Club,27,1993,7.2,13,8,8,5,0,5,13,38.5,8,110,28,25.5,46,41,23,18,3,0,15,6,19,21,0,Matches,59b7d823
291,Thomas Lemar,fr FRA,MFFW,Atlético Madrid,24,1995,15.2,33,19,11,18,4,11,29,37.9,18,311,85,27.3,66,166,79,26,2,0,24,12,45,7,0,Matches,4dbd0916
