,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,,-additional
139,Idrissa Doumbia,ci CIV,MF,Huesca,22,1998,8.7,477,25,129,312,79,1,470,15,18,83.3,15,0,363,1971,756,31,8,0,8,7,371,339,91.4,4,Matches,685857dc
140,Domingos Duarte,pt POR,DF,Granada,25,1995,26.3,1185,168,616,609,36,14,1138,4,5,80.0,4,0,626,3819,2209,52,7,0,3,6,650,627,96.5,2,Matches,93090f69
141,Óscar Duarte,cr CRC,DF,Levante,31,1989,22.9,1423,272,837,629,30,16,1379,3,4,75.0,3,0,807,3932,1967,43,3,0,2,2,944,913,96.7,4,Matches,aa0ac32d
142,Rubén Duarte,es ESP,DF,Alavés,24,1995,28.3,1656,105,521,830,369,12,1344,5,11,45.5,6,1,713,3260,1688,82,25,1,8,7,808,755,93.4,15,Matches,1fe0492d
143,Unai Dufur,es ESP,DF,Eibar,21,1999,0.7,51,2,14,25,12,0,36,0,0,,0,0,22,84,31,1,0,0,1,0,22,21,95.5,0,Matches,c261b5dd
144,Hugo Duro,es ESP,FW,Real Madrid,20,1999,0.6,11,0,0,3,8,3,11,0,0,,0,0,6,28,6,0,0,0,2,0,24,8,33.3,4,Matches,37e103f8
145,Aritz Elustondo,es ESP,DF,Real Sociedad,26,1994,20.9,1405,151,663,818,62,15,1357,6,6,100.0,6,0,940,6396,3902,114,13,2,6,2,969,950,98.0,9,Matches,f7dc2ae5
146,Rodrigo Ely,br BRA,DF,Alavés,26,1993,5.2,209,37,126,78,10,6,196,1,1,100.0,1,0,88,252,98,2,1,0,1,0,101,98,97.0,4,Matches,fd47b4f2
147,Emerson,br BRA,DF,Betis,21,1999,33.2,2387,128,631,1106,775,85,2046,23,54,42.6,27,2,1386,6329,3551,174,57,20,44,31,1558,1407,90.3,88,Matches,df8b52a5
148,Youssef En-Nesyri,ma MAR,FW,Sevilla,23,1997,25.7,722,22,60,348,339,144,691,15,35,42.9,17,1,347,1248,598,42,8,12,76,31,1034,496,48.0,140,Matches,04e17fd5
149,Sergi Enrich,es ESP,FW,Eibar,30,1990,15.6,640,11,38,285,333,96,618,12,19,63.2,14,1,319,1238,424,22,6,1,40,17,953,453,47.5,130,Matches,bb4b1242
150,Aarón Escandell,es ESP,GK,Granada,24,1995,5.0,177,141,175,2,0,0,120,0,0,,0,0,69,435,321,0,0,0,0,0,54,54,100.0,0,Matches,67669ce7
151,Dani Escriche,es ESP,FWMF,Huesca,22,1998,9.5,408,7,63,240,147,27,401,19,47,40.4,22,4,299,1528,891,37,18,5,23,20,430,284,66.0,53,Matches,5a36f180
152,Sergio Escudero,es ESP,DF,Sevilla,30,1989,6.3,459,18,135,235,117,9,397,2,4,50.0,2,0,278,1132,691,30,15,0,5,5,325,309,95.1,13,Matches,b0616e3d
153,Alfonso Espino,uy URU,DF,Cádiz,28,1992,28.9,1370,91,556,624,253,16,1114,16,38,42.1,20,2,624,2938,1499,57,17,3,18,19,614,540,87.9,29,Matches,db001fa9
154,Vicente Esquerdo,es ESP,MF,Valencia,21,1999,2.6,128,8,40,73,19,0,126,2,4,50.0,2,0,77,273,82,5,0,0,1,2,89,80,89.9,3,Matches,ced26057
155,Pervis Estupiñán,ec ECU,DF,Villarreal,22,1998,13.0,845,45,256,353,295,37,744,14,23,60.9,14,0,522,2529,1569,75,34,10,23,27,552,486,88.0,64,Matches,d38fdf53
156,Xabier Etxeita,es ESP,DF,Getafe,32,1987,9.8,400,49,192,205,19,8,386,2,2,100.0,2,0,167,942,462,13,2,0,2,1,168,158,94.0,4,Matches,4a895384
157,Edu Expósito,es ESP,MF,Eibar,23,1996,27.3,1465,28,205,845,505,53,1404,42,62,67.7,46,2,922,4552,2373,117,47,9,36,37,1065,906,85.1,94,Matches,283c7121
158,Jokin Ezkieta,es ESP,GK,Athletic Club,23,1996,1.0,23,20,23,0,0,0,15,0,0,,0,0,11,44,19,0,0,0,0,0,9,9,100.0,0,Matches,0f7dbaf6
159,Fali,es ESP,DFMF,Cádiz,26,1993,29.3,996,171,427,514,89,20,932,8,9,88.9,8,0,439,2012,1006,36,8,1,8,6,499,468,93.8,9,Matches,72a84002
160,Ansu Fati,es ESP,FW,Barcelona,17,2002,4.8,278,0,14,108,181,44,270,15,25,60.0,17,1,230,1369,908,57,19,16,5,15,301,229,76.1,49,Matches,0ba976e4
161,Nabil Fekir,fr FRA,MFFW,Betis,27,1993,29.1,1771,3,105,857,933,124,1620,60,87,69.0,62,1,1403,7282,3874,220,73,34,67,95,1708,1342,78.6,199,Matches,bece776f
162,Felipe,br BRA,DF,Atlético Madrid,31,1989,22.9,1303,204,730,603,36,22,1269,3,3,100.0,3,0,733,4145,1815,26,2,0,1,3,786,757,96.3,5,Matches,51a3c4c8
163,João Félix,pt POR,FWMF,Atlético Madrid,20,1999,17.5,906,7,82,503,397,60,887,34,66,51.5,35,5,726,3196,1896,108,39,8,38,38,983,753,76.6,120,Matches,8aafd64f
164,Aitor Fernández,es ESP,GK,Levante,29,1991,29.0,995,881,990,6,0,0,727,0,0,,0,0,452,1582,992,0,0,0,0,1,435,433,99.5,0,Matches,a01c3d54
165,Álex Fernández,es ESP,MF,Cádiz,27,1992,21.6,1072,28,208,604,318,21,919,13,24,54.2,17,1,639,3291,1663,70,22,3,18,25,753,619,82.2,31,Matches,aa677a35
166,Álvaro Fernández,es ESP,GK,Huesca,22,1998,22.0,878,785,870,5,3,3,639,0,0,,0,0,406,1735,911,0,0,0,0,0,426,423,99.3,0,Matches,f127d782
167,Andrés Fernández,es ESP,GK,Huesca,33,1986,16.0,601,554,599,3,0,0,438,3,3,100.0,3,0,306,1259,652,0,0,0,0,0,287,287,100.0,0,Matches,307fcd26
168,Augusto Fernández,ar ARG,MF,Cádiz,34,1986,4.1,159,7,48,99,18,2,157,0,0,,0,0,83,387,187,8,2,0,2,6,78,71,91.0,4,Matches,78c40e94
169,Carlos Fernández,es ESP,FWMF,Real Sociedad,24,1996,4.3,188,8,27,108,64,18,187,3,8,37.5,3,0,127,563,203,14,7,3,13,12,203,135,66.5,36,Matches,e08647d6
170,Carlos Fernández,es ESP,FW,Sevilla,24,1996,1.6,57,1,7,32,20,6,55,1,2,50.0,1,0,33,184,86,5,1,1,4,3,58,39,67.2,12,Matches,e08647d6
171,Joaquín Fernández,es ESP,DF,Valladolid,24,1996,23.0,1019,188,609,410,42,14,991,2,2,100.0,2,0,494,2549,1038,17,2,0,3,7,561,529,94.3,2,Matches,b86a64b2
172,Fernando,br BRA,MF,Sevilla,33,1987,28.3,1787,146,610,1070,187,18,1745,14,23,60.9,15,2,1165,4685,2149,48,13,1,14,19,1276,1204,94.4,27,Matches,41f32541
173,David Ferreiro,es ESP,MFFW,Huesca,32,1988,28.1,1340,17,183,606,654,50,1180,41,63,65.1,45,3,933,6194,3246,194,52,15,40,28,1122,854,76.1,142,Matches,8970907e
174,Facundo Ferreyra,ar ARG,FW,Celta Vigo,29,1991,3.3,93,1,9,47,42,10,88,1,3,33.3,1,0,49,138,43,2,0,1,6,9,161,64,39.8,17,Matches,b39a793e
175,Fidel,es ESP,MFDF,Elche,30,1989,26.6,1529,37,380,773,501,50,1336,48,83,57.8,51,6,1029,5445,3367,166,56,18,43,50,1208,1019,84.4,84,Matches,eb82b6f1
176,Junior Firpo,es ESP,DF,Barcelona,23,1996,3.2,268,14,75,127,90,13,245,3,7,42.9,3,1,179,832,498,24,9,4,4,1,213,197,92.5,18,Matches,24f59bb2
177,Kingsley Fobi,gh GHA,DF,Granada,21,1998,0.5,15,2,7,6,3,0,10,0,0,,0,0,6,46,26,0,0,0,0,0,5,5,100.0,1,Matches,954c26c9
178,Ramón Folch,es ESP,MF,Elche,30,1989,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Matches,dc56efc9
179,José Fontán,es ESP,DF,Celta Vigo,20,2000,7.2,434,55,195,214,58,6,408,4,4,100.0,4,0,244,1569,1012,27,13,0,1,2,279,267,95.7,2,Matches,1827a42d
180,Dimitri Foulquier,fr FRA,DF,Granada,27,1993,29.6,1396,81,427,707,357,25,1069,26,54,48.1,28,3,673,3463,2287,91,41,6,19,32,693,613,88.5,32,Matches,45e17712
181,Juan Foyth,ar ARG,DFMF,Villarreal,22,1998,13.0,868,52,306,526,110,6,806,26,30,86.7,26,1,560,2976,1686,58,19,0,4,9,571,546,95.6,6,Matches,6c7762c3
182,Jorge de Frutos,es ESP,MFFW,Levante,23,1997,24.3,1040,20,190,428,518,100,980,48,87,55.2,57,6,726,3972,2435,112,40,18,62,48,949,707,74.5,172,Matches,38ce1150
183,Ramiro Funes Mori,ar ARG,DF,Villarreal,29,1991,8.1,571,79,298,326,31,5,552,0,3,0.0,1,0,385,3512,2341,56,16,0,1,1,401,390,97.3,2,Matches,89cbc961
184,Javi Galán,es ESP,DF,Huesca,25,1994,34.1,2260,107,761,1085,615,28,1894,114,147,77.6,118,2,1540,8993,5310,209,57,13,48,50,1459,1314,90.1,61,Matches,a4b00319
185,Enric Gallego,es ESP,FW,Osasuna,33,1986,9.0,389,9,39,189,172,37,378,3,11,27.3,3,1,162,604,252,12,2,1,37,12,534,296,55.4,69,Matches,82e9b89d
186,Kévin Gameiro,fr FRA,FW,Valencia,33,1987,12.0,374,4,26,169,193,36,352,4,12,33.3,6,0,223,895,368,24,6,5,31,24,531,286,53.9,95,Matches,42276181
187,Aleix García,es ESP,MF,Eibar,23,1997,4.9,303,4,39,191,92,6,283,2,3,66.7,2,0,187,912,406,22,9,1,2,2,228,214,93.9,6,Matches,a10361d2
188,Borja García,es ESP,MFFW,Huesca,29,1990,12.4,699,6,95,418,240,25,685,22,31,71.0,24,0,536,2412,1176,58,20,1,19,31,626,537,85.8,63,Matches,e7f4603c
189,Dani García,es ESP,MF,Athletic Club,30,1990,21.3,1208,53,265,851,146,8,1176,8,11,72.7,9,1,695,3171,1535,63,13,0,4,10,786,745,94.8,15,Matches,240d3a0b
190,David García,es ESP,DF,Osasuna,26,1994,35.0,1712,211,831,920,47,28,1665,1,1,100.0,1,0,731,4163,1866,46,2,0,7,1,795,777,97.7,4,Matches,3e42f707
191,Manu García,es ESP,MF,Alavés,34,1986,12.5,521,25,123,341,77,13,510,2,6,33.3,4,1,281,1079,467,18,6,0,8,11,370,307,83.0,36,Matches,05a4465d
192,Raúl García,es ESP,FWMF,Athletic Club,34,1986,19.4,843,16,88,452,338,82,829,8,17,47.1,9,4,389,1557,746,36,17,5,28,22,942,585,62.1,124,Matches,b418dbd4
193,Raúl García,es ESP,DFMF,Valladolid,31,1989,5.6,346,18,80,166,118,4,278,7,9,77.8,7,1,173,789,440,20,9,1,4,2,202,177,87.6,14,Matches,1a317a1b
194,Rubén García,es ESP,MFFW,Osasuna,27,1993,30.2,1539,40,224,734,681,59,1402,27,55,49.1,31,5,917,4234,2130,115,49,7,55,38,1400,1008,72.0,166,Matches,5c96b017
195,Sergi García,es ESP,MF,Alavés,21,1999,0.2,11,0,0,7,4,1,8,0,0,,0,0,4,49,26,2,0,0,1,0,7,5,71.4,1,Matches,a039d52e
196,Unai García,es ESP,DF,Osasuna,28,1992,13.8,538,78,271,281,20,10,511,4,4,100.0,4,0,271,1666,957,31,3,0,5,0,260,250,96.2,0,Matches,4a633cfe
197,Mario Gaspar,es ESP,DF,Villarreal,29,1990,20.6,1347,82,414,642,372,36,1131,10,18,55.6,10,1,733,3219,1984,88,34,3,15,7,906,803,88.6,48,Matches,fb5d47b3
198,Paulo Gazzaniga,ar ARG,GK,Elche,28,1992,8.0,253,225,250,3,0,0,162,0,0,,0,0,114,591,362,0,0,0,0,0,86,86,100.0,0,Matches,63d17038
199,David Gil,es ESP,GK,Cádiz,26,1994,4.0,132,116,132,0,0,0,73,0,0,,0,0,39,357,263,0,0,0,0,0,31,31,100.0,0,Matches,fea23125
200,Álvaro Giménez,es ESP,FWMF,Cádiz,29,1991,4.5,138,0,12,62,72,11,135,0,1,0.0,0,0,69,206,64,2,2,0,18,6,216,101,46.8,22,Matches,18017beb
201,Dani Gómez,es ESP,FW,Levante,22,1998,18.5,549,7,44,249,298,80,529,34,56,60.7,37,2,429,2033,1188,63,22,20,45,49,805,415,51.6,138,Matches,0e5ddc7c
202,Ibai Gómez,es ESP,MF,Athletic Club,30,1989,4.7,198,7,32,72,100,7,178,4,6,66.7,4,0,122,504,189,8,3,0,5,4,178,135,75.8,18,Matches,9d2a3d5f
203,Maxi Gómez,uy URU,FW,Valencia,23,1996,29.9,824,30,77,450,335,80,796,12,21,57.1,14,1,450,1778,818,49,20,4,61,32,1159,630,54.4,123,Matches,4c2e9442
204,Moi Gómez,es ESP,MFFW,Villarreal,26,1994,28.5,1561,29,256,793,637,71,1490,44,72,61.1,45,4,1176,6188,2874,149,55,11,23,34,1433,1180,82.3,160,Matches,5a626448
205,Papu Gómez,ar ARG,MFFW,Sevilla,32,1988,10.2,721,12,85,413,279,28,690,13,21,61.9,13,1,572,3395,1937,101,32,12,16,23,653,572,87.6,59,Matches,6e4df551
206,Sergi Gómez,es ESP,DF,Sevilla,28,1992,8.0,594,105,362,249,2,1,586,0,0,,0,0,419,1707,781,12,0,0,0,0,480,475,99.0,0,Matches,bc6f5f06
207,Sergio Gómez,es ESP,MFFW,Huesca,19,2000,8.8,558,15,130,255,217,11,485,15,26,57.7,17,1,373,2000,1095,53,16,2,17,12,426,346,81.2,27,Matches,01e5f06e
208,Maxime Gonalons,fr FRA,MF,Granada,31,1989,16.4,885,43,253,597,94,12,865,17,27,63.0,18,2,584,3185,1269,44,14,1,10,16,557,527,94.6,10,Matches,b8c1de25
209,Bruno González,es ESP,DF,Valladolid,30,1990,25.1,1006,147,579,455,15,9,960,4,5,80.0,4,0,449,2697,1127,18,2,0,2,1,506,489,96.6,4,Matches,f11fe861
210,Diego González,es ESP,DF,Elche,25,1995,14.2,862,145,514,372,24,10,843,6,6,100.0,6,0,580,3233,1740,48,1,0,3,2,600,592,98.7,1,Matches,4ac7608e
211,Sergio González,es ESP,MFDF,Cádiz,23,1997,1.0,40,0,15,22,6,2,39,0,0,,0,0,17,57,37,1,1,0,2,3,25,22,88.0,3,Matches,5dd16ace
212,Urko González,es ESP,MF,Real Sociedad,19,2001,0.5,35,2,7,29,0,0,35,0,0,,0,0,27,164,81,4,0,0,1,0,28,27,96.4,2,Matches,c4f5eb61
213,Andoni Gorosabel,es ESP,DF,Real Sociedad,23,1996,26.5,1688,72,439,842,511,41,1397,11,23,47.8,11,0,1014,4594,2665,112,43,5,27,16,1076,976,90.7,68,Matches,6f5f82c0
214,Antoine Griezmann,fr FRA,FWMF,Barcelona,29,1991,28.9,1618,23,146,660,887,200,1571,25,38,65.8,27,1,1119,4675,1927,101,36,11,39,24,1670,1318,78.9,262,Matches,df69b544
215,Andrés Guardado,mx MEX,MF,Betis,33,1986,14.6,922,37,211,602,175,8,908,9,11,81.8,9,0,650,3319,1794,76,21,1,13,15,693,635,91.6,24,Matches,ef322658
216,Sergi Guardiola,es ESP,FW,Valladolid,29,1991,19.9,773,18,61,341,406,71,762,28,55,50.9,31,2,506,2093,993,57,17,14,61,38,995,592,59.5,143,Matches,32974271
217,Nemanja Gudelj,rs SRB,MFDF,Sevilla,28,1991,11.6,892,60,351,532,61,2,871,3,4,75.0,3,0,595,3139,1414,31,8,0,9,3,689,676,98.1,2,Matches,0076ab7f
218,Gonçalo Guedes,pt POR,MFFW,Valencia,23,1996,25.4,1128,14,138,535,590,84,1091,52,81,64.2,57,1,910,6625,4112,210,84,35,46,61,1132,850,75.1,162,Matches,e6bc67d7
219,Ander Guevara,es ESP,MF,Real Sociedad,23,1997,23.1,1600,79,405,1063,234,13,1577,15,15,100.0,15,0,1086,5465,2966,115,26,2,17,21,1174,1117,95.1,31,Matches,8e48dc61
220,John Guidetti,se SWE,FWMF,Alavés,28,1992,2.3,87,1,4,47,41,10,79,1,2,50.0,1,0,44,138,39,2,2,0,5,1,124,67,54.0,12,Matches,99bebd12
221,Hugo Guillamón,es ESP,DF,Valencia,20,2000,22.1,1395,245,777,675,32,9,1342,2,4,50.0,2,0,868,5232,2944,80,7,0,8,5,921,910,98.8,0,Matches,f7c12fbf
222,Jon Guridi,es ESP,MF,Real Sociedad,25,1995,9.2,453,12,53,282,154,15,448,16,24,66.7,16,0,334,1799,829,46,17,0,12,10,395,319,80.8,33,Matches,4c0a6a48
223,Raúl Guti,es ESP,MF,Elche,23,1996,31.8,1573,43,414,1002,260,29,1539,45,71,63.4,50,9,1121,5269,2174,96,26,5,29,32,1229,1083,88.1,26,Matches,0b2c8585
224,Marcos Mauro López Gutiérrez,ar ARG,DF,Cádiz,29,1991,20.3,664,120,332,330,17,8,630,0,0,,0,0,294,1119,418,11,0,0,1,1,320,307,95.9,1,Matches,b3b62f94
225,Miguel Gutiérrez,es ESP,DF,Real Madrid,19,2001,3.5,321,8,77,155,113,5,284,5,11,45.5,5,0,237,1286,684,32,11,2,3,2,235,222,94.5,10,Matches,7e98cff1
226,Munir El Haddadi,ma MAR,FW,Sevilla,24,1995,9.4,478,7,50,229,226,51,466,14,20,70.0,14,0,365,1724,939,50,13,7,20,25,485,359,74.0,76,Matches,8696bc90
227,Eden Hazard,be BEL,FWMF,Real Madrid,29,1991,5.9,409,2,45,182,216,30,404,17,24,70.8,18,1,346,2196,1210,59,14,7,9,11,418,365,87.3,63,Matches,a39bb753
228,Mario Hermoso,es ESP,DF,Atlético Madrid,25,1995,28.6,2188,130,745,1340,207,22,2004,11,17,64.7,11,0,1364,6501,3495,128,22,1,8,11,1562,1514,96.9,13,Matches,555f3a0b
229,Aridane Hernández,gq EQG,DF,Osasuna,31,1989,22.5,962,150,556,429,20,11,930,5,5,100.0,5,0,403,2173,840,12,2,0,3,4,397,384,96.7,1,Matches,132ac341
230,Héctor Herrera,mx MEX,MF,Atlético Madrid,30,1990,7.6,744,24,167,497,116,6,715,3,5,60.0,3,0,500,2377,1043,41,8,1,3,4,572,553,96.7,9,Matches,a8542814
231,Sergio Herrera,es ESP,GK,Osasuna,27,1993,32.9,1262,1036,1247,16,0,0,843,1,2,50.0,2,0,509,3589,2260,0,0,0,1,0,397,394,99.2,0,Matches,a4995f48
232,Yangel Herrera,ve VEN,MF,Granada,22,1998,25.7,1200,56,245,720,288,55,1196,15,27,55.6,16,2,631,2758,1204,51,21,2,22,24,908,706,77.8,62,Matches,e778654a
233,Pablo Hervías,es ESP,DFMF,Valladolid,27,1993,13.4,858,27,213,408,327,19,724,19,33,57.6,20,0,569,4491,2280,101,42,8,7,17,595,523,87.9,27,Matches,ba5a9545
234,Jordan Holsgrove,sct SCO,MF,Celta Vigo,20,1999,1.6,124,2,23,79,30,1,122,0,1,0.0,0,0,94,402,132,6,3,0,5,2,110,101,91.8,2,Matches,8a6daac3
235,Vicente Iborra,es ESP,MF,Villarreal,32,1988,10.3,688,49,207,441,63,5,673,5,6,83.3,5,0,478,1724,795,30,5,0,5,4,524,502,95.8,9,Matches,ad1ffcfd
236,Oussama Idrissi,ma MAR,FWMF,Sevilla,24,1996,0.3,19,1,3,3,13,3,19,0,1,0.0,0,0,13,79,68,4,0,1,1,2,15,11,73.3,4,Matches,34caa4b3
237,Iglesias,es ESP,DFMF,Getafe,22,1998,6.7,314,17,91,140,98,4,268,4,9,44.4,5,1,139,740,393,22,8,1,3,7,153,118,77.1,12,Matches,974322dc
238,Borja Iglesias,es ESP,FW,Betis,27,1993,15.7,434,17,28,217,205,82,404,8,22,36.4,8,1,253,842,371,23,9,5,42,21,654,308,47.1,90,Matches,75645f0e
239,Asier Illarramendi,es ESP,MF,Real Sociedad,30,1990,3.7,286,7,57,219,32,0,264,0,0,,0,0,194,1212,668,27,0,0,0,0,215,208,96.7,2,Matches,5ce0b5ba
240,Pablo Insua,es ESP,DF,Huesca,26,1993,17.6,902,156,605,322,26,7,878,3,3,100.0,3,0,560,2878,1464,23,5,0,0,2,601,591,98.3,2,Matches,4b5e7e90
241,Takashi Inui,jp JPN,MFFW,Eibar,32,1988,20.2,770,6,70,313,445,48,738,31,63,49.2,35,1,575,3171,1858,111,33,13,48,40,789,545,69.1,93,Matches,61bd33d0
242,Alexander Isak,se SWE,FW,Real Sociedad,20,1999,26.0,728,7,28,354,392,156,676,34,69,49.3,40,3,498,2778,1483,72,25,23,57,38,1105,544,49.2,190,Matches,8e92be30
243,Isco,es ESP,MFFW,Real Madrid,28,1992,10.1,841,11,108,502,313,41,802,29,42,69.0,29,4,680,4020,2221,111,34,7,22,15,793,712,89.8,53,Matches,a0b4bb3e
244,Jairo Izquierdo,es ESP,MFDF,Cádiz,26,1993,14.2,595,32,155,287,212,14,544,15,26,57.7,17,2,390,2774,1732,71,25,5,21,16,445,335,75.3,37,Matches,2ceb58ab
245,Saidy Janko,gm GAM,DF,Valladolid,24,1995,13.6,738,54,228,364,199,16,613,19,31,61.3,20,0,407,2344,1336,72,22,5,13,6,456,385,84.4,36,Matches,689c9cf4
246,Adnan Januzaj,be BEL,FWMF,Real Sociedad,25,1995,11.3,752,8,59,360,400,50,684,41,65,63.1,43,2,588,2944,1834,116,34,12,35,31,695,571,82.2,86,Matches,4737cebe
247,Jason,es ESP,MFDF,Valencia,26,1994,4.9,227,11,58,103,96,7,220,8,20,40.0,10,2,150,969,592,25,15,2,14,10,187,145,77.5,19,Matches,9038c2a1
248,Luis Javier Suárez,co COL,FWMF,Granada,22,1997,18.5,528,13,59,223,284,82,516,23,39,59.0,24,2,348,1915,1172,67,21,11,44,32,794,354,44.6,103,Matches,eeba07f8
249,Joaquín,es ESP,FWMF,Betis,39,1981,14.3,878,10,85,376,476,42,802,20,35,57.1,22,2,619,3159,1870,109,42,7,20,18,784,662,84.4,80,Matches,4c5b14d2
250,John Joe,ie IRL,MFDF,Getafe,16,2003,0.7,38,0,2,15,21,5,38,0,0,,0,0,27,49,22,2,0,0,6,6,32,27,84.4,5,Matches,fd01216a
251,Frenkie de Jong,nl NED,MFDF,Barcelona,23,1997,35.0,3090,115,718,1863,780,97,3050,48,63,76.2,48,4,2371,14453,8123,321,96,12,21,38,2771,2568,92.7,137,Matches,1bacc518
252,Luuk de Jong,nl NED,FW,Sevilla,29,1990,14.1,504,15,47,296,176,63,483,11,15,73.3,12,1,259,698,250,16,4,4,33,23,664,377,56.8,81,Matches,abb3bb95
253,Jens Jønsson,dk DEN,MF,Cádiz,27,1993,29.1,957,70,297,553,149,17,942,14,17,82.4,14,0,458,2597,978,30,13,2,15,9,514,436,84.8,21,Matches,53520a67
254,Jony,es ESP,MFFW,Osasuna,29,1991,9.7,521,5,45,220,297,25,484,17,41,41.5,21,3,373,1605,978,52,15,6,30,29,506,376,74.3,47,Matches,244f57b9
255,Joan Jordán,es ESP,MF,Sevilla,26,1994,26.7,2251,60,474,1348,527,35,2137,37,44,84.1,38,1,1538,6268,3004,131,33,5,26,26,1870,1740,93.0,93,Matches,2a0c8ba4
256,Josan,es ESP,MFDF,Elche,30,1989,21.4,1058,46,321,495,331,29,960,40,75,53.3,43,3,716,4459,2684,119,37,11,31,41,832,686,82.5,54,Matches,5b28b2f6
257,Willian José,br BRA,FW,Real Sociedad,28,1991,7.7,295,8,27,154,128,31,275,4,4,100.0,4,0,200,863,289,13,6,0,16,10,379,235,62.0,42,Matches,d87e2cae
258,Joselu,es ESP,FW,Alavés,30,1990,33.6,1486,57,155,800,565,155,1458,30,65,46.2,35,3,711,2140,737,42,12,11,77,50,1777,1129,63.5,211,Matches,6265208f
259,Josema,es ESP,DF,Elche,24,1996,21.8,1246,138,623,549,139,6,1118,8,11,72.7,8,0,679,3583,2151,57,17,0,7,6,773,736,95.2,16,Matches,ed3f5f4c
260,Jota,pt POR,MFFW,Valladolid,21,1999,7.4,296,4,44,143,136,18,289,17,25,68.0,17,1,222,1314,692,30,13,6,15,8,289,205,70.9,37,Matches,2b65fe46
261,Jota,es ESP,MF,Alavés,29,1991,15.5,646,15,120,380,208,15,596,22,45,48.9,27,3,469,2722,1462,60,25,3,23,21,547,414,75.7,36,Matches,9f351459
262,Luka Jović,rs SRB,FWMF,Real Madrid,22,1997,1.7,52,0,4,21,29,12,49,1,1,100.0,1,0,23,89,49,3,2,2,3,0,65,41,63.1,13,Matches,4d8cd038
263,Juanmi,es ESP,FWMF,Betis,27,1993,6.7,203,4,27,103,81,27,196,4,12,33.3,4,0,127,540,270,12,3,3,10,9,249,146,58.6,35,Matches,84399660
264,Vinicius Júnior,br BRA,FW,Real Madrid,20,2000,21.9,1172,9,136,450,726,149,1158,60,109,55.0,63,6,984,5951,4118,201,79,40,64,47,1203,939,78.1,190,Matches,7111d552
265,Damian Kądzior,pl POL,FWMF,Eibar,28,1992,2.2,91,0,7,23,64,4,75,4,4,100.0,4,0,61,200,80,6,2,0,1,5,81,54,66.7,10,Matches,bb6c6331
266,Lee Kangin,kr KOR,FWMF,Valencia,19,2001,14.0,691,5,76,392,280,20,629,38,47,80.9,40,2,526,2999,1396,85,28,7,22,28,687,512,74.5,48,Matches,8455ad90
267,Stephane Keller,cm CMR,DF,Alavés,18,2001,0.2,14,0,7,6,1,0,14,0,0,,0,0,11,47,23,1,0,0,0,0,10,10,100.0,0,Matches,89d1e9fa
268,Kenedy,br BRA,FWMF,Granada,24,1996,16.3,581,16,112,234,284,31,529,37,70,52.9,37,5,379,1922,1059,47,15,7,41,38,502,312,62.2,52,Matches,5eebbfdf
269,Kike,es ESP,FW,Eibar,30,1989,34.3,1407,30,73,640,766,174,1358,39,68,57.4,42,4,872,3830,1307,80,29,13,144,58,2092,1086,51.9,291,Matches,e897d8ba
270,Giorgi Kochorashvili,ge GEO,MF,Levante,21,1999,0.3,16,0,1,7,9,0,15,1,1,100.0,1,0,12,36,14,2,0,0,0,0,18,13,72.2,1,Matches,3da1b6ed
271,Kenan Kodro,ba BIH,FWMF,Athletic Club,26,1993,0.5,12,0,1,4,7,1,12,0,1,0.0,0,0,8,44,30,1,0,0,1,0,18,12,66.7,5,Matches,e82d2807
272,Kenan Kodro,ba BIH,FWMF,Valladolid,26,1993,5.1,162,5,11,92,64,17,152,3,10,30.0,4,0,97,447,142,10,2,3,7,9,276,121,43.8,19,Matches,e82d2807
273,Koba Koindredi,fr FRA,MF,Valencia,18,2001,0.2,15,0,3,13,0,0,14,0,0,,0,0,9,75,41,2,0,0,0,0,10,10,100.0,0,Matches,3a58d075
274,Koke,es ESP,MF,Atlético Madrid,28,1992,33.6,2766,63,534,1757,592,33,2652,28,40,70.0,31,1,1904,7286,3490,168,30,4,26,27,2219,2079,93.7,56,Matches,55126f3b
275,Geoffrey Kondogbia,cf CTA,MF,Valencia,27,1993,4.9,238,15,78,156,21,0,229,6,9,66.7,6,0,157,906,427,11,2,0,0,3,153,146,95.4,3,Matches,cce181df
276,Geoffrey Kondogbia,cf CTA,MFFW,Atlético Madrid,27,1993,6.8,462,21,119,322,49,4,460,7,11,63.6,7,0,328,1654,938,35,10,1,3,2,322,303,94.1,7,Matches,cce181df
277,Youssouf Koné,ml MLI,DFFW,Elche,25,1995,0.8,39,1,19,6,14,2,28,3,4,75.0,3,0,24,55,19,0,0,0,3,1,27,19,70.4,6,Matches,e6eadfb8
278,Jules Koundé,fr FRA,DF,Sevilla,21,1998,33.1,2691,350,1255,1393,233,54,2651,32,43,74.4,35,1,1915,10199,5840,180,49,5,19,14,2085,2029,97.3,25,Matches,4d1666ff
279,Toni Kroos,de GER,MF,Real Madrid,30,1990,23.5,2339,40,413,1418,635,32,2106,17,23,73.9,17,0,1640,7577,3989,199,50,10,13,11,1905,1836,96.4,38,Matches,6ce1f46f
