,Name,Val
567,Roberto Soldado,76
568,Son,71
569,Suso,81
570,Thibaut Courtois,89
571,Takashi Inui,78
572,Toni Kroos,88
573,Takefusa Kubo,75
574,Thomas Lemar,81
575,Thomas Partey,84
576,Tomaš Vaclik,82
577,Tachi,63
578,Tete Morente,69
579,Thierry Correia,72
580,David Timor,72
581,Tomas Pina Isla,76
582,Toni Lato,73
583,Toni Villa,77
584,Toño,76
585,Francisco Trincão,78
586,Uroš Račić,75
587,Unai Arietaleanizbeaskoa,60
588,,63
589,Unai Garcia,70
590,Unai Lopez,77
591,Unai Nuñez,78
592,Unai Simon,80
593,Unai Vencedor Paris,65
594,,74
595,,65
596,,60
597,,76
598,Mikel Vesga,75
599,Asier Villalibre,71
600,Vinicius Junior,80
601,Vitolo,79
602,Victor Diaz,78
603,,63
604,Victor Rodriguez,74
605,Victor Ruiz,77
606,,68
607,Waldo Rubio,75
608,William Carvalho,80
609,Willian Jose,80
610,Ximo Navarro,74
611,Yann Bodiger,70
612,Yassine Bounou,76
613,,82
614,Youssef En-Nesyri,78
615,Yan Brice Eteki,73
616,,64
617,Yangel Herrera,75
618,Yunus Musah,64
619,Yoshinori Mutō,72
620,,80
621,Yoel,75
622,Yuri Berchiche,83
623,,60
624,Joseba Zaldua,79
625,,60
626,Oier Zarraga,65
627,Igor Zubeldia,79
628,,67
629,Martin Zubimendi,63
630,Alejandro Blanc,67
631,,74
632,Alex Fernandez,74
633,,74
634,Alex Moreno,77
635,Alex Remiro,80
636,,69
637,Alvaro Fernandez,68
638,Alvaro Gimenez,70
639,Alvaro Tejero,74
640,Angel,79
641,Eder Militão,80
642,Oliver Torres,77
643,Oscar Rodriguez Arnaiz,75
644,Oscar Plano,76
