,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
288,Renan Lodi,br BRA,DF,Atlético Madrid,21,1998,26.6,72,46,29,31,12,37,77,48.1,40,363,101,27.8,177,141,45,63,8,0,55,22,94,62,0,Matches,ed9f7cfe
289,Rony Lopes,pt POR,FWMF,Sevilla,23,1995,1.5,1,1,0,1,0,1,2,50.0,1,20,8,40.0,4,14,2,3,0,0,3,1,2,0,0,Matches,7c2965bb
290,Adrián López,es ESP,FWMF,Osasuna,31,1988,16.0,10,6,2,4,4,4,20,20.0,16,184,55,29.9,16,88,80,10,2,0,8,6,16,9,0,Matches,88a359d4
291,David López,es ESP,DFMF,Espanyol,29,1989,27.3,39,30,18,19,2,14,44,31.8,30,383,120,31.3,161,201,21,50,15,0,35,23,62,95,0,Matches,f03f284b
292,Diego López,es ESP,GK,Espanyol,37,1981,35.9,2,2,2,0,0,1,2,50.0,1,7,1,14.3,7,0,0,0,0,0,0,0,2,1,1,Matches,73683fa9
293,Javi López,es ESP,DF,Espanyol,33,1986,15.4,47,26,23,18,6,17,39,43.6,22,197,61,31.0,94,74,29,25,7,0,18,11,58,53,0,Matches,ffad706e
294,Javi López,es ESP,DF,Alavés,17,2002,1.0,5,3,3,2,0,1,2,50.0,1,18,9,50.0,9,8,1,1,1,0,0,0,5,6,0,Matches,e9ada8cf
295,Lluis López,es ESP,DF,Espanyol,22,1997,3.3,2,1,1,1,0,2,3,66.7,1,29,9,31.0,15,14,0,5,0,0,5,1,3,10,0,Matches,a685f013
296,Roberto López,es ESP,MFFW,Real Sociedad,19,2000,0.6,3,2,1,1,1,0,1,0.0,1,16,5,31.3,6,5,5,2,0,0,2,0,3,2,0,Matches,2a8c9f98
297,Unai López,es ESP,MF,Athletic Club,23,1995,19.9,38,27,14,23,1,9,42,21.4,33,339,101,29.8,95,199,45,19,2,0,17,13,51,23,1,Matches,88050721
