,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
258,Lago Junior,ci CIV,MFFW,Mallorca,28,1990,24.3,4,38,8,21.1,1.56,0.33,0.03,0.13,17.5,0,3,3,5.3,3.0,0.08,-1.3,-2.0,Matches,360d70f8
259,Vinicius Júnior,br BRA,FWMF,Real Madrid,19,2000,15.2,3,39,16,41.0,2.57,1.06,0.08,0.19,14.4,0,0,0,4.3,4.3,0.11,-1.3,-1.3,Matches,7111d552
260,Lee Kangin,kr KOR,MFFW,Valencia,18,2001,5.0,2,11,4,36.4,2.18,0.79,0.18,0.50,21.9,0,0,0,0.7,0.7,0.06,+1.3,+1.3,Matches,8455ad90
261,Wilfrid Kaptoum,cm CMR,MF,Betis,23,1996,2.2,0,3,0,0.0,1.39,0.00,0.00,,26.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,d717630e
262,Kenedy,br BRA,MFDF,Getafe,23,1996,6.5,1,14,3,21.4,2.15,0.46,0.07,0.33,19.1,0,0,0,0.8,0.8,0.06,+0.2,+0.2,Matches,5eebbfdf
263,Kike,es ESP,FW,Eibar,29,1989,19.6,5,57,18,31.6,2.90,0.92,0.09,0.28,13.1,0,0,0,6.0,6.0,0.10,-1.0,-1.0,Matches,e897d8ba
264,Giorgi Kochorashvili,ge GEO,MF,Levante,20,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3da1b6ed
265,Kenan Kodro,ba BIH,FWMF,Athletic Club,25,1993,4.0,1,4,2,50.0,0.99,0.49,0.25,0.50,24.9,1,0,0,0.2,0.2,0.05,+0.8,+0.8,Matches,e82d2807
266,Koke,es ESP,MF,Atlético Madrid,27,1992,30.0,4,23,9,39.1,0.77,0.30,0.17,0.44,16.9,0,0,0,2.4,2.3,0.10,+1.6,+1.7,Matches,55126f3b
267,Geoffrey Kondogbia,cf CTA,MF,Valencia,26,1993,20.1,1,17,4,23.5,0.85,0.20,0.06,0.25,22.8,0,0,0,1.0,1.0,0.06,0.0,0.0,Matches,cce181df
268,Jules Koundé,fr FRA,DF,Sevilla,20,1998,25.7,1,22,5,22.7,0.86,0.19,0.05,0.20,11.6,0,0,0,1.9,1.9,0.08,-0.9,-0.9,Matches,4d1666ff
269,Leonardo Koutris,gr GRE,DF,Mallorca,24,1995,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,114b510e
270,İsmail Köybaşı,tr TUR,DFFW,Granada,30,1989,2.6,0,1,0,0.0,0.39,0.00,0.00,,32.1,1,0,0,0.0,0.0,0.02,0.0,0.0,Matches,58640e66
271,Toni Kroos,de GER,MF,Real Madrid,29,1990,29.5,4,57,18,31.6,1.93,0.61,0.07,0.22,22.4,2,0,0,2.8,2.8,0.05,+1.2,+1.2,Matches,6ce1f46f
272,Takefusa Kubo,jp JPN,MFFW,Mallorca,18,2001,25.7,4,54,25,46.3,2.10,0.97,0.07,0.16,19.7,6,0,0,2.8,2.8,0.05,+1.2,+1.2,Matches,16aa3654
273,Víctor Laguardia,es ESP,DF,Alavés,29,1989,29.5,1,8,1,12.5,0.27,0.03,0.13,1.00,14.8,0,0,0,0.8,0.8,0.10,+0.2,+0.2,Matches,b7c99b9b
274,Diego Lainez,mx MEX,MFFW,Betis,19,2000,3.9,0,6,2,33.3,1.55,0.52,0.00,0.00,23.4,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,bf12926c
275,Larra,es ESP,FWMF,Athletic Club,21,1997,2.8,0,3,1,33.3,1.08,0.36,0.00,0.00,20.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,0d690336
276,Toni Lato,es ESP,DFMF,Osasuna,21,1997,5.2,1,4,2,50.0,0.77,0.38,0.25,0.50,13.7,0,0,0,0.3,0.3,0.09,+0.7,+0.7,Matches,8e088e04
277,Robin Le Normand,fr FRA,DF,Real Sociedad,22,1996,26.6,1,12,2,16.7,0.45,0.08,0.08,0.50,10.4,0,0,0,0.9,0.9,0.08,+0.1,+0.1,Matches,9a64e67e
278,Wu Lei,cn CHN,FWMF,Espanyol,27,1991,19.1,4,45,15,33.3,2.36,0.79,0.09,0.27,13.3,0,0,0,5.5,5.5,0.12,-1.5,-1.5,Matches,e3fabb0a
279,Iñigo Lekue,es ESP,FWDF,Athletic Club,26,1993,6.9,0,3,0,0.0,0.43,0.00,0.00,,18.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,59b7d823
280,Thomas Lemar,fr FRA,MF,Atlético Madrid,23,1995,10.3,0,11,3,27.3,1.07,0.29,0.00,0.00,22.7,3,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches,4dbd0916
281,Clément Lenglet,fr FRA,DF,Barcelona,24,1995,26.9,2,10,3,30.0,0.37,0.11,0.20,0.67,13.9,0,0,0,0.8,0.8,0.08,+1.2,+1.2,Matches,4f28a6ff
282,Pedro León,es ESP,MFFW,Eibar,32,1986,21.1,1,38,14,36.8,1.80,0.66,0.03,0.07,20.0,6,0,0,2.9,2.9,0.08,-1.9,-1.9,Matches,d66b9872
283,Sergio León,es ESP,FW,Levante,30,1989,7.5,1,22,5,22.7,2.95,0.67,0.05,0.20,18.9,0,0,0,2.4,2.4,0.11,-1.4,-1.4,Matches,0a0cc13c
284,Lillo,es ESP,DF,Osasuna,30,1989,2.2,0,1,0,0.0,0.46,0.00,0.00,,20.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,476ca810
285,Diego Llorente,es ESP,DF,Real Sociedad,25,1993,25.9,1,10,4,40.0,0.39,0.15,0.10,0.25,13.0,0,0,0,1.0,1.0,0.10,0.0,0.0,Matches,bba30585
286,Marcos Llorente,es ESP,MFFW,Atlético Madrid,24,1995,15.2,3,14,5,35.7,0.92,0.33,0.21,0.60,17.2,0,0,0,1.9,1.9,0.13,+1.1,+1.1,Matches,02c15616
287,Stanislav Lobotka,sk SVK,MF,Celta Vigo,24,1994,15.4,0,7,2,28.6,0.46,0.13,0.00,0.00,26.4,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches,e1cbb531
288,Renan Lodi,br BRA,DF,Atlético Madrid,21,1998,26.6,1,16,3,18.8,0.60,0.11,0.06,0.33,22.6,0,0,0,0.9,0.9,0.06,+0.1,+0.1,Matches,ed9f7cfe
289,Rony Lopes,pt POR,FWMF,Sevilla,23,1995,1.5,0,2,2,100.0,1.34,1.34,0.00,0.00,24.2,1,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,7c2965bb
290,Adrián López,es ESP,FWMF,Osasuna,31,1988,16.0,2,18,7,38.9,1.12,0.44,0.06,0.14,14.6,0,1,1,2.6,1.8,0.10,-0.6,-0.8,Matches,88a359d4
291,David López,es ESP,DFMF,Espanyol,29,1989,27.3,4,15,9,60.0,0.55,0.33,0.27,0.44,13.1,0,0,0,1.1,1.1,0.08,+2.9,+2.9,Matches,f03f284b
292,Diego López,es ESP,GK,Espanyol,37,1981,35.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,73683fa9
293,Javi López,es ESP,DF,Espanyol,33,1986,15.4,0,3,0,0.0,0.20,0.00,0.00,,24.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,ffad706e
294,Javi López,es ESP,DF,Alavés,17,2002,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e9ada8cf
295,Lluis López,es ESP,DF,Espanyol,22,1997,3.3,0,2,0,0.0,0.60,0.00,0.00,,11.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,a685f013
