,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
436,Ivan Rakitić,hr CRO,MF,Barcelona,31,1988,17.7,1,24,7,29.2,1.36,0.40,0.04,0.14,20.1,1,0,0,2.1,2.1,0.09,-1.1,-1.1,Matches,89f951b5
437,Sandro Ramírez,es ESP,FWMF,Valladolid,24,1995,14.5,3,45,17,37.8,3.10,1.17,0.07,0.18,19.1,3,0,1,4.5,3.7,0.08,-1.5,-0.7,Matches,833fb62e
438,Iván Ramis,es ESP,DF,Eibar,34,1984,5.1,1,4,2,50.0,0.79,0.39,0.25,0.50,7.6,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches,d2be40f2
439,Adrián Ramos,co COL,FW,Granada,33,1986,2.5,0,6,2,33.3,2.39,0.80,0.00,0.00,12.8,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches,c693cf7c
440,Sergio Ramos,es ESP,DF,Real Madrid,33,1986,33.5,11,35,11,31.4,1.05,0.33,0.14,0.45,14.2,4,6,6,10.2,5.6,0.16,+0.8,-0.6,Matches,08511d65
441,Raúl,es ESP,FWMF,Betis,18,2000,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,18f0a9f0
442,Recio,es ESP,MF,Leganés,28,1991,17.4,0,23,7,30.4,1.32,0.40,0.00,0.00,22.3,1,0,0,1.2,1.2,0.05,-1.2,-1.2,Matches,54073b28
443,Sergio Reguilón,es ESP,DF,Sevilla,22,1996,27.9,2,29,7,24.1,1.04,0.25,0.07,0.29,16.9,0,0,0,1.9,1.9,0.07,+0.1,+0.1,Matches,3353737a
444,Manolo Reina,es ESP,GK,Mallorca,34,1985,36.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,605eb473
445,Álex Remiro,es ESP,GK,Real Sociedad,24,1995,25.0,0,1,0,0.0,0.04,0.00,0.00,,5.0,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches,374ee424
446,Nico Ribaudo,es ESP,FWMF,Espanyol,18,2001,2.0,0,4,3,75.0,1.98,1.48,0.00,0.00,22.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,ce8039aa
447,Luis Rioja,es ESP,MF,Alavés,25,1993,18.2,0,9,2,22.2,0.50,0.11,0.00,0.00,20.8,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches,eb3dd471
448,Rodrigo Riquelme,es ESP,MF,Atlético Madrid,19,2000,0.1,0,1,0,0.0,6.92,0.00,0.00,,10.3,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches,65154df0
449,Cristian Rivera,es ESP,MF,Leganés,22,1997,3.5,0,1,0,0.0,0.29,0.00,0.00,,18.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,8ef81d2d
450,Rober,es ESP,DF,Levante,24,1995,2.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c00097d2
451,Roberto,es ESP,GK,Alavés,33,1986,8.8,0,1,0,0.0,0.11,0.00,0.00,,16.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,ba3ca78f
452,Sergi Roberto,es ESP,DFMF,Barcelona,27,1992,26.0,1,9,3,33.3,0.35,0.12,0.11,0.33,14.0,0,0,0,0.8,0.8,0.09,+0.2,+0.2,Matches,335fa267
453,Joel Robles,es ESP,GK,Betis,29,1990,32.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,cda0b317
454,Marc Roca,es ESP,MF,Espanyol,22,1996,33.4,2,29,3,10.3,0.87,0.09,0.00,0.00,29.8,2,2,2,2.3,0.8,0.03,-0.3,-0.8,Matches,da27e268
455,Rubén Rochina,es ESP,MF,Levante,28,1991,20.8,5,59,14,23.7,2.83,0.67,0.08,0.36,25.1,3,0,0,2.6,2.6,0.05,+2.4,+2.4,Matches,ecd8c01e
456,Rodrigo,es ESP,FW,Valencia,28,1991,20.9,4,39,14,35.9,1.87,0.67,0.10,0.29,14.6,0,0,0,5.7,5.7,0.15,-1.7,-1.7,Matches,1fb1c435
457,Kévin Rodrigues,pt POR,DFMF,Leganés,25,1994,21.5,1,23,8,34.8,1.07,0.37,0.04,0.13,23.6,2,0,0,1.1,1.1,0.05,-0.1,-0.1,Matches,f1bed920
458,Kévin Rodrigues,pt POR,DF,Real Sociedad,25,1994,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f1bed920
459,Ángel Rodríguez,es ESP,FW,Getafe,32,1987,15.6,10,49,23,46.9,3.13,1.47,0.18,0.39,15.5,0,1,1,6.4,5.5,0.11,+3.6,+3.5,Matches,8cfc2f69
460,Óscar Rodríguez Arnaiz,es ESP,MFFW,Leganés,21,1998,21.3,9,58,27,46.6,2.73,1.27,0.12,0.26,26.0,14,2,2,4.6,3.1,0.05,+4.4,+3.9,Matches,19709006
461,Dani Rodríguez,es ESP,MFFW,Mallorca,31,1988,33.8,5,52,11,21.2,1.54,0.33,0.08,0.36,20.1,1,1,1,4.5,3.8,0.07,+0.5,+0.2,Matches,70f8e0bd
462,Guido Rodríguez,ar ARG,MF,Betis,25,1994,10.4,1,12,3,25.0,1.15,0.29,0.08,0.33,19.7,0,0,0,1.0,1.0,0.08,0.0,0.0,Matches,34e393f2
463,James Rodríguez,co COL,MF,Real Madrid,28,1991,4.7,1,9,1,11.1,1.93,0.21,0.11,1.00,17.1,1,0,0,0.9,0.9,0.10,+0.1,+0.1,Matches,715bf047
464,Mario Rodriguez,es ESP,FW,Granada,22,1997,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a5cdedc7
465,Rodrygo,br BRA,FW,Real Madrid,18,2001,11.3,2,16,8,50.0,1.41,0.71,0.13,0.25,11.5,0,0,0,2.6,2.6,0.16,-0.6,-0.6,Matches,8f5e92a6
466,Luka Romero,ar ARG,MF,Mallorca,14,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ca6edaa0
467,Facundo Roncaglia,ar ARG,DF,Osasuna,32,1987,14.2,1,3,2,66.7,0.21,0.14,0.33,0.50,26.7,0,0,0,0.0,0.0,0.01,+1.0,+1.0,Matches,51e3954c
468,Roberto Rosales,ve VEN,DF,Leganés,30,1988,20.8,0,9,1,11.1,0.43,0.05,0.00,0.00,24.7,4,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches,81069528
469,Rubén,es ESP,GK,Osasuna,35,1984,17.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,24279b8b
470,Waldo Rubio,es ESP,MFFW,Valladolid,23,1995,9.8,0,17,4,23.5,1.74,0.41,0.00,0.00,24.3,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches,ccaa5728
471,Aitor Ruibal,es ESP,DFFW,Leganés,23,1996,13.6,0,16,3,18.8,1.18,0.22,0.00,0.00,21.0,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches,a55d8df5
472,Jorge Sáenz,es ESP,DFFW,Celta Vigo,22,1996,4.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,bfca375c
473,Borja Sainz,es ESP,MFFW,Alavés,18,2001,6.4,1,9,5,55.6,1.41,0.79,0.11,0.20,13.7,0,0,0,1.3,1.3,0.14,-0.3,-0.3,Matches,1b40049a
474,Yannis Salibur,fr FRA,MFFW,Mallorca,28,1991,0.9,0,1,0,0.0,1.10,0.00,0.00,,34.0,1,0,0,0.0,0.0,0.02,0.0,0.0,Matches,bb4a42be
475,Mohammed Salisu,gh GHA,DF,Valladolid,20,1999,30.3,1,7,1,14.3,0.23,0.03,0.14,1.00,9.3,0,0,0,1.2,1.2,0.18,-0.2,-0.2,Matches,0b33f6ad
476,Fede San Emeterio,es ESP,MF,Valladolid,22,1997,19.5,0,3,1,33.3,0.15,0.05,0.00,0.00,25.3,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,efecd633
477,Mikel San José,es ESP,MF,Athletic Club,30,1989,4.0,0,6,1,16.7,1.50,0.25,0.00,0.00,14.0,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches,003a5c72
478,Oihan Sancet,es ESP,MF,Athletic Club,19,2000,8.2,1,9,5,55.6,1.09,0.61,0.11,0.20,16.3,0,0,0,0.9,0.9,0.10,+0.1,+0.1,Matches,bdb624a3
479,Germán Sánchez,es ESP,DF,Granada,32,1986,25.5,2,10,3,30.0,0.39,0.12,0.20,0.67,7.7,0,0,0,1.5,1.5,0.15,+0.5,+0.5,Matches,ea9b2ef9
480,Javi Sánchez,es ESP,DF,Valladolid,22,1997,5.5,0,3,0,0.0,0.54,0.00,0.00,,7.8,0,0,0,0.4,0.4,0.12,-0.4,-0.4,Matches,60359288
481,Manuel Sánchez,es ESP,DF,Atlético Madrid,18,2000,3.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ffacd3d5
482,Víctor Sánchez,es ESP,MFDF,Espanyol,31,1987,18.8,0,10,1,10.0,0.53,0.05,0.00,0.00,27.2,1,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches,ad4d0985
483,Luca Sangalli,es ESP,MF,Real Sociedad,24,1995,4.1,0,7,5,71.4,1.69,1.21,0.00,0.00,18.8,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches,7958dc65
484,Oier Sanjurjo,es ESP,MF,Osasuna,33,1986,25.8,2,17,5,29.4,0.66,0.19,0.12,0.40,12.6,0,0,0,2.0,2.0,0.12,0.0,0.0,Matches,466824fb
485,Ivan Šaponjić,rs SRB,DFFW,Atlético Madrid,21,1997,0.1,0,1,0,0.0,15.00,0.00,0.00,,8.5,0,0,0,0.1,0.1,0.13,-0.1,-0.1,Matches,d2aea9ac
486,Joan Sastre Vanrell,es ESP,DF,Mallorca,22,1997,15.1,0,16,1,6.3,1.06,0.07,0.00,0.00,25.5,1,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches,f9acf8bf
487,Stefan Savić,me MNE,DF,Atlético Madrid,28,1991,22.0,0,2,1,50.0,0.09,0.05,0.00,0.00,13.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,f6ac68c1
488,Aleksandar Sedlar,rs SRB,DF,Mallorca,27,1991,9.0,0,1,1,100.0,0.11,0.11,0.00,0.00,12.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,a35134ae
489,Nélson Semedo,pt POR,DF,Barcelona,25,1993,23.3,1,8,2,25.0,0.34,0.09,0.13,0.50,18.2,0,0,0,1.0,1.0,0.12,0.0,0.0,Matches,d04b94db
490,Josep Señé,es ESP,MF,Mallorca,27,1991,1.7,0,1,1,100.0,0.60,0.60,0.00,0.00,9.0,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches,8fc259d7
491,Salva Sevilla,es ESP,MF,Mallorca,35,1984,28.5,5,31,11,35.5,1.09,0.39,0.10,0.27,25.8,13,2,3,3.8,1.5,0.05,+1.2,+1.5,Matches,75bd85ea
492,Sidnei,br BRA,DF,Betis,29,1989,13.1,1,5,2,40.0,0.38,0.15,0.20,0.50,13.5,0,0,0,0.3,0.3,0.06,+0.7,+0.7,Matches,b14d0c5d
493,Jonathan Silva,ar ARG,DF,Leganés,25,1994,30.9,1,21,3,14.3,0.68,0.10,0.05,0.33,20.6,3,0,0,1.6,1.6,0.07,-0.6,-0.6,Matches,f2308b33
494,Rui Silva,pt POR,GK,Granada,25,1994,35.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ea83bfa6
495,Unai Simón,es ESP,GK,Athletic Club,22,1997,33.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,5dcf3e90
496,Dimitris Siovas,gr GRE,DF,Leganés,30,1988,21.3,0,13,4,30.8,0.61,0.19,0.00,0.00,14.3,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches,92d38e6c
497,Pione Sisto,dk DEN,FWMF,Celta Vigo,24,1995,9.9,2,30,15,50.0,3.03,1.52,0.07,0.13,21.9,1,0,0,2.0,2.0,0.07,0.0,0.0,Matches,fd9c4805
498,Antonio Sivera,es ESP,GK,Alavés,22,1996,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9970da54
499,Fyodor Smolov,ru RUS,FW,Celta Vigo,29,1990,8.3,2,15,6,40.0,1.82,0.73,0.13,0.33,16.6,0,0,0,2.3,2.3,0.16,-0.3,-0.3,Matches,cbbfa2e7
500,Rafa Soares,pt POR,DF,Eibar,24,1995,4.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,062fc2e6
501,Rubén Sobrino,es ESP,FWMF,Valencia,27,1992,1.9,1,5,3,60.0,2.65,1.59,0.20,0.33,12.2,0,0,0,0.4,0.4,0.08,+0.6,+0.6,Matches,19b776e9
502,Roberto Soldado,es ESP,FW,Granada,34,1985,26.1,7,33,13,39.4,1.27,0.50,0.18,0.46,13.9,2,1,1,4.7,3.9,0.12,+2.3,+2.1,Matches,9d66fbe3
503,Carlos Soler,es ESP,MF,Valencia,22,1997,23.0,2,18,5,27.8,0.78,0.22,0.11,0.40,17.3,0,0,0,1.6,1.6,0.09,+0.4,+0.4,Matches,fed17f5a
504,Kévin Soni,cm CMR,FW,Espanyol,21,1998,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,6435143e
505,David Soria,es ESP,GK,Getafe,26,1993,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8f8c6934
506,Bruno Soriano,es ESP,MF,Villarreal,35,1984,2.9,0,1,1,100.0,0.34,0.34,0.00,0.00,6.4,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches,09332647
507,Juan Soriano,es ESP,GK,Leganés,21,1997,11.0,0,1,1,100.0,0.09,0.09,0.00,0.00,6.1,0,0,0,0.3,0.3,0.33,-0.3,-0.3,Matches,5512b1a9
508,Damián Suárez,uy URU,DF,Getafe,31,1988,28.8,1,20,5,25.0,0.69,0.17,0.05,0.20,24.9,6,0,0,0.8,0.8,0.04,+0.2,+0.2,Matches,ba5004e1
509,Denis Suárez,es ESP,MFFW,Celta Vigo,25,1994,18.1,1,19,9,47.4,1.05,0.50,0.05,0.11,18.9,1,0,1,2.3,1.6,0.08,-1.3,-0.6,Matches,12c50af5
510,Luis Suárez,uy URU,FW,Barcelona,32,1987,22.2,16,78,42,53.8,3.51,1.89,0.19,0.36,15.3,1,1,1,13.8,13.1,0.17,+2.2,+1.9,Matches,a6154613
511,Ki Sung-yueng,kr KOR,MF,Mallorca,30,1989,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,1d8c99b0
512,Suso,es ESP,FWMF,Sevilla,25,1993,8.7,1,14,7,50.0,1.61,0.80,0.07,0.14,22.4,2,0,0,1.0,1.0,0.07,0.0,0.0,Matches,4e219ad2
513,Tachi,es ESP,DF,Alavés,21,1997,2.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8b625720
514,Rodrigo Tarín,es ESP,DF,Leganés,23,1996,10.6,0,2,0,0.0,0.19,0.00,0.00,,11.5,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches,a03c82b2
515,Álvaro Tejero,es ESP,DF,Eibar,23,1996,16.1,0,7,1,14.3,0.44,0.06,0.00,0.00,26.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,868ce848
516,Cristian Tello,es ESP,MFFW,Betis,27,1991,8.7,2,19,6,31.6,2.17,0.69,0.11,0.33,21.2,2,0,0,1.6,1.6,0.09,+0.4,+0.4,Matches,72a99e38
517,Marc-André ter Stegen,de GER,GK,Barcelona,27,1992,36.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,6f51e382
518,David Timor,es ESP,MFDF,Getafe,29,1989,10.5,3,19,7,36.8,1.81,0.67,0.16,0.43,33.7,8,0,0,0.6,0.6,0.03,+2.4,+2.4,Matches,174651c8
519,Jean-Clair Todibo,fr FRA,DF,Barcelona,19,1999,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,88f130ed
520,Karl Toko Ekambi,cm CMR,FW,Villarreal,26,1992,11.0,6,39,18,46.2,3.53,1.63,0.15,0.33,13.3,0,0,0,7.1,7.1,0.18,-1.1,-1.1,Matches,5ceba7fc
521,Raúl de Tomás,es ESP,FW,Espanyol,24,1994,11.9,4,33,14,42.4,2.76,1.17,0.09,0.21,19.9,3,1,1,4.0,3.3,0.10,0.0,-0.3,Matches,02ef8778
522,Toño,es ESP,DF,Levante,29,1989,17.7,0,3,0,0.0,0.17,0.00,0.00,,17.1,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches,d4ef9ac5
523,Ferrán Torres,es ESP,MFFW,Valencia,19,2000,25.0,4,33,9,27.3,1.32,0.36,0.12,0.44,15.3,0,0,0,3.6,3.6,0.11,+0.4,+0.4,Matches,9e1035f8
524,Óliver Torres,es ESP,MFFW,Sevilla,24,1994,17.7,3,16,10,62.5,0.90,0.56,0.19,0.30,19.1,0,0,0,1.6,1.6,0.10,+1.4,+1.4,Matches,58a9a4d9
525,Pau Torres,es ESP,DF,Villarreal,22,1997,33.0,2,9,2,22.2,0.27,0.06,0.22,1.00,7.7,0,0,0,1.2,1.2,0.14,+0.8,+0.8,Matches,532e1e4f
526,Roberto Torres,es ESP,MFFW,Osasuna,30,1989,30.2,7,72,19,26.4,2.38,0.63,0.03,0.11,25.0,9,5,5,8.1,4.3,0.06,-1.1,-2.3,Matches,d733aa38
527,Aleksandar Trajkovski,mk MKD,MF,Mallorca,26,1992,3.7,0,10,4,40.0,2.73,1.09,0.00,0.00,19.7,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches,84bba8b6
528,Manu Trigueros,es ESP,MF,Villarreal,27,1991,17.2,2,24,9,37.5,1.40,0.52,0.04,0.11,22.1,2,1,1,2.5,1.7,0.07,-0.5,-0.7,Matches,963829d0
529,Kieran Trippier,eng ENG,DF,Atlético Madrid,28,1990,22.0,0,3,0,0.0,0.14,0.00,0.00,,22.2,2,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,21512407
530,Samuel Umtiti,fr FRA,DF,Barcelona,25,1993,10.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3eed9821
531,Enes Ünal,tr TUR,FW,Valladolid,22,1997,26.0,6,57,23,40.4,2.19,0.88,0.07,0.17,16.0,2,2,3,9.1,6.8,0.12,-3.1,-2.8,Matches,f8eca1b6
532,Tomáš Vaclík,cz CZE,GK,Sevilla,30,1989,32.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7b456af7
533,Álvaro Vadillo,es ESP,FWMF,Granada,24,1994,13.5,3,17,5,29.4,1.26,0.37,0.12,0.40,27.4,12,1,1,1.9,1.1,0.07,+1.1,+0.9,Matches,61b62b33
534,Germán Valera,es ESP,FW,Atlético Madrid,17,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,84f55b4a
535,Martin Valjent,sk SVK,DF,Mallorca,23,1995,35.4,0,14,3,21.4,0.40,0.08,0.00,0.00,22.2,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches,f2c6ac01
536,Jesús Vallejo,es ESP,DF,Granada,22,1997,7.0,0,1,0,0.0,0.14,0.00,0.00,,8.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,c2111b45
537,Manu Vallejo,es ESP,MFFW,Valencia,22,1997,4.6,2,8,3,37.5,1.72,0.65,0.25,0.67,13.1,0,0,0,1.7,1.7,0.21,+0.3,+0.3,Matches,0bc4e720
538,Federico Valverde,uy URU,MF,Real Madrid,21,1998,21.2,2,23,11,47.8,1.09,0.52,0.09,0.18,21.3,0,0,0,1.8,1.8,0.08,+0.2,+0.2,Matches,0959c2a2
539,Raphaël Varane,fr FRA,DF,Real Madrid,26,1993,31.4,3,10,3,30.0,0.32,0.10,0.30,1.00,11.8,0,0,0,0.7,0.7,0.07,+2.3,+2.3,Matches,9f8e9423
540,Matías Vargas,ar ARG,FWMF,Espanyol,22,1997,11.4,0,20,2,10.0,1.76,0.18,0.00,0.00,19.5,1,0,0,1.0,1.0,0.05,-1.0,-1.0,Matches,ce82f116
541,Franco Vázquez,ar ARG,MFFW,Sevilla,30,1989,12.2,3,16,6,37.5,1.31,0.49,0.19,0.50,12.5,0,0,0,1.4,1.4,0.09,+1.6,+1.6,Matches,467bae22
542,Kevin Vázquez,es ESP,DF,Celta Vigo,26,1993,14.7,0,1,0,0.0,0.07,0.00,0.00,,37.7,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,ee923664
543,Lucas Vázquez,es ESP,MFFW,Real Madrid,28,1991,9.4,2,10,3,30.0,1.06,0.32,0.20,0.67,17.2,0,0,0,1.2,1.2,0.12,+0.8,+0.8,Matches,fd51b456
544,Koke Vegas,es ESP,GK,Levante,23,1995,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,bfb15d99
545,Unai Vencedor Paris,es ESP,MF,Athletic Club,18,2000,0.8,0,1,0,0.0,1.23,0.00,0.00,,22.8,1,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,4112ace5
546,Mikel Vesga,es ESP,MF,Athletic Club,26,1993,14.1,0,14,3,21.4,0.99,0.21,0.00,0.00,20.0,0,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches,b0fce72c
547,Rúben Vezo,pt POR,DF,Levante,25,1994,29.0,0,11,2,18.2,0.38,0.07,0.00,0.00,11.3,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches,c67cd65c
548,Fede Vico,es ESP,MFFW,Granada,25,1994,9.7,2,13,2,15.4,1.34,0.21,0.08,0.50,26.0,3,1,1,1.5,0.7,0.06,+0.5,+0.3,Matches,f681a8ef
549,Aleix Vidal,es ESP,MF,Alavés,29,1989,24.1,2,22,9,40.9,0.91,0.37,0.09,0.22,19.6,4,0,0,2.5,2.5,0.11,-0.5,-0.5,Matches,04965583
550,Arturo Vidal,cl CHI,MF,Barcelona,32,1987,18.6,8,25,14,56.0,1.35,0.75,0.32,0.57,12.2,0,0,0,4.4,4.4,0.18,+3.6,+3.6,Matches,67cdbc0e
551,Nacho Vidal,es ESP,DF,Osasuna,24,1995,25.9,0,15,4,26.7,0.58,0.15,0.00,0.00,20.1,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches,3a9c4b7b
552,Dídac Vilà,es ESP,DF,Espanyol,30,1989,27.7,0,15,3,20.0,0.54,0.11,0.00,0.00,19.9,0,0,0,1.4,1.4,0.09,-1.4,-1.4,Matches,bad38a94
553,Toni Villa,es ESP,MF,Valladolid,24,1995,15.0,0,19,6,31.6,1.26,0.40,0.00,0.00,24.5,0,0,0,0.9,0.9,0.05,-0.9,-0.9,Matches,636eae97
554,Asier Villalibre,es ESP,FW,Athletic Club,21,1997,5.9,3,17,5,29.4,2.88,0.85,0.18,0.60,12.7,0,0,0,2.8,2.8,0.16,+0.2,+0.2,Matches,57be54ec
555,Iván Villar,es ESP,GK,Celta Vigo,22,1997,3.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,cde52ef5
556,Juan Villar,es ESP,FW,Osasuna,31,1988,2.7,1,5,2,40.0,1.87,0.75,0.00,0.00,16.6,0,1,1,1.1,0.4,0.07,-0.1,-0.4,Matches,c33ee247
557,Vitolo,es ESP,MFFW,Atlético Madrid,29,1989,13.6,3,17,11,64.7,1.25,0.81,0.18,0.27,13.2,0,0,0,2.2,2.2,0.13,+0.8,+0.8,Matches,db750822
558,Šime Vrsaljko,hr CRO,DF,Atlético Madrid,27,1992,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,46a8347f
559,Nikola Vukčević,me MNE,MF,Levante,27,1991,17.4,0,4,1,25.0,0.23,0.06,0.00,0.00,14.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,4442fbcd
560,Moussa Wagué,sn SEN,DF,Barcelona,20,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,808df563
561,Wakaso,gh GHA,MF,Alavés,29,1990,14.3,0,14,1,7.1,0.98,0.07,0.00,0.00,29.1,0,0,0,0.3,0.3,0.02,-0.3,-0.3,Matches,999908af
562,Daniel Wass,dk DEN,DFMF,Valencia,30,1989,30.4,1,16,4,25.0,0.53,0.13,0.06,0.25,17.5,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches,d83bbc54
563,Iñaki Williams,es ESP,FW,Athletic Club,25,1994,32.7,6,45,21,46.7,1.38,0.64,0.11,0.24,15.2,0,1,2,7.3,5.8,0.13,-1.3,-0.8,Matches,6a99e0b1
564,Yoel,es ESP,GK,Eibar,30,1988,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,61bb7498
565,Okay Yokuşlu,tr TUR,MF,Celta Vigo,25,1994,21.9,0,11,2,18.2,0.50,0.09,0.00,0.00,21.5,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches,e49ce451
566,Joseba Zaldúa,es ESP,DF,Real Sociedad,27,1992,28.3,0,8,2,25.0,0.28,0.07,0.00,0.00,25.0,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches,5ca20b7a
567,Andre-Frank Zambo Anguissa,cm CMR,MF,Villarreal,23,1995,28.7,2,29,8,27.6,1.01,0.28,0.07,0.25,20.9,0,0,0,2.4,2.4,0.08,-0.4,-0.4,Matches,6bb2c084
568,Igor Zubeldia,es ESP,MFDF,Real Sociedad,22,1997,29.3,0,14,1,7.1,0.48,0.03,0.00,0.00,27.6,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches,5c7845f6
569,Martín Zubimendi,es ESP,MF,Real Sociedad,20,1999,5.8,0,4,0,0.0,0.69,0.00,0.00,,27.8,0,0,0,0.1,0.1,0.01,-0.1,-0.1,Matches,3ee0dd59
570,David Zurutuza,es ESP,MF,Real Sociedad,33,1986,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,d9bda115
