,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,,-additional
134,Mouctar Diakhaby,gn GUI,DF,Valencia,22,1996,16.0,726,804,90.3,15578,4482,209,226,92.5,399,423,94.3,113,147,76.9,0,0.0,0.0,1,34,1,1,32,Matches,d2110326
135,Brahim Díaz,es ESP,FWMF,Real Madrid,19,1999,0.7,35,40,87.5,472,117,26,29,89.7,7,7,100.0,2,2,100.0,0,0.0,0.0,0,2,1,0,2,Matches,407feb71
136,Víctor Díaz,es ESP,DF,Granada,31,1988,32.0,1020,1507,67.7,22123,10410,357,434,82.3,457,604,75.7,195,419,46.5,5,2.9,+2.1,27,100,33,19,122,Matches,3624ce4c
137,Papakouli Diop,sn SEN,MF,Eibar,33,1986,25.0,593,806,73.6,12207,3137,211,272,77.6,275,347,79.3,104,166,62.7,0,0.5,-0.5,14,82,4,0,86,Matches,7329018e
138,Djené,tg TOG,DF,Getafe,27,1991,34.0,683,933,73.2,16408,5788,149,186,80.1,345,415,83.1,177,307,57.7,0,0.4,-0.4,6,69,4,2,78,Matches,a4971d84
139,Naïs Djouahra,fr FRA,FWDF,Real Sociedad,19,1999,0.3,15,23,65.2,232,79,7,12,58.3,6,7,85.7,1,3,33.3,1,0.2,+0.8,2,1,1,1,1,Matches,3594a357
140,Marko Dmitrović,rs SRB,GK,Eibar,27,1992,35.0,479,1062,45.1,24005,19169,36,37,97.3,118,121,97.5,324,903,35.9,0,0.0,0.0,1,61,2,0,1,Matches,ac295d9e
141,Jaume Doménech,es ESP,GK,Valencia,28,1990,14.7,300,457,65.6,10025,7221,66,66,100.0,89,90,98.9,142,298,47.7,0,0.0,0.0,0,3,0,0,0,Matches,c9cb972b
142,Domingos Duarte,pt POR,DF,Granada,24,1995,34.3,970,1218,79.6,23652,7527,190,215,88.4,535,603,88.7,240,384,62.5,1,0.1,+0.9,2,67,5,1,88,Matches,93090f69
143,Óscar Duarte,cr CRC,DF,Levante,30,1989,5.4,190,221,86.0,4634,1633,37,40,92.5,109,117,93.2,44,64,68.8,0,0.0,0.0,0,5,0,0,7,Matches,aa0ac32d
144,Rubén Duarte,es ESP,DF,Alavés,23,1995,29.6,933,1310,71.2,17337,8840,401,459,87.4,416,558,74.6,102,249,41.0,1,0.9,+0.1,11,90,16,8,93,Matches,1fe0492d
145,Hugo Duro,es ESP,FWMF,Getafe,19,1999,4.2,50,84,59.5,593,149,27,44,61.4,12,21,57.1,2,6,33.3,1,0.4,+0.6,3,4,1,0,3,Matches,37e103f8
146,Aritz Elustondo,es ESP,DF,Real Sociedad,25,1994,16.8,802,935,85.8,17055,4652,231,263,87.8,446,486,91.8,123,172,71.5,1,0.2,+0.8,3,55,3,3,50,Matches,f7dc2ae5
147,Rodrigo Ely,br BRA,DF,Alavés,25,1993,23.6,667,839,79.5,16671,5748,155,176,88.1,316,356,88.8,192,292,65.8,0,0.1,-0.1,1,27,0,0,31,Matches,fd47b4f2
148,Adri Embarba,es ESP,MFFW,Espanyol,27,1992,15.2,246,442,55.7,4591,1268,121,157,77.1,77,121,63.6,39,129,30.2,4,1.8,+2.2,18,17,16,7,23,Matches,db8f0eba
149,Emerson,br BRA,DF,Betis,20,1999,31.5,1288,1604,80.3,21617,7383,673,752,89.5,441,531,83.1,137,207,66.2,6,4.0,+2.0,30,56,50,21,93,Matches,df8b52a5
150,Youssef En-Nesyri,ma MAR,FW,Sevilla,22,1997,8.8,103,157,65.6,1558,226,62,77,80.5,30,52,57.7,9,15,60.0,0,0.2,-0.2,4,4,1,0,6,Matches,04e17fd5
151,Youssef En-Nesyri,ma MAR,FW,Leganés,22,1997,15.4,163,266,61.3,2478,501,105,150,70.0,35,60,58.3,15,31,48.4,2,0.8,+1.2,7,3,10,3,13,Matches,04e17fd5
152,Sergi Enrich,es ESP,FW,Eibar,29,1990,20.7,377,527,71.5,5236,727,244,306,79.7,90,140,64.3,24,35,68.6,4,1.4,+2.6,8,16,6,0,16,Matches,bb4b1242
153,Javier Eraso,es ESP,MFFW,Leganés,29,1990,9.1,215,280,76.8,3354,667,127,145,87.6,62,82,75.6,17,35,48.6,0,0.6,-0.6,8,8,5,3,10,Matches,aec0fb6f
154,Gonzalo Escalante,ar ARG,MF,Eibar,26,1993,18.6,474,657,72.1,8866,2442,198,241,82.2,203,270,75.2,67,116,57.8,1,0.7,+0.3,8,49,11,2,65,Matches,3f79a1c8
155,Aarón Escandell,es ESP,GK,Granada,23,1995,3.0,77,128,60.2,2885,2005,10,10,100.0,29,29,100.0,38,89,42.7,0,0.0,0.0,0,6,0,0,0,Matches,67669ce7
156,Sergio Escudero,es ESP,DF,Sevilla,29,1989,8.6,475,592,80.2,8434,3455,210,236,89.0,212,251,84.5,45,87,51.7,0,0.5,-0.5,6,31,9,4,37,Matches,b0616e3d
157,Bernardo Espinosa,co COL,DF,Espanyol,30,1989,25.1,826,1060,77.9,19342,6385,173,208,83.2,469,556,84.4,178,280,63.6,0,0.5,-0.5,4,29,1,0,54,Matches,4242011c
158,Vicente Esquerdo,es ESP,MFFW,Valencia,20,1999,0.2,6,9,66.7,122,56,3,3,100.0,2,4,50.0,1,1,100.0,0,0.0,0.0,0,0,0,0,1,Matches,ced26057
159,Pervis Estupiñán,ec ECU,DF,Osasuna,21,1998,33.1,1322,1823,72.5,23434,10526,641,742,86.4,513,661,77.6,147,320,45.9,5,3.5,+1.5,44,99,57,37,134,Matches,d38fdf53
160,Oghenekaro Etebo,ng NGA,MF,Getafe,23,1995,6.4,135,213,63.4,2518,711,56,74,75.7,53,76,69.7,23,49,46.9,0,0.2,-0.2,2,16,2,0,23,Matches,b579e83d
161,Beñat Etxebarria,es ESP,MF,Athletic Club,32,1987,4.4,161,194,83.0,3421,952,42,47,89.4,84,92,91.3,32,50,64.0,0,0.5,-0.5,11,13,2,0,10,Matches,b037bd4f
162,Xabier Etxeita,es ESP,DF,Getafe,31,1987,16.1,209,368,56.8,5358,1957,42,71,59.2,93,142,65.5,72,144,50.0,0,0.0,0.0,1,18,1,1,27,Matches,4a895384
163,Edu Expósito,es ESP,MF,Eibar,22,1996,25.7,759,933,81.4,14892,3125,314,364,86.3,316,379,83.4,121,164,73.8,1,1.3,-0.3,19,82,14,3,65,Matches,283c7121
164,Fabricio,es ESP,GK,Mallorca,31,1987,1.0,24,33,72.7,874,593,0,0,,8,8,100.0,16,25,64.0,0,0.0,0.0,0,0,0,0,0,Matches,af245161
165,Fayçal Fajr,ma MAR,MF,Getafe,30,1988,4.5,120,192,62.5,2963,914,47,62,75.8,31,49,63.3,41,75,54.7,0,0.5,-0.5,9,22,3,2,18,Matches,79135368
166,Eliseo Falcon,es ESP,DFMF,Levante,22,1997,0.8,22,24,91.7,470,135,7,7,100.0,12,12,100.0,3,5,60.0,0,0.0,0.0,0,2,0,0,1,Matches,904cd50d
167,Ansu Fati,es ESP,FWDF,Barcelona,16,2002,11.4,446,538,82.9,5571,949,322,358,89.9,98,119,82.4,10,24,41.7,1,1.8,-0.8,17,15,13,2,23,Matches,0ba976e4
168,Aleix Febas,es ESP,MF,Mallorca,23,1996,18.8,585,691,84.7,9001,2052,325,364,89.3,196,228,86.0,38,55,69.1,3,1.4,+1.6,19,38,9,0,50,Matches,38126309
169,Zouhair Feddal,ma MAR,DF,Betis,30,1989,15.9,917,1062,86.3,21106,6465,235,255,92.2,469,504,93.1,205,287,71.4,2,0.7,+1.3,5,41,2,0,53,Matches,89151b16
170,Ljubomir Fejsa,rs SRB,MF,Alavés,30,1988,8.7,234,290,80.7,4376,942,98,109,89.9,101,120,84.2,30,43,69.8,0,0.0,0.0,1,18,0,0,18,Matches,874d7a32
171,Nabil Fekir,fr FRA,MFFW,Betis,26,1993,29.3,839,1034,81.1,13881,3618,453,511,88.6,268,318,84.3,91,134,67.9,4,2.6,+1.4,37,87,35,6,85,Matches,bece776f
172,Felipe,br BRA,DF,Atlético Madrid,30,1989,23.4,707,887,79.7,14770,5695,242,270,89.6,330,374,88.2,124,216,57.4,0,0.1,-0.1,4,28,0,0,25,Matches,51a3c4c8
173,João Félix,pt POR,FWMF,Atlético Madrid,19,1999,19.4,410,531,77.2,5830,1604,253,287,88.2,119,160,74.4,19,40,47.5,1,2.6,-1.6,17,41,11,1,51,Matches,8aafd64f
174,Matheus Fernandes,br BRA,MF,Valladolid,21,1998,1.8,43,62,69.4,702,171,20,25,80.0,19,27,70.4,4,7,57.1,0,0.0,0.0,1,2,0,0,3,Matches,f76fdcd2
175,Aitor Fernández,es ESP,GK,Levante,28,1991,36.0,751,1118,67.2,23458,15244,137,137,100.0,287,291,98.6,317,680,46.6,0,0.2,-0.2,1,10,0,0,0,Matches,a01c3d54
176,Andrés Fernández,es ESP,GK,Villarreal,32,1986,4.0,119,152,78.3,3110,1639,22,22,100.0,64,65,98.5,32,64,50.0,1,0.3,+0.7,1,1,0,0,0,Matches,307fcd26
177,Carlos Fernández,es ESP,FWMF,Granada,23,1996,24.5,381,627,60.8,5946,1432,223,312,71.5,118,202,58.4,28,62,45.2,3,1.7,+1.3,17,31,8,2,36,Matches,e08647d6
178,Gabriel Fernández,uy URU,FWMF,Celta Vigo,25,1994,6.2,84,123,68.3,1300,263,43,56,76.8,26,40,65.0,8,13,61.5,1,0.3,+0.7,2,8,2,0,7,Matches,36c5f77b
179,Joaquín Fernández,es ESP,MFDF,Valladolid,23,1996,18.4,609,748,81.4,12948,3131,196,220,89.1,286,327,87.5,114,179,63.7,0,0.1,-0.1,4,44,4,0,47,Matches,b86a64b2
180,Fernando,br BRA,MF,Sevilla,32,1987,29.5,1380,1536,89.8,29499,6700,439,478,91.8,642,699,91.8,271,319,85.0,3,0.6,+2.4,11,87,7,3,68,Matches,41f32541
181,Facundo Ferreyra,ar ARG,FW,Espanyol,28,1991,6.4,74,113,65.5,1004,224,49,65,75.4,16,27,59.3,4,6,66.7,0,0.4,-0.4,5,3,3,0,7,Matches,b39a793e
182,Junior Firpo,es ESP,DF,Barcelona,22,1996,11.3,749,834,89.8,11466,3038,399,430,92.8,303,328,92.4,29,43,67.4,1,0.7,+0.3,11,48,9,1,41,Matches,24f59bb2
183,Alessandro Florenzi,it ITA,DF,Valencia,28,1991,8.4,360,477,75.5,7132,2379,148,169,87.6,143,175,81.7,59,111,53.2,0,0.7,-0.7,3,21,11,5,39,Matches,e288d4b3
184,Hernâni Fortes,pt POR,MFFW,Levante,27,1991,7.3,91,171,53.2,1706,657,42,54,77.8,32,62,51.6,15,41,36.6,0,1.6,-1.6,11,4,9,7,9,Matches,2327c29e
185,Dimitri Foulquier,fr FRA,DF,Granada,26,1993,12.4,281,413,68.0,4809,2030,123,155,79.4,132,172,76.7,18,53,34.0,0,0.1,-0.1,4,19,6,4,30,Matches,45e17712
186,Jorge de Frutos,es ESP,MFDF,Valladolid,22,1997,0.7,15,17,88.2,199,56,10,11,90.9,5,5,100.0,0,0,,0,0.1,-0.1,1,0,1,1,1,Matches,38ce1150
187,Ramiro Funes Mori,ar ARG,DF,Villarreal,28,1991,5.0,224,270,83.0,5213,1484,60,68,88.2,110,120,91.7,53,77,68.8,0,0.0,0.0,1,11,0,0,11,Matches,89cbc961
188,Enric Gallego,es ESP,FWMF,Getafe,32,1986,1.8,26,48,54.2,353,102,13,23,56.5,8,13,61.5,2,4,50.0,0,0.0,0.0,0,2,1,0,3,Matches,82e9b89d
189,Enric Gallego,es ESP,FW,Osasuna,32,1986,9.8,148,258,57.4,1985,411,97,135,71.9,38,87,43.7,5,20,25.0,0,0.8,-0.8,9,7,4,0,18,Matches,82e9b89d
190,Kévin Gameiro,fr FRA,FW,Valencia,32,1987,17.6,331,436,75.9,4696,564,202,242,83.5,102,129,79.1,15,29,51.7,2,3.1,-1.1,15,12,12,0,23,Matches,42276181
191,Fran Gámez,es ESP,DF,Mallorca,28,1991,19.6,638,862,74.0,11807,4663,277,308,89.9,257,334,76.9,85,170,50.0,1,0.9,+0.1,14,42,17,9,58,Matches,2e3406ae
192,Ezequiel Garay,ar ARG,DF,Valencia,32,1986,16.0,759,853,89.0,17200,4496,161,173,93.1,437,455,96.0,150,209,71.8,0,0.1,-0.1,2,39,1,0,35,Matches,ac3fb1be
193,Dani García,es ESP,MF,Athletic Club,29,1990,33.7,1225,1471,83.3,26371,5816,373,432,86.3,585,660,88.6,247,340,72.6,1,1.0,0.0,15,109,4,1,93,Matches,240d3a0b
194,David García,es ESP,DF,Osasuna,25,1994,31.0,861,1160,74.2,20511,7944,201,243,82.7,445,541,82.3,207,355,58.3,0,0.3,-0.3,6,79,6,0,90,Matches,3e42f707
195,Javi García,es ESP,MF,Betis,32,1987,4.2,159,191,83.2,2983,581,59,69,85.5,79,90,87.8,19,24,79.2,0,0.0,0.0,0,9,0,0,6,Matches,167c1bb0
196,Manu García,es ESP,MF,Alavés,33,1986,21.9,521,710,73.4,9540,2299,235,290,81.0,215,269,79.9,60,110,54.5,0,0.2,-0.2,2,46,2,0,49,Matches,05a4465d
197,Raúl García,es ESP,DF,Getafe,30,1989,2.7,89,136,65.4,1867,883,34,40,85.0,37,48,77.1,16,40,40.0,0,0.2,-0.2,4,7,8,6,7,Matches,1a317a1b
198,Raúl García,es ESP,MFFW,Athletic Club,33,1986,31.9,557,952,58.5,8971,2683,301,435,69.2,192,328,58.5,46,129,35.7,1,0.9,+0.1,17,75,15,2,86,Matches,b418dbd4
199,Raúl García,es ESP,DFMF,Valladolid,30,1989,11.2,310,454,68.3,5945,2827,136,155,87.7,132,166,79.5,40,114,35.1,1,0.3,+0.7,8,24,8,4,24,Matches,1a317a1b
200,Rubén García,es ESP,MFFW,Osasuna,26,1993,24.3,719,1022,70.4,13702,4511,335,409,81.9,248,330,75.2,120,233,51.5,2,3.9,-1.9,50,62,33,11,89,Matches,5c96b017
201,Unai García,es ESP,DF,Osasuna,27,1992,6.0,155,215,72.1,3610,1306,45,53,84.9,71,85,83.5,37,71,52.1,0,0.1,-0.1,1,11,0,0,14,Matches,4a633cfe
202,Víctor García,es ESP,FWMF,Valladolid,22,1997,1.0,24,36,66.7,428,149,12,16,75.0,9,10,90.0,3,8,37.5,0,0.1,-0.1,3,2,2,1,3,Matches,6636496a
203,Manuel Garrido,es ESP,FW,Leganés,18,2000,1.3,22,30,73.3,311,20,10,12,83.3,9,12,75.0,1,3,33.3,0,0.0,0.0,0,1,0,0,0,Matches,f814eccb
204,Mario Gaspar,es ESP,DF,Villarreal,28,1990,21.8,867,1092,79.4,15305,6868,395,450,87.8,405,481,84.2,62,134,46.3,2,1.8,+0.2,19,59,15,7,76,Matches,fb5d47b3
205,José Antonio Martínez Gil,es ESP,DF,Granada,26,1993,13.2,366,488,75.0,9139,2898,66,81,81.5,192,235,81.7,106,158,67.1,1,0.0,+1.0,0,25,2,0,33,Matches,8e049cbd
206,Ibai Gómez,es ESP,FW,Athletic Club,29,1989,7.7,202,319,63.3,3386,1245,108,123,87.8,63,87,72.4,24,89,27.0,0,1.4,-1.4,16,9,6,5,15,Matches,9d2a3d5f
207,Maxi Gómez,uy URU,FW,Valencia,22,1996,23.8,255,393,64.9,4426,901,134,182,73.6,83,135,61.5,30,52,57.7,2,2.2,-0.2,11,21,12,2,30,Matches,4c2e9442
208,Moi Gómez,es ESP,FWMF,Villarreal,25,1994,25.8,921,1135,81.1,15915,3850,460,510,90.2,341,390,87.4,98,173,56.6,4,3.0,+1.0,23,55,34,16,79,Matches,5a626448
209,Sergi Gómez,es ESP,DF,Sevilla,27,1992,8.0,434,486,89.3,9924,2609,106,116,91.4,229,242,94.6,97,123,78.9,0,0.1,-0.1,2,16,0,0,12,Matches,bc6f5f06
210,Maxime Gonalons,fr FRA,MF,Granada,30,1989,16.7,482,579,83.2,10754,2761,138,160,86.3,225,259,86.9,112,144,77.8,0,0.5,-0.5,5,55,5,0,48,Matches,b8c1de25
211,Bruno González,es ESP,DF,Getafe,29,1990,2.0,51,61,83.6,1251,352,11,13,84.6,24,24,100.0,15,22,68.2,0,0.0,0.0,1,8,0,0,4,Matches,f11fe861
212,Bruno González,es ESP,DF,Levante,29,1990,5.1,170,201,84.6,4136,1093,42,48,87.5,88,94,93.6,38,54,70.4,0,0.0,0.0,0,8,0,0,4,Matches,f11fe861
213,Édgar González,es ESP,MF,Betis,22,1997,7.6,310,347,89.3,6145,1168,103,110,93.6,158,166,95.2,47,60,78.3,0,0.0,0.0,0,9,0,0,14,Matches,49d028db
214,Gonzalo,es ESP,DF,Levante,22,1997,0.1,5,5,100.0,117,9,1,1,100.0,3,3,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches,cca05da8
215,Andoni Gorosabel,es ESP,DF,Real Sociedad,22,1996,7.9,343,446,76.9,5819,2016,161,189,85.2,148,187,79.1,29,53,54.7,0,0.4,-0.4,5,26,7,3,22,Matches,6f5f82c0
216,Esteban Granero,es ESP,MF,Espanyol,32,1987,5.3,161,224,71.9,2976,833,71,85,83.5,62,81,76.5,24,49,49.0,0,0.5,-0.5,11,15,1,0,13,Matches,1b17ed86
217,Antoine Griezmann,fr FRA,FW,Barcelona,28,1991,28.3,935,1147,81.5,14375,2501,538,615,87.5,278,328,84.8,79,105,75.2,4,3.8,+0.2,33,51,31,6,67,Matches,df69b544
218,Andrés Guardado,mx MEX,MF,Betis,32,1986,22.7,876,1041,84.1,17717,3767,337,374,90.1,382,430,88.8,144,203,70.9,3,2.3,+0.7,28,88,15,4,73,Matches,ef322658
219,Sergi Guardiola,es ESP,FW,Valladolid,28,1991,29.5,455,668,68.1,7013,1481,264,334,79.0,132,195,67.7,40,78,51.3,2,1.7,+0.3,15,29,10,2,44,Matches,32974271
220,Nemanja Gudelj,rs SRB,MFDF,Sevilla,27,1991,13.5,614,678,90.6,11781,2331,241,257,93.8,277,294,94.2,84,106,79.2,0,0.1,-0.1,2,39,3,1,21,Matches,0076ab7f
221,Gonçalo Guedes,pt POR,MFFW,Valencia,22,1996,14.1,363,478,75.9,6047,1400,195,229,85.2,126,166,75.9,37,61,60.7,2,1.6,+0.4,18,28,29,3,48,Matches,e6bc67d7
222,Adrián Guerrero,es ESP,DF,Valencia,21,1998,1.4,60,81,74.1,956,276,26,33,78.8,31,37,83.8,2,7,28.6,0,0.0,0.0,0,4,0,0,3,Matches,58a3a572
223,Ander Guevara,es ESP,MF,Real Sociedad,22,1997,10.4,585,680,86.0,10880,2723,246,275,89.5,271,307,88.3,64,85,75.3,0,0.4,-0.4,8,50,1,0,42,Matches,8e48dc61
224,John Guidetti,se SWE,FWDF,Alavés,27,1992,1.1,22,35,62.9,350,107,14,16,87.5,6,10,60.0,2,5,40.0,0,0.1,-0.1,1,3,2,0,4,Matches,99bebd12
225,Hugo Guillamón,es ESP,DF,Valencia,19,2000,5.5,287,315,91.1,6645,2146,66,70,94.3,155,159,97.5,65,84,77.4,0,0.0,0.0,0,12,0,0,15,Matches,f7c12fbf
226,Munir El Haddadi,ma MAR,FW,Sevilla,23,1995,13.9,348,454,76.7,5435,1274,191,222,86.0,116,143,81.1,28,53,52.8,2,1.4,+0.6,16,20,23,6,36,Matches,8696bc90
227,Eden Hazard,be BEL,FWMF,Real Madrid,28,1991,12.0,522,611,85.4,8034,1771,323,360,89.7,143,161,88.8,45,54,83.3,3,2.6,+0.4,22,33,14,2,45,Matches,a39bb753
228,Mario Hermoso,es ESP,DF,Atlético Madrid,24,1995,13.5,511,642,79.6,11693,4763,153,167,91.6,249,278,89.6,105,186,56.5,0,0.1,-0.1,2,35,1,0,36,Matches,555f3a0b
229,Aridane Hernández,gq EQG,DF,Osasuna,30,1989,29.0,737,925,79.7,17877,5284,174,199,87.4,355,419,84.7,203,297,68.4,0,0.2,-0.2,4,34,4,1,49,Matches,132ac341
230,Javier Hernández,mx MEX,FW,Sevilla,31,1988,5.0,58,79,73.4,766,77,39,49,79.6,14,20,70.0,2,2,100.0,0,0.3,-0.3,4,1,1,0,3,Matches,189cee7b
231,Juan Hernández,es ESP,FWMF,Celta Vigo,24,1994,1.0,14,23,60.9,205,91,9,14,64.3,5,5,100.0,0,3,0.0,0,0.3,-0.3,2,1,2,2,3,Matches,1fc3c3d7
232,Héctor Herrera,mx MEX,MF,Atlético Madrid,29,1990,12.5,671,777,86.4,11474,4164,341,373,91.4,241,267,90.3,75,110,68.2,2,1.7,+0.3,21,78,12,2,78,Matches,a8542814
233,Sergio Herrera,es ESP,GK,Osasuna,26,1993,18.4,292,612,47.7,13464,10530,18,21,85.7,66,69,95.7,207,520,39.8,0,0.1,-0.1,1,16,0,0,0,Matches,a4995f48
234,Yangel Herrera,ve VEN,MF,Granada,21,1998,26.3,714,942,75.8,13566,4100,308,365,84.4,298,380,78.4,96,154,62.3,3,1.2,+1.8,19,81,12,3,99,Matches,e778654a
235,Iago Herrerín,es ESP,GK,Athletic Club,31,1988,4.7,101,169,59.8,3877,2699,7,7,100.0,37,38,97.4,57,124,46.0,0,0.0,0.0,0,2,0,0,0,Matches,9109185e
236,Pablo Hervías,es ESP,MFFW,Valladolid,26,1993,11.3,280,402,69.7,4544,1175,165,185,89.2,76,108,70.4,30,82,36.6,0,0.8,-0.8,12,11,2,2,16,Matches,ba5a9545
237,Robert Ibáñez,es ESP,MFFW,Osasuna,26,1993,6.0,139,173,80.3,1998,549,90,103,87.4,37,47,78.7,8,11,72.7,0,0.2,-0.2,3,10,5,0,17,Matches,c7429db3
238,Vicente Iborra,es ESP,MF,Villarreal,31,1988,29.4,1247,1446,86.2,25927,5676,424,475,89.3,579,643,90.0,224,292,76.7,2,0.6,+1.4,8,110,5,0,80,Matches,ad1ffcfd
239,Borja Iglesias,es ESP,FW,Betis,26,1993,21.4,238,319,74.6,3467,539,127,150,84.7,66,93,71.0,20,30,66.7,2,2.0,0.0,15,12,8,0,15,Matches,75645f0e
240,Asier Illarramendi,es ESP,MF,Real Sociedad,29,1990,2.4,168,183,91.8,3164,1061,65,69,94.2,81,87,93.1,21,25,84.0,0,0.1,-0.1,1,22,3,0,13,Matches,5ce0b5ba
241,Takashi Inui,jp JPN,MFFW,Eibar,31,1988,21.8,436,591,73.8,6951,1450,247,297,83.2,152,208,73.1,29,62,46.8,3,1.6,+1.4,19,24,11,3,36,Matches,61bd33d0
242,Alexander Isak,se SWE,FW,Real Sociedad,19,1999,16.7,222,304,73.0,3339,580,123,158,77.8,73,95,76.8,13,17,76.5,1,2.2,-1.2,15,12,13,0,27,Matches,8e92be30
243,Isco,es ESP,FWMF,Real Madrid,27,1992,13.1,735,856,85.9,12033,2854,395,412,95.9,240,278,86.3,76,111,68.5,2,2.1,-0.1,23,60,26,5,68,Matches,a0b4bb3e
244,Ismael,es ESP,MF,Betis,18,2000,0.9,24,27,88.9,369,31,14,14,100.0,8,8,100.0,1,2,50.0,0,0.0,0.0,0,1,0,0,0,Matches,19cdceb0
245,Ander Iturraspe,es ESP,MF,Espanyol,30,1989,2.7,53,70,75.7,898,256,25,33,75.8,22,27,81.5,5,8,62.5,0,0.0,0.0,0,4,0,0,5,Matches,6dce77a5
246,Jacobo,es ESP,DFMF,Celta Vigo,22,1997,0.9,26,38,68.4,445,153,11,16,68.8,13,16,81.3,1,5,20.0,0,0.0,0.0,0,2,0,0,1,Matches,09e81276
247,Adnan Januzaj,be BEL,FWMF,Real Sociedad,24,1995,13.0,323,496,65.1,6349,2050,159,199,79.9,103,140,73.6,58,117,49.6,3,2.5,+0.5,22,26,24,3,54,Matches,4737cebe
248,Jason,es ESP,MF,Getafe,25,1994,13.1,236,407,58.0,4266,1724,118,156,75.6,78,117,66.7,35,104,33.7,4,2.3,+1.7,27,24,16,8,40,Matches,9038c2a1
249,Joaquín,es ESP,MFFW,Betis,38,1981,22.9,935,1163,80.4,15558,4558,483,535,90.3,324,387,83.7,96,169,56.8,3,5.4,-2.4,61,39,56,13,110,Matches,4c5b14d2
250,Frenkie de Jong,nl NED,MF,Barcelona,22,1997,23.5,1536,1661,92.5,25882,6035,785,829,94.7,575,609,94.4,143,165,86.7,2,2.4,-0.4,23,154,21,2,108,Matches,1bacc518
251,Luuk de Jong,nl NED,FW,Sevilla,28,1990,22.9,389,543,71.6,5634,912,223,294,75.9,124,174,71.3,22,33,66.7,1,2.5,-1.5,18,23,8,1,31,Matches,abb3bb95
252,Joan Jordán,es ESP,MF,Sevilla,25,1994,25.0,1497,1747,85.7,29875,6699,617,687,89.8,595,667,89.2,255,333,76.6,2,3.5,-1.5,36,139,26,12,121,Matches,2a0c8ba4
253,Willian José,br BRA,FW,Real Sociedad,27,1991,22.3,406,565,71.9,6795,1148,222,281,79.0,122,160,76.3,47,76,61.8,1,1.7,-0.7,18,28,14,0,30,Matches,d87e2cae
254,Joselu,es ESP,FW,Alavés,29,1990,30.9,541,995,54.4,8570,2355,312,516,60.5,149,313,47.6,56,104,53.8,2,2.2,-0.2,15,79,13,2,77,Matches,6265208f
255,Luka Jović,rs SRB,FW,Real Madrid,21,1997,4.8,111,134,82.8,1548,200,75,85,88.2,25,32,78.1,8,10,80.0,1,0.7,+0.3,3,9,1,0,5,Matches,4d8cd038
256,Juanmi,es ESP,FWMF,Betis,26,1993,2.9,46,57,80.7,623,132,32,36,88.9,6,8,75.0,4,6,66.7,0,0.1,-0.1,1,1,2,1,2,Matches,84399660
257,David Juncà,es ESP,DF,Celta Vigo,25,1993,2.9,115,152,75.7,2071,739,46,56,82.1,59,68,86.8,8,22,36.4,0,0.0,0.0,0,10,1,1,10,Matches,de7d40d6
258,Lago Junior,ci CIV,MFFW,Mallorca,28,1990,24.3,526,729,72.2,7604,2116,323,381,84.8,155,212,73.1,27,72,37.5,0,1.2,-1.2,19,29,20,8,40,Matches,360d70f8
259,Vinicius Júnior,br BRA,FWMF,Real Madrid,19,2000,15.2,421,544,77.4,6140,1184,257,296,86.8,124,154,80.5,25,41,61.0,1,2.3,-1.3,21,15,12,1,36,Matches,7111d552
260,Lee Kangin,kr KOR,MFFW,Valencia,18,2001,5.0,188,239,78.7,3175,613,94,104,90.4,72,85,84.7,18,41,43.9,0,0.4,-0.4,6,10,4,0,11,Matches,8455ad90
261,Wilfrid Kaptoum,cm CMR,MF,Betis,23,1996,2.2,59,71,83.1,958,204,25,26,96.2,25,31,80.6,6,11,54.5,0,0.0,0.0,1,5,1,0,4,Matches,d717630e
262,Kenedy,br BRA,MFDF,Getafe,23,1996,6.5,133,201,66.2,2275,832,69,82,84.1,37,60,61.7,19,40,47.5,3,1.0,+2.0,9,8,13,8,13,Matches,5eebbfdf
263,Kike,es ESP,FW,Eibar,29,1989,19.6,327,487,67.1,4486,733,202,259,78.0,96,146,65.8,11,36,30.6,1,0.8,+0.2,9,28,5,1,22,Matches,e897d8ba
264,Giorgi Kochorashvili,ge GEO,MF,Levante,20,1999,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches,3da1b6ed
265,Kenan Kodro,ba BIH,FWMF,Athletic Club,25,1993,4.0,55,86,64.0,661,101,42,58,72.4,11,20,55.0,1,4,25.0,0,0.0,0.0,1,4,0,0,1,Matches,e82d2807
266,Koke,es ESP,MF,Atlético Madrid,27,1992,30.0,1436,1752,82.0,22521,6076,763,837,91.2,490,567,86.4,120,252,47.6,5,5.4,-0.4,57,119,23,5,116,Matches,55126f3b
267,Geoffrey Kondogbia,cf CTA,MF,Valencia,26,1993,20.1,945,1114,84.8,19623,4231,349,391,89.3,415,468,88.7,163,231,70.6,1,0.2,+0.8,6,86,4,0,77,Matches,cce181df
268,Jules Koundé,fr FRA,DF,Sevilla,20,1998,25.7,1285,1489,86.3,26939,8416,377,410,92.0,689,748,92.1,214,309,69.3,1,0.5,+0.5,3,72,2,2,70,Matches,4d1666ff
