,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,,-additional
139,Naïs Djouahra,fr FRA,FWDF,Real Sociedad,19,1999,0.3,25,0,1,10,14,2,25,1,2,50.0,2,0,23,119,86,5,0,1,0,0,23,23,100.0,3,Matches,3594a357
140,Marko Dmitrović,rs SRB,GK,Eibar,27,1992,35.0,1158,931,1146,13,2,2,742,1,1,100.0,1,0,495,3202,1906,0,0,0,0,0,364,360,98.9,0,Matches,ac295d9e
141,Jaume Doménech,es ESP,GK,Valencia,28,1990,14.7,500,457,500,0,0,0,322,0,0,,0,0,213,867,505,0,0,0,0,0,169,168,99.4,0,Matches,c9cb972b
142,Domingos Duarte,pt POR,DF,Granada,24,1995,34.3,1566,252,900,709,45,21,1470,6,9,66.7,8,2,781,4778,2595,46,3,0,8,0,854,829,97.1,16,Matches,93090f69
143,Óscar Duarte,cr CRC,DF,Levante,30,1989,5.4,299,79,207,98,8,6,289,1,1,100.0,1,0,161,898,450,5,0,0,0,1,181,179,98.9,3,Matches,aa0ac32d
144,Rubén Duarte,es ESP,DF,Alavés,23,1995,29.6,1651,97,539,828,346,33,1323,4,10,40.0,5,0,745,3514,1761,74,24,3,14,16,791,730,92.3,31,Matches,1fe0492d
145,Hugo Duro,es ESP,FWMF,Getafe,19,1999,4.2,145,4,15,58,80,24,142,0,1,0.0,0,0,73,287,140,8,5,3,18,11,202,97,48.0,44,Matches,37e103f8
146,Aritz Elustondo,es ESP,DF,Real Sociedad,25,1994,16.8,1145,147,561,614,56,15,1094,2,5,40.0,2,0,694,4646,2404,54,6,0,2,6,722,709,98.2,9,Matches,f7dc2ae5
147,Rodrigo Ely,br BRA,DF,Alavés,25,1993,23.6,1111,160,635,496,22,15,1075,4,4,100.0,4,0,528,2502,937,18,1,0,3,8,569,544,95.6,15,Matches,fd47b4f2
148,Adri Embarba,es ESP,MFFW,Espanyol,27,1992,15.2,682,15,108,293,342,31,611,35,70,50.0,40,3,469,2657,1533,79,21,7,38,33,617,414,67.1,105,Matches,db8f0eba
149,Emerson,br BRA,DF,Betis,20,1999,31.5,2008,101,596,874,673,96,1719,21,41,51.2,22,2,1234,6415,4022,200,59,21,43,36,1339,1221,91.2,106,Matches,df8b52a5
150,Youssef En-Nesyri,ma MAR,FW,Sevilla,22,1997,8.8,261,9,29,145,103,43,248,6,14,42.9,6,0,136,552,307,15,6,7,24,18,345,188,54.5,76,Matches,04e17fd5
151,Youssef En-Nesyri,ma MAR,FW,Leganés,22,1997,15.4,469,21,38,211,248,71,458,17,35,48.6,19,3,253,1194,694,37,14,12,42,26,744,335,45.0,124,Matches,04e17fd5
152,Sergi Enrich,es ESP,FW,Eibar,29,1990,20.7,746,14,49,342,374,84,717,9,12,75.0,10,3,357,1076,255,13,4,1,61,27,1062,527,49.6,212,Matches,bb4b1242
153,Javier Eraso,es ESP,MFFW,Leganés,29,1990,9.1,387,5,37,195,172,29,358,3,6,50.0,3,1,239,885,366,19,8,1,20,24,356,252,70.8,62,Matches,aec0fb6f
154,Gonzalo Escalante,ar ARG,MF,Eibar,26,1993,18.6,851,32,134,530,226,33,833,18,24,75.0,21,0,424,1815,809,44,17,1,14,13,512,431,84.2,49,Matches,3f79a1c8
155,Aarón Escandell,es ESP,GK,Granada,23,1995,3.0,133,114,132,1,0,0,95,0,0,,0,0,68,425,285,0,0,0,0,0,45,45,100.0,0,Matches,67669ce7
156,Sergio Escudero,es ESP,DF,Sevilla,29,1989,8.6,707,29,236,351,148,12,610,7,11,63.6,8,1,406,1535,931,36,12,1,7,8,452,418,92.5,28,Matches,b0616e3d
157,Bernardo Espinosa,co COL,DF,Espanyol,30,1989,25.1,1335,176,785,537,67,40,1299,1,1,100.0,1,0,617,3057,1429,19,0,1,12,3,745,701,94.1,31,Matches,4242011c
158,Vicente Esquerdo,es ESP,MFFW,Valencia,20,1999,0.2,17,1,5,9,5,0,17,0,1,0.0,0,0,14,65,6,0,0,0,3,2,16,13,81.3,3,Matches,ced26057
159,Pervis Estupiñán,ec ECU,DF,Osasuna,21,1998,33.1,2256,102,611,1144,674,46,1873,63,108,58.3,68,3,1360,7520,4963,219,81,10,58,52,1348,1193,88.5,80,Matches,d38fdf53
160,Oghenekaro Etebo,ng NGA,MF,Getafe,23,1995,6.4,293,6,58,161,95,13,289,6,9,66.7,6,0,188,990,522,29,9,2,11,9,194,162,83.5,27,Matches,b579e83d
161,Beñat Etxebarria,es ESP,MF,Athletic Club,32,1987,4.4,235,8,34,153,57,4,203,0,1,0.0,1,0,124,402,189,8,3,0,2,4,141,129,91.5,6,Matches,b037bd4f
162,Xabier Etxeita,es ESP,DF,Getafe,31,1987,16.1,581,64,252,309,30,11,564,0,0,,0,0,154,789,365,11,0,0,0,1,173,168,97.1,8,Matches,4a895384
163,Edu Expósito,es ESP,MF,Eibar,22,1996,25.7,1174,33,194,732,319,24,1153,26,36,72.2,26,0,752,3613,1619,79,25,7,23,22,756,671,88.8,61,Matches,283c7121
164,Fabricio,es ESP,GK,Mallorca,31,1987,1.0,35,32,35,0,0,0,23,0,0,,0,0,15,60,22,0,0,0,1,0,14,14,100.0,0,Matches,af245161
165,Fayçal Fajr,ma MAR,MF,Getafe,30,1988,4.5,227,2,28,113,97,4,187,2,2,100.0,2,1,117,400,160,6,6,0,3,2,139,111,79.9,9,Matches,79135368
166,Eliseo Falcon,es ESP,DFMF,Levante,22,1997,0.8,28,6,15,13,2,0,26,2,2,100.0,2,0,23,161,92,5,1,0,0,0,19,19,100.0,0,Matches,904cd50d
167,Ansu Fati,es ESP,FWDF,Barcelona,16,2002,11.4,724,8,41,237,502,108,708,23,56,41.1,26,1,590,3267,2112,127,21,36,34,22,702,600,85.5,122,Matches,0ba976e4
168,Aleix Febas,es ESP,MF,Mallorca,23,1996,18.8,906,9,151,522,292,42,889,30,48,62.5,30,2,716,3328,1690,74,19,6,32,43,819,671,81.9,89,Matches,38126309
169,Zouhair Feddal,ma MAR,DF,Betis,30,1989,15.9,1236,177,672,610,35,16,1193,4,5,80.0,4,0,794,4335,2433,48,3,0,5,4,881,866,98.3,12,Matches,89151b16
170,Ljubomir Fejsa,rs SRB,MF,Alavés,30,1988,8.7,357,24,110,219,36,0,355,3,4,75.0,4,0,178,664,128,1,2,0,2,3,196,178,90.8,5,Matches,874d7a32
171,Nabil Fekir,fr FRA,MFFW,Betis,26,1993,29.3,1524,16,153,784,732,147,1472,84,127,66.1,87,3,1289,7192,4064,235,72,38,68,74,1486,1197,80.6,231,Matches,bece776f
172,Felipe,br BRA,DF,Atlético Madrid,30,1989,23.4,1175,174,636,552,45,28,1144,4,5,80.0,4,1,607,3641,1455,17,4,0,4,2,662,631,95.3,27,Matches,51a3c4c8
173,João Félix,pt POR,FWMF,Atlético Madrid,19,1999,19.4,772,9,75,401,360,85,748,20,58,34.5,24,5,590,2739,1602,87,34,16,40,18,862,611,70.9,147,Matches,8aafd64f
174,Matheus Fernandes,br BRA,MF,Valladolid,21,1998,1.8,76,3,16,47,16,2,76,2,2,100.0,2,0,43,137,63,2,1,0,1,2,56,41,73.2,4,Matches,f76fdcd2
175,Aitor Fernández,es ESP,GK,Levante,28,1991,36.0,1258,1098,1249,10,0,0,792,0,0,,0,0,447,2265,1603,0,0,0,0,1,347,345,99.4,0,Matches,a01c3d54
176,Andrés Fernández,es ESP,GK,Villarreal,32,1986,4.0,164,161,164,1,0,0,111,0,0,,0,0,78,378,197,0,0,0,0,0,69,69,100.0,0,Matches,307fcd26
177,Carlos Fernández,es ESP,FWMF,Granada,23,1996,24.5,941,37,90,495,405,79,914,33,58,56.9,37,2,555,2485,1020,61,21,3,69,39,1051,660,62.8,219,Matches,e08647d6
178,Gabriel Fernández,uy URU,FWMF,Celta Vigo,25,1994,6.2,192,4,16,104,92,31,187,8,13,61.5,8,0,135,765,262,15,2,2,21,12,263,150,57.0,49,Matches,36c5f77b
179,Joaquín Fernández,es ESP,MFDF,Valladolid,23,1996,18.4,947,74,330,598,54,10,915,8,10,80.0,9,0,510,2187,850,23,6,0,5,4,566,542,95.8,14,Matches,b86a64b2
180,Fernando,br BRA,MF,Sevilla,32,1987,29.5,1866,151,659,1114,190,32,1816,16,22,72.7,18,1,1121,5054,2393,71,18,0,22,11,1197,1132,94.6,48,Matches,41f32541
181,Facundo Ferreyra,ar ARG,FW,Espanyol,28,1991,6.4,172,4,11,83,81,25,164,3,5,60.0,3,0,80,244,107,6,3,2,17,8,308,116,37.7,49,Matches,b39a793e
182,Junior Firpo,es ESP,DF,Barcelona,22,1996,11.3,948,26,233,501,293,32,858,11,20,55.0,12,2,693,3225,1967,103,37,6,6,9,736,696,94.6,39,Matches,24f59bb2
183,Alessandro Florenzi,it ITA,DF,Valencia,28,1991,8.4,552,32,188,264,127,16,477,7,10,70.0,7,1,316,1379,760,35,15,2,9,3,371,341,91.9,26,Matches,e288d4b3
184,Hernâni Fortes,pt POR,MFFW,Levante,27,1991,7.3,276,13,66,98,141,31,269,11,29,37.9,15,0,209,1391,986,51,13,18,14,10,277,189,68.2,46,Matches,2327c29e
185,Dimitri Foulquier,fr FRA,DF,Granada,26,1993,12.4,551,39,172,296,132,6,453,12,23,52.2,14,0,285,1756,1219,40,15,1,11,12,294,244,83.0,13,Matches,45e17712
186,Jorge de Frutos,es ESP,MFDF,Valladolid,22,1997,0.7,29,0,8,13,11,3,28,0,1,0.0,0,0,15,51,31,2,2,0,2,2,21,16,76.2,5,Matches,38ce1150
187,Ramiro Funes Mori,ar ARG,DF,Villarreal,28,1991,5.0,310,34,168,159,8,4,303,1,1,100.0,1,0,215,1525,843,23,4,0,2,1,212,208,98.1,4,Matches,89cbc961
188,Enric Gallego,es ESP,FWMF,Getafe,32,1986,1.8,80,2,10,37,36,11,78,2,4,50.0,2,0,39,119,24,0,0,0,10,3,120,55,45.8,26,Matches,82e9b89d
189,Enric Gallego,es ESP,FW,Osasuna,32,1986,9.8,380,10,24,184,182,52,366,6,13,46.2,7,1,155,387,144,11,3,1,36,9,565,286,50.6,113,Matches,82e9b89d
190,Kévin Gameiro,fr FRA,FW,Valencia,32,1987,17.6,597,7,51,287,300,91,555,22,31,71.0,23,0,444,2284,1020,52,17,16,47,32,680,427,62.8,154,Matches,42276181
191,Fran Gámez,es ESP,DF,Mallorca,28,1991,19.6,1104,99,352,488,334,18,927,16,22,72.7,18,2,585,3183,1869,88,32,3,23,14,628,541,86.1,36,Matches,2e3406ae
192,Ezequiel Garay,ar ARG,DF,Valencia,32,1986,16.0,997,176,590,453,36,12,976,0,0,,0,0,631,4242,2232,63,11,0,2,1,720,710,98.6,9,Matches,ac3fb1be
193,Dani García,es ESP,MF,Athletic Club,29,1990,33.7,1782,84,465,1248,144,12,1746,9,11,81.8,9,1,995,3970,1802,52,9,1,10,19,1066,1014,95.1,17,Matches,240d3a0b
194,David García,es ESP,DF,Osasuna,25,1994,31.0,1540,156,719,848,46,27,1485,2,3,66.7,2,0,634,3132,1594,37,1,0,4,2,720,697,96.8,24,Matches,3e42f707
195,Javi García,es ESP,MF,Betis,32,1987,4.2,239,17,71,163,15,6,229,1,2,50.0,1,0,133,669,266,10,1,0,4,3,168,159,94.6,4,Matches,167c1bb0
196,Manu García,es ESP,MF,Alavés,33,1986,21.9,961,57,203,656,133,28,951,10,15,66.7,12,0,514,1877,627,23,10,0,20,25,655,532,81.2,53,Matches,05a4465d
197,Raúl García,es ESP,DF,Getafe,30,1989,2.7,174,9,46,84,58,0,137,4,5,80.0,4,0,88,562,308,15,5,0,2,2,84,78,92.9,8,Matches,1a317a1b
198,Raúl García,es ESP,MFFW,Athletic Club,33,1986,31.9,1366,51,177,702,549,106,1344,8,16,50.0,9,2,601,2596,1390,74,34,5,68,29,1409,925,65.6,205,Matches,b418dbd4
199,Raúl García,es ESP,DFMF,Valladolid,30,1989,11.2,589,28,170,299,150,8,463,3,8,37.5,3,0,274,1574,907,40,18,0,8,4,312,273,87.5,17,Matches,1a317a1b
200,Rubén García,es ESP,MFFW,Osasuna,26,1993,24.3,1354,23,163,651,609,60,1200,31,44,70.5,31,3,842,3701,2000,109,34,9,67,46,1189,886,74.5,187,Matches,5c96b017
201,Unai García,es ESP,DF,Osasuna,27,1992,6.0,281,37,131,140,25,4,248,3,4,75.0,3,0,115,684,368,8,2,0,4,0,117,111,94.9,4,Matches,4a633cfe
202,Víctor García,es ESP,FWMF,Valladolid,22,1997,1.0,42,0,10,22,14,2,42,3,5,60.0,3,0,31,227,114,3,1,0,0,0,38,28,73.7,5,Matches,6636496a
203,Manuel Garrido,es ESP,FW,Leganés,18,2000,1.3,42,1,1,18,24,3,40,2,3,66.7,2,0,22,94,50,3,1,0,5,1,64,34,53.1,11,Matches,f814eccb
204,Mario Gaspar,es ESP,DF,Villarreal,28,1990,21.8,1325,83,426,655,299,39,1103,3,10,30.0,4,0,663,2491,1389,58,16,3,15,6,832,733,88.1,49,Matches,fb5d47b3
205,José Antonio Martínez Gil,es ESP,DF,Granada,26,1993,13.2,622,60,319,305,28,11,577,3,3,100.0,3,1,317,1697,817,21,2,0,6,1,317,307,96.8,9,Matches,8e049cbd
206,Ibai Gómez,es ESP,FW,Athletic Club,29,1989,7.7,400,4,36,143,243,21,316,8,15,53.3,10,0,232,921,443,21,10,2,14,20,314,235,74.8,48,Matches,9d2a3d5f
207,Maxi Gómez,uy URU,FW,Valencia,22,1996,23.8,589,17,47,331,235,85,560,5,10,50.0,5,0,332,1310,657,38,16,8,46,22,819,440,53.7,157,Matches,4c2e9442
208,Moi Gómez,es ESP,FWMF,Villarreal,25,1994,25.8,1404,39,235,661,598,72,1389,21,48,43.8,26,2,1040,5461,2620,155,42,19,37,33,1300,1070,82.3,139,Matches,5a626448
209,Sergi Gómez,es ESP,DF,Sevilla,27,1992,8.0,557,82,333,246,11,3,544,1,1,100.0,1,0,361,1707,811,12,1,0,0,0,411,405,98.5,1,Matches,bc6f5f06
210,Maxime Gonalons,fr FRA,MF,Granada,30,1989,16.7,744,43,223,495,62,8,724,14,18,77.8,14,0,445,2469,824,31,5,0,11,9,424,393,92.7,10,Matches,b8c1de25
211,Bruno González,es ESP,DF,Getafe,29,1990,2.0,75,6,27,45,5,1,71,0,0,,0,0,34,281,112,7,0,0,1,0,41,38,92.7,3,Matches,f11fe861
212,Bruno González,es ESP,DF,Levante,29,1990,5.1,261,50,157,106,7,2,255,0,0,,0,0,144,689,260,7,1,0,0,1,150,149,99.3,2,Matches,f11fe861
213,Édgar González,es ESP,MF,Betis,22,1997,7.6,425,31,194,224,46,8,421,4,7,57.1,5,0,280,1481,905,25,3,0,6,7,309,293,94.8,10,Matches,49d028db
214,Gonzalo,es ESP,DF,Levante,22,1997,0.1,5,0,0,4,2,0,5,0,0,,0,0,4,19,15,1,1,0,0,0,5,5,100.0,1,Matches,cca05da8
215,Andoni Gorosabel,es ESP,DF,Real Sociedad,22,1996,7.9,543,24,155,246,174,18,458,5,8,62.5,5,0,306,1407,789,37,15,3,10,4,337,303,89.9,40,Matches,6f5f82c0
216,Esteban Granero,es ESP,MF,Espanyol,32,1987,5.3,277,7,42,153,97,14,243,5,6,83.3,6,0,169,757,271,15,4,0,9,10,207,172,83.1,36,Matches,1b17ed86
217,Antoine Griezmann,fr FRA,FW,Barcelona,28,1991,28.3,1408,38,134,606,723,161,1373,18,37,48.6,20,1,938,3960,1647,95,22,21,38,20,1491,1121,75.2,254,Matches,df69b544
218,Andrés Guardado,mx MEX,MF,Betis,32,1986,22.7,1227,45,240,785,277,23,1194,18,23,78.3,18,1,889,4436,1984,97,29,5,28,20,939,868,92.4,53,Matches,ef322658
219,Sergi Guardiola,es ESP,FW,Valladolid,28,1991,29.5,1032,21,85,555,466,95,993,36,63,57.1,38,4,708,3379,1719,96,32,20,83,55,1307,771,59.0,242,Matches,32974271
220,Nemanja Gudelj,rs SRB,MFDF,Sevilla,27,1991,13.5,811,56,284,505,59,3,784,11,14,78.6,12,0,515,2764,1222,40,10,0,4,8,570,548,96.1,5,Matches,0076ab7f
221,Gonçalo Guedes,pt POR,MFFW,Valencia,22,1996,14.1,651,5,70,311,335,38,637,45,63,71.4,47,1,558,3441,1911,104,28,15,32,27,612,500,81.7,112,Matches,e6bc67d7
222,Adrián Guerrero,es ESP,DF,Valencia,21,1998,1.4,92,3,25,49,23,1,80,2,4,50.0,2,0,68,226,126,5,3,0,0,1,69,66,95.7,2,Matches,58a3a572
223,Ander Guevara,es ESP,MF,Real Sociedad,22,1997,10.4,790,31,206,545,94,4,769,10,12,83.3,10,0,538,2830,1582,57,13,0,10,9,558,535,95.9,15,Matches,8e48dc61
224,John Guidetti,se SWE,FWDF,Alavés,27,1992,1.1,46,0,0,26,21,2,43,2,4,50.0,2,0,29,118,73,2,1,0,0,2,64,35,54.7,12,Matches,99bebd12
225,Hugo Guillamón,es ESP,DF,Valencia,19,2000,5.5,379,100,244,158,5,0,368,1,3,33.3,1,0,267,1577,826,17,1,0,0,2,276,274,99.3,0,Matches,f7c12fbf
226,Munir El Haddadi,ma MAR,FW,Sevilla,23,1995,13.9,652,10,69,293,329,77,628,15,21,71.4,16,0,451,1991,987,69,19,9,33,30,667,482,72.3,148,Matches,8696bc90
227,Eden Hazard,be BEL,FWMF,Real Madrid,28,1991,12.0,787,5,80,356,428,104,781,41,66,62.1,44,1,662,4289,2702,145,44,32,24,36,803,667,83.1,153,Matches,a39bb753
228,Mario Hermoso,es ESP,DF,Atlético Madrid,24,1995,13.5,763,84,393,390,23,9,732,3,3,100.0,3,0,452,2126,1067,27,0,0,2,1,484,471,97.3,6,Matches,555f3a0b
229,Aridane Hernández,gq EQG,DF,Osasuna,30,1989,29.0,1286,176,728,588,30,22,1240,3,4,75.0,4,0,538,2830,1066,22,0,0,7,3,564,549,97.3,16,Matches,132ac341
230,Javier Hernández,mx MEX,FW,Sevilla,31,1988,5.0,142,1,2,69,75,27,134,1,2,50.0,1,0,75,325,152,9,3,3,14,8,226,97,42.9,42,Matches,189cee7b
231,Juan Hernández,es ESP,FWMF,Celta Vigo,24,1994,1.0,29,0,2,15,14,4,27,3,5,60.0,3,0,20,77,27,2,0,0,2,0,41,20,48.8,10,Matches,1fc3c3d7
232,Héctor Herrera,mx MEX,MF,Atlético Madrid,29,1990,12.5,929,32,161,596,234,13,883,16,19,84.2,16,1,622,3029,1527,67,20,1,14,14,695,629,90.5,28,Matches,a8542814
233,Sergio Herrera,es ESP,GK,Osasuna,26,1993,18.4,672,584,666,7,0,0,443,3,3,100.0,3,0,307,2136,1248,0,0,0,1,0,201,200,99.5,0,Matches,a4995f48
234,Yangel Herrera,ve VEN,MF,Granada,21,1998,26.3,1257,53,270,823,232,26,1244,21,27,77.8,21,1,791,3417,1510,70,24,0,29,33,828,717,86.6,48,Matches,e778654a
235,Iago Herrerín,es ESP,GK,Athletic Club,31,1988,4.7,175,154,175,0,0,0,127,0,0,,0,0,95,527,362,0,0,0,0,0,76,76,100.0,0,Matches,9109185e
236,Pablo Hervías,es ESP,MFFW,Valladolid,26,1993,11.3,541,8,100,269,248,18,491,29,51,56.9,32,1,432,3788,1831,67,23,4,19,25,444,345,77.7,31,Matches,ba5a9545
237,Robert Ibáñez,es ESP,MFFW,Osasuna,26,1993,6.0,269,3,33,144,117,24,269,15,25,60.0,17,0,231,1328,695,42,14,6,16,20,257,209,81.3,41,Matches,c7429db3
238,Vicente Iborra,es ESP,MF,Villarreal,31,1988,29.4,1715,114,507,1102,175,35,1667,10,15,66.7,12,2,1002,3831,1722,56,9,2,19,12,1222,1114,91.2,55,Matches,ad1ffcfd
239,Borja Iglesias,es ESP,FW,Betis,26,1993,21.4,524,24,54,270,229,97,480,17,37,45.9,18,1,323,1271,539,25,11,7,65,24,739,364,49.3,142,Matches,75645f0e
240,Asier Illarramendi,es ESP,MF,Real Sociedad,29,1990,2.4,203,13,49,150,20,1,197,0,1,0.0,0,0,147,1077,670,37,9,0,2,0,150,148,98.7,0,Matches,5ce0b5ba
241,Takashi Inui,jp JPN,MFFW,Eibar,31,1988,21.8,837,13,100,369,430,70,822,18,40,45.0,19,3,613,3558,2134,118,29,22,38,38,806,567,70.3,124,Matches,61bd33d0
242,Alexander Isak,se SWE,FW,Real Sociedad,19,1999,16.7,497,7,17,247,276,103,465,24,42,57.1,27,0,353,1877,1190,64,24,20,40,42,728,372,51.1,163,Matches,8e92be30
243,Isco,es ESP,FWMF,Real Madrid,27,1992,13.1,1002,8,127,570,380,46,975,34,54,63.0,36,1,816,4351,2306,137,32,10,24,18,986,849,86.1,96,Matches,a0b4bb3e
244,Ismael,es ESP,MF,Betis,18,2000,0.9,42,2,16,24,5,0,42,0,0,,0,0,24,86,24,2,0,0,4,1,29,25,86.2,1,Matches,19cdceb0
245,Ander Iturraspe,es ESP,MF,Espanyol,30,1989,2.7,82,8,23,47,14,0,81,0,0,,0,0,32,109,67,4,0,0,1,1,46,37,80.4,5,Matches,6dce77a5
246,Jacobo,es ESP,DFMF,Celta Vigo,22,1997,0.9,49,4,20,19,14,3,43,0,1,0.0,0,0,32,170,115,2,1,1,3,1,30,27,90.0,3,Matches,09e81276
247,Adnan Januzaj,be BEL,FWMF,Real Sociedad,24,1995,13.0,703,6,56,338,357,45,649,34,65,52.3,38,3,578,3010,1844,99,24,22,43,36,678,545,80.4,109,Matches,4737cebe
248,Jason,es ESP,MF,Getafe,25,1994,13.1,611,17,77,254,313,25,546,20,50,40.0,21,1,369,1710,859,47,9,2,29,24,447,342,76.5,86,Matches,9038c2a1
249,Joaquín,es ESP,MFFW,Betis,38,1981,22.9,1379,25,144,641,705,73,1254,58,82,70.7,61,3,1039,5722,3391,203,67,21,26,29,1239,1030,83.1,135,Matches,4c5b14d2
250,Frenkie de Jong,nl NED,MF,Barcelona,22,1997,23.5,1835,36,364,1136,542,41,1813,38,53,71.7,40,1,1510,8779,4631,202,80,8,20,25,1656,1520,91.8,81,Matches,1bacc518
251,Luuk de Jong,nl NED,FW,Sevilla,28,1990,22.9,788,23,72,424,320,121,750,11,17,64.7,11,1,378,1359,574,32,12,8,51,33,1023,570,55.7,201,Matches,abb3bb95
252,Joan Jordán,es ESP,MF,Sevilla,25,1994,25.0,2000,40,352,1170,584,44,1875,43,56,76.8,44,0,1421,5981,2627,117,34,6,36,19,1549,1441,93.0,118,Matches,2a0c8ba4
253,Willian José,br BRA,FW,Real Sociedad,27,1991,22.3,764,18,48,410,339,100,719,9,19,47.4,10,0,507,2161,746,45,17,8,39,22,946,580,61.3,207,Matches,d87e2cae
254,Joselu,es ESP,FW,Alavés,29,1990,30.9,1434,46,130,809,525,135,1410,12,25,48.0,12,0,607,1770,669,42,9,5,98,57,1636,1079,66.0,296,Matches,6265208f
255,Luka Jović,rs SRB,FW,Real Madrid,21,1997,4.8,177,1,10,106,69,20,171,4,7,57.1,5,0,99,336,137,11,4,1,13,5,228,143,62.7,47,Matches,4d8cd038
256,Juanmi,es ESP,FWMF,Betis,26,1993,2.9,84,1,7,43,40,11,82,1,2,50.0,1,0,59,267,130,8,2,1,7,4,87,60,69.0,17,Matches,84399660
257,David Juncà,es ESP,DF,Celta Vigo,25,1993,2.9,170,6,52,98,32,2,147,3,5,60.0,3,0,111,626,435,14,5,2,2,1,121,108,89.3,1,Matches,de7d40d6
258,Lago Junior,ci CIV,MFFW,Mallorca,28,1990,24.3,1075,40,170,473,517,114,1050,29,67,43.3,32,2,785,4922,3072,149,43,40,61,59,1047,773,73.8,179,Matches,360d70f8
259,Vinicius Júnior,br BRA,FWMF,Real Madrid,19,2000,15.2,766,1,69,311,469,148,762,53,109,48.6,58,3,686,4081,2973,150,43,49,40,18,809,617,76.3,144,Matches,7111d552
260,Lee Kangin,kr KOR,MFFW,Valencia,18,2001,5.0,288,1,22,154,136,11,269,9,11,81.8,9,1,243,1497,702,43,11,3,8,15,266,236,88.7,31,Matches,8455ad90
261,Wilfrid Kaptoum,cm CMR,MF,Betis,23,1996,2.2,102,4,32,58,19,1,100,2,2,100.0,2,1,68,374,219,11,3,0,3,7,78,68,87.2,1,Matches,d717630e
262,Kenedy,br BRA,MFDF,Getafe,23,1996,6.5,315,6,27,143,169,16,305,19,30,63.3,19,2,237,1240,713,41,12,8,14,27,277,201,72.6,43,Matches,5eebbfdf
263,Kike,es ESP,FW,Eibar,29,1989,19.6,770,10,40,301,464,109,754,8,18,44.4,9,1,445,1830,582,35,13,5,95,35,1186,596,50.3,238,Matches,e897d8ba
264,Giorgi Kochorashvili,ge GEO,MF,Levante,20,1999,0.0,1,0,0,1,0,0,1,0,0,,0,0,1,13,0,0,0,0,0,0,1,1,100.0,0,Matches,3da1b6ed
265,Kenan Kodro,ba BIH,FWMF,Athletic Club,25,1993,4.0,119,3,13,68,47,7,112,3,3,100.0,3,0,70,232,71,5,2,0,6,6,162,86,53.1,28,Matches,e82d2807
266,Koke,es ESP,MF,Atlético Madrid,27,1992,30.0,2054,44,341,1169,620,54,1893,19,29,65.5,19,0,1278,4431,1936,95,32,4,31,34,1555,1380,88.7,107,Matches,55126f3b
267,Geoffrey Kondogbia,cf CTA,MF,Valencia,26,1993,20.1,1365,97,438,888,129,10,1339,16,19,84.2,16,0,929,5299,2478,93,15,1,12,17,942,896,95.1,24,Matches,cce181df
268,Jules Koundé,fr FRA,DF,Sevilla,20,1998,25.7,1745,202,870,868,109,38,1672,19,23,82.6,21,0,1084,5810,2918,77,21,5,7,11,1226,1200,97.9,30,Matches,4d1666ff
269,Leonardo Koutris,gr GRE,DF,Mallorca,24,1995,1.0,67,7,37,22,11,0,50,0,0,,0,0,24,78,31,2,1,0,0,1,29,27,93.1,1,Matches,114b510e
270,İsmail Köybaşı,tr TUR,DFFW,Granada,30,1989,2.6,114,2,24,57,36,2,96,2,5,40.0,2,0,63,303,126,6,3,2,3,4,81,59,72.8,6,Matches,58640e66
271,Toni Kroos,de GER,MF,Real Madrid,29,1990,29.5,2736,34,416,1698,785,43,2477,22,27,81.5,23,0,1892,8731,4555,216,69,7,15,14,2259,2132,94.4,71,Matches,6ce1f46f
272,Takefusa Kubo,jp JPN,MFFW,Mallorca,18,2001,25.7,1161,15,156,492,617,103,1119,72,120,60.0,81,2,951,5738,3707,210,53,43,61,75,1060,841,79.3,151,Matches,16aa3654
273,Víctor Laguardia,es ESP,DF,Alavés,29,1989,29.5,1316,168,780,576,26,16,1257,3,5,60.0,3,0,630,3055,1356,28,1,0,2,3,692,675,97.5,12,Matches,b7c99b9b
274,Diego Lainez,mx MEX,MFFW,Betis,19,2000,3.9,182,1,13,79,120,18,174,18,27,66.7,19,0,153,1045,675,42,14,8,10,12,182,139,76.4,25,Matches,bf12926c
275,Larra,es ESP,FWMF,Athletic Club,21,1997,2.8,112,0,9,44,65,4,105,3,7,42.9,4,0,72,329,140,10,3,1,7,6,145,85,58.6,22,Matches,0d690336
276,Toni Lato,es ESP,DFMF,Osasuna,21,1997,5.2,326,19,93,138,105,6,259,10,11,90.9,10,0,153,682,351,22,7,1,2,4,158,137,86.7,12,Matches,8e088e04
277,Robin Le Normand,fr FRA,DF,Real Sociedad,22,1996,26.6,1944,244,994,1043,46,23,1886,0,0,,0,0,1288,8006,4351,93,4,0,5,2,1396,1369,98.1,18,Matches,9a64e67e
278,Wu Lei,cn CHN,FWMF,Espanyol,27,1991,19.1,516,17,84,215,247,92,505,17,32,53.1,17,0,290,1602,966,48,12,18,32,13,615,326,53.0,132,Matches,e3fabb0a
279,Iñigo Lekue,es ESP,FWDF,Athletic Club,26,1993,6.9,388,19,81,167,169,9,343,11,37,29.7,14,4,252,1142,710,34,14,3,15,13,304,241,79.3,23,Matches,59b7d823
