,Rk,Player,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Rk,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Rk,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Rk,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Rk,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,VAL
20,60,Pedro Bigas,19.7,9,0.46,8,0,0,0,0,1,0,0.00,0,0,0,0,0,0,60,19.7,18,14,9,9,0,8,20,40.0,12,143,48,33.6,83,53,7,28,13,1,15,16,34,133,1,60,19.7,480,699,68.7,11846,4452,102,126,81.0,240,295,81.4,134,270,49.6,0,0.3,-0.3,3,40,5,1,54,60,19.7,907,93,422,481,62,11,854,0,2,0.0,1,0,384,2451,1127,37,9,0,3,3,415,398,95.9,10,60,19.7,3,8,5,62.5,0.41,0.25,0.38,0.60,16.8,0,0,0,1.6,1.6,0.20,+1.4,+1.4,72
21,64,Yassine Bounou,5.5,2,0.36,1,1,0,0,0,0,1,0.18,1,0,0,0,0,0,64,5.5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,64,5.5,127,170,74.7,4187,2666,19,19,100.0,57,57,100.0,51,94,54.3,1,0.3,+0.7,1,4,0,0,0,64,5.5,185,178,185,0,0,0,128,0,0,,0,0,84,314,101,0,0,0,0,0,73,73,100.0,0,64,5.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,76
22,66,Martin Braithwaite,4.5,8,1.77,2,0,2,2,2,0,1,0.22,0,0,0,1,0,0,66,4.5,3,1,2,1,0,0,2,0.0,2,45,15,33.3,6,15,24,1,0,0,1,2,5,3,0,66,4.5,99,128,77.3,1325,141,60,76,78.9,33,42,78.6,3,4,75.0,0,0.0,0.0,1,5,1,0,4,66,4.5,170,2,19,65,94,24,168,5,8,62.5,5,0,123,608,334,17,5,6,4,7,193,142,73.6,40,66,4.5,1,13,8,61.5,2.87,1.77,0.08,0.13,12.1,0,0,0,2.8,2.8,0.21,-1.8,-1.8,76
23,67,Martin Braithwaite,21.5,43,2.00,27,0,5,5,5,1,5,0.23,5,0,0,0,0,0,67,21.5,15,9,5,6,4,3,11,27.3,8,303,70,23.1,39,122,142,21,3,0,18,3,18,8,0,67,21.5,269,390,69.0,4023,865,173,220,78.6,69,105,65.7,19,39,48.7,1,1.3,-0.3,12,25,10,0,32,67,21.5,607,9,58,298,288,75,602,32,52,61.5,35,3,405,1872,884,47,17,7,47,27,775,442,57.0,137,67,21.5,6,40,16,40.0,1.86,0.74,0.15,0.38,14.4,1,0,1,6.7,5.9,0.15,-0.7,+0.1,76
24,69,Darko Brašanac,24.9,48,1.92,37,0,1,4,4,2,4,0.16,2,0,0,1,1,0,69,24.9,40,27,13,24,3,10,40,25.0,30,430,122,28.4,86,220,124,21,4,0,17,16,56,28,0,69,24.9,576,772,74.6,9704,2418,276,340,81.2,233,303,76.9,49,74,66.2,1,1.6,-0.6,19,51,9,2,57,69,24.9,976,38,168,566,298,59,968,12,22,54.5,12,0,559,2650,1283,69,27,6,27,30,866,604,69.7,127,69,24.9,0,21,7,33.3,0.84,0.28,0.00,0.00,11.2,0,0,0,1.8,1.8,0.09,-1.8,-1.8,76
25,70,Yan Brice Eteki,16.7,15,0.90,10,1,0,1,2,1,2,0.12,1,0,0,0,1,0,70,16.7,33,19,17,12,4,6,28,21.4,22,406,95,23.4,143,216,47,24,4,0,20,14,47,27,0,70,16.7,338,427,79.2,6084,1473,152,179,84.9,131,160,81.9,41,60,68.3,0,0.1,-0.1,3,35,2,0,31,70,16.7,583,29,135,369,105,4,577,13,20,65.0,14,0,354,1423,596,29,8,0,8,18,315,276,87.6,12,70,16.7,0,7,0,0.0,0.42,0.00,0.00,,19.0,0,0,0,0.6,0.6,0.08,-0.6,-0.6,73
26,74,Esteban Burgos,12.4,4,0.32,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,74,12.4,15,9,14,1,0,7,11,63.6,4,75,27,36.0,45,28,2,23,10,0,13,12,27,84,1,74,12.4,244,380,64.2,6711,2423,44,54,81.5,106,138,76.8,91,182,50.0,0,0.1,-0.1,1,27,1,0,29,74,12.4,515,71,267,269,8,3,494,7,7,100.0,7,0,210,1166,487,7,0,0,1,0,217,212,97.7,2,74,12.4,1,2,1,50.0,0.16,0.08,0.50,1.00,9.5,0,0,0,0.7,0.7,0.36,+0.3,+0.3,70
27,75,Burgui,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,75,0.2,0,0,0,0,0,0,0,,0,5,2,40.0,0,4,1,0,0,0,0,0,0,0,0,75,0.2,4,7,57.1,58,18,3,5,60.0,0,0,,1,2,50.0,0,0.0,0.0,0,1,0,0,1,75,0.2,10,0,1,7,3,0,9,0,0,,0,0,7,23,14,0,0,0,2,0,9,6,66.7,0,75,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,73
28,77,Sergio Busquets,27.6,57,2.07,51,1,1,0,1,3,11,0.40,9,0,1,0,0,1,77,27.6,78,63,24,44,10,32,63,50.8,31,491,146,29.7,125,271,95,52,5,0,47,36,114,40,2,77,27.6,2331,2584,90.2,42547,11347,962,1039,92.6,1066,1160,91.9,247,297,83.2,2,2.7,-0.7,22,237,29,0,184,77,27.6,2844,80,631,1885,468,18,2770,22,27,81.5,24,1,1910,6794,3362,128,39,2,14,19,2254,2182,96.8,42,77,27.6,2,10,4,40.0,0.36,0.14,0.20,0.50,15.6,0,0,0,1.3,1.3,0.13,+0.7,+0.7,87
29,79,Erick Cabaco,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,79,3.0,3,2,1,2,0,1,6,16.7,5,32,8,25.0,17,14,1,2,1,0,1,2,5,18,0,79,3.0,85,138,61.6,2366,986,19,25,76.0,33,49,67.3,33,62,53.2,0,0.0,0.0,0,11,1,0,11,79,3.0,169,14,59,96,19,1,135,0,0,,0,0,62,291,168,10,0,0,2,1,69,68,98.6,1,79,3.0,0,1,0,0.0,0.34,0.00,0.00,,6.0,0,0,0,0.1,0.1,0.13,-0.1,-0.1,74
