,Rk,Player,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Rk,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Rk,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Rk,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Rk,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,VAL
20,56,Marc Bartra,15.8,18,1.14,15,0,2,0,1,0,0,0.00,0,0,0,0,0,0,56,15.8,38,28,30,8,0,21,39,53.8,18,19,10,9,32,70,97,1,56,15.8,939,1100,85.4,18744,6976,314,336,93.5,491,527,93.2,123,212,58.0,0,0.7,0.5,-0.7,5,75,3,1,57,56,15.8,1316,139,614,677,38,11,1316,24,22,91.7,2,8.3,864,4697,3054,16,16,2,14,7,868,4,56,15.8,1,13,4,30.8,0.82,0.25,0.08,0.25,23.4,1,0,0,0.8,0.8,0.06,+0.2,+0.2,82
21,58,Jon Bautista,2.0,3,1.49,2,0,0,1,0,0,1,0.50,0,0,0,1,0,0,58,2.0,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0,58,2.0,27,35,77.1,305,46,16,18,88.9,4,8,50.0,2,3,66.7,0,0.1,0.1,-0.1,1,0,2,0,3,58,2.0,51,0,1,19,32,12,51,1,1,100.0,0,0.0,27,122,53,3,2,2,5,2,35,12,58,2.0,1,7,3,42.9,3.48,1.49,0.14,0.33,11.5,0,0,0,1.3,1.3,0.18,-0.3,-0.3,71
22,60,Claudio Beauvue,18.6,36,1.94,18,0,7,4,7,0,3,0.16,0,0,2,0,1,0,60,18.6,5,3,2,2,1,1,12,8.3,11,7,0,7,2,7,16,0,60,18.6,208,321,64.8,2650,449,125,172,72.7,55,84,65.5,7,22,31.8,0,1.3,0.7,-1.3,9,15,5,0,22,60,18.6,487,17,29,236,225,57,487,23,13,56.5,10,43.5,263,1117,410,18,15,9,56,40,381,70,60,18.6,2,39,9,23.1,2.10,0.48,0.05,0.22,17.3,0,0,0,4.2,4.2,0.11,-2.2,-2.2,75
23,62,Wissam Ben Yedder,18.9,58,3.07,46,0,5,3,3,1,9,0.48,7,0,1,1,0,0,62,18.9,12,8,2,5,5,1,2,50.0,1,10,0,10,5,17,2,0,62,18.9,371,481,77.1,4592,831,242,283,85.5,93,126,73.8,11,22,50.0,3,2.1,2.8,+0.9,28,18,16,0,53,62,18.9,635,5,34,271,338,114,635,30,16,53.3,14,46.7,409,1993,1002,42,28,23,44,31,475,138,62,18.9,9,48,25,52.1,2.54,1.32,0.19,0.36,11.7,1,0,0,12.3,12.3,0.26,-3.3,-3.3,81
24,63,Karim Benzema,23.9,92,3.85,77,0,9,5,1,0,23,0.96,18,0,2,2,1,0,63,23.9,14,8,2,6,6,3,20,15.0,17,18,0,18,8,22,19,0,63,23.9,723,881,82.1,9638,1966,473,541,87.4,159,194,82.0,46,54,85.2,10,6.8,5.3,+3.2,44,59,30,1,98,63,23.9,1070,24,51,433,592,151,1068,49,33,67.3,16,32.7,762,3556,1654,69,43,39,25,41,893,188,63,23.9,5,61,15,24.6,2.55,0.63,0.05,0.20,13.2,0,2,2,12.8,11.2,0.19,-7.8,-8.2,84
25,64,Markel Bergara,16.3,9,0.55,6,0,0,3,0,0,2,0.12,1,0,0,1,0,0,64,16.3,35,22,17,17,1,7,25,28.0,18,10,3,7,23,58,20,0,64,16.3,278,397,70.0,3817,1056,158,212,74.5,85,114,74.6,13,32,40.6,1,0.0,0.2,+1.0,2,19,3,0,28,64,16.3,524,28,130,311,88,25,524,2,2,100.0,0,0.0,162,671,287,5,4,0,15,7,211,18,64,16.3,4,16,9,56.3,0.98,0.55,0.25,0.44,11.5,0,0,0,2.8,2.8,0.20,+1.2,+1.2,77
26,65,Pedro Bigas,9.9,11,1.11,10,0,1,0,0,0,0,0.00,0,0,0,0,0,0,65,9.9,14,9,10,4,0,7,13,53.8,6,18,11,7,16,30,41,2,65,9.9,522,596,87.6,9370,3911,236,258,91.5,224,241,92.9,56,82,68.3,0,0.3,0.2,-0.3,5,24,2,0,32,65,9.9,693,77,365,325,12,3,693,12,10,83.3,2,16.7,453,2487,1414,14,5,0,4,3,473,2,65,9.9,0,4,1,25.0,0.40,0.10,0.00,0.00,18.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2,75
27,67,Emmanuel Boateng,14.2,37,2.61,16,1,5,4,10,1,7,0.49,2,0,2,0,3,0,67,14.2,4,3,0,0,4,0,6,0.0,6,8,1,7,5,9,17,0,67,14.2,143,228,62.7,1890,358,99,138,71.7,31,58,53.4,7,9,77.8,0,1.3,0.4,-1.3,7,18,7,0,21,67,14.2,384,14,50,165,177,57,384,24,15,62.5,9,37.5,207,1104,455,18,12,8,41,19,282,64,67,14.2,6,42,15,35.7,2.96,1.06,0.14,0.40,13.7,0,0,0,7.1,7.1,0.17,-1.1,-1.1,76
28,68,Daniele Bonera,13.2,5,0.38,4,0,0,1,0,0,1,0.08,0,0,0,1,0,0,68,13.2,16,11,8,7,1,10,15,66.7,5,17,12,5,12,28,72,0,68,13.2,493,569,86.6,10077,4150,174,186,93.5,235,254,92.5,79,119,66.4,1,0.6,0.2,+0.4,3,42,2,0,48,68,13.2,698,101,392,297,13,3,698,1,1,100.0,0,0.0,368,1871,1178,6,5,0,4,0,431,0,68,13.2,0,2,0,0.0,0.15,0.00,0.00,,30.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1,76
29,70,Ryad Boudebouz,15.1,56,3.71,44,4,4,0,2,2,6,0.40,4,0,1,0,1,0,70,15.1,32,18,6,21,5,6,26,23.1,20,18,1,17,7,39,8,0,70,15.1,661,862,76.7,10048,2252,373,437,85.4,199,258,77.1,54,104,51.9,3,2.5,2.6,+0.5,26,55,12,1,75,70,15.1,1013,13,96,544,390,25,1013,64,38,59.4,25,39.1,711,3306,1542,47,41,6,28,26,788,102,70,15.1,2,19,12,63.2,1.26,0.79,0.11,0.17,25.1,2,0,0,0.8,0.8,0.04,+1.2,+1.2,80
