,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches,-9999
305,Florian Lejeune,fr FRA,DF,Alavés,30,1991,30.0,928,1161,79.9,25702,9089,176,200,88.0,437,502,87.1,308,442,69.7,0,0.3,-0.3,4,66,5,0,66,Matches,6eaed4eb
306,Iñigo Lekue,es ESP,DF,Athletic Club,28,1993,21.4,887,1207,73.5,16766,7774,368,415,88.7,395,503,78.5,109,248,44.0,2,2.1,-0.1,15,78,17,11,75,Matches,59b7d823
307,Thomas Lemar,fr FRA,MF,Atlético Madrid,25,1995,16.0,637,810,78.6,11003,3308,323,367,88.0,212,259,81.9,84,144,58.3,5,3.1,+1.9,32,48,35,14,74,Matches,4dbd0916
308,Ruben Lendinez,es ESP,DF,Valencia,18,2003,1.5,41,51,80.4,890,311,12,14,85.7,21,23,91.3,8,14,57.1,0,0.0,0.0,0,7,0,0,6,Matches,755da865
309,Clément Lenglet,fr FRA,DF,Barcelona,26,1995,9.2,740,815,90.8,15935,5227,208,224,92.9,389,399,97.5,138,177,78.0,1,0.6,+0.4,2,69,3,0,68,Matches,4f28a6ff
310,Javier Llabrés,,FWMF,Mallorca,,,1.5,44,63,69.8,793,132,23,28,82.1,16,23,69.6,5,10,50.0,0,0.1,-0.1,2,2,1,0,1,Matches,38b0cf42
311,Marcos Llorente,es ESP,DFMF,Atlético Madrid,26,1995,27.2,1060,1321,80.2,16938,4974,584,661,88.4,352,445,79.1,89,140,63.6,2,2.8,-0.8,25,51,26,12,69,Matches,02c15616
312,Giovani Lo Celso,ar ARG,MFFW,Villarreal,25,1996,11.0,438,539,81.3,7772,1949,198,235,84.3,168,195,86.2,54,70,77.1,1,2.2,-1.2,17,43,22,1,56,Matches,d7553721
313,Julen Lobete,es ESP,FWMF,Real Sociedad,20,2000,3.2,45,59,76.3,534,83,29,36,80.6,9,14,64.3,2,2,100.0,0,0.0,0.0,1,1,1,0,2,Matches,a952a529
314,Renan Lodi,br BRA,DF,Atlético Madrid,23,1998,13.1,502,640,78.4,8267,2309,258,292,88.4,191,233,82.0,38,79,48.1,2,1.9,+0.1,11,19,9,5,25,Matches,ed9f7cfe
315,David López,es ESP,MFDF,Espanyol,31,1989,8.3,362,422,85.8,6494,2181,144,161,89.4,173,191,90.6,36,56,64.3,0,0.4,-0.4,4,24,1,0,18,Matches,f03f284b
316,Diego López,es ESP,GK,Espanyol,39,1981,35.3,837,1143,73.2,24438,13954,165,169,97.6,367,369,99.5,302,602,50.2,0,0.0,0.0,1,8,0,0,0,Matches,73683fa9
317,Javi López,es ESP,DF,Alavés,19,2002,5.1,156,205,76.1,3113,1343,57,61,93.4,73,90,81.1,25,49,51.0,0,0.3,-0.3,4,10,4,2,14,Matches,e9ada8cf
318,Unai López,es ESP,MF,Rayo Vallecano,25,1995,12.9,667,818,81.5,13951,3229,284,303,93.7,234,266,88.0,136,218,62.4,0,1.7,-1.7,22,72,9,1,54,Matches,88050721
319,Anthony Lozano,hn HON,FWMF,Cádiz,28,1993,18.6,186,303,61.4,2727,606,116,166,69.9,45,75,60.0,16,32,50.0,2,1.0,+1.0,10,11,6,3,19,Matches,38699c72
320,Florentino Luís,pt POR,MF,Getafe,21,1999,11.0,352,438,80.4,6323,1567,153,186,82.3,141,163,86.5,44,59,74.6,1,0.3,+0.7,9,33,3,0,30,Matches,881cd6be
321,José Luis Gayà,es ESP,DF,Valencia,26,1995,20.8,643,886,72.6,12915,5236,276,316,87.3,261,341,76.5,105,210,50.0,4,2.2,+1.8,23,36,29,17,62,Matches,b05e2dbd
322,José Luis Morales,es ESP,FWMF,Levante,34,1987,30.2,518,780,66.4,9246,3024,251,313,80.2,182,259,70.3,67,139,48.2,7,6.9,+0.1,40,47,32,12,69,Matches,4a478107
323,Luismi,es ESP,FW,Sevilla,20,2001,0.1,6,9,66.7,87,56,4,5,80.0,2,3,66.7,0,0,,0,0.0,0.0,0,0,1,0,1,Matches,acf5410c
324,Andriy Lunin,ua UKR,GK,Real Madrid,22,1999,2.0,72,82,87.8,1683,769,18,18,100.0,38,40,95.0,16,24,66.7,0,0.0,0.0,0,0,0,0,0,Matches,3061e1ec
325,Darwin Machís,ve VEN,MFFW,Granada,28,1993,15.3,292,437,66.8,5678,1812,132,155,85.2,96,142,67.6,56,106,52.8,2,2.6,-0.6,19,31,19,12,33,Matches,ed6ea4d9
326,Pablo Maffeo,es ESP,DF,Mallorca,24,1997,32.7,901,1317,68.4,15683,6809,442,513,86.2,353,488,72.3,89,262,34.0,4,2.4,+1.6,24,35,32,22,69,Matches,5db04597
327,Nemanja Maksimović,rs SRB,MF,Getafe,26,1995,32.6,689,880,78.3,10920,2246,359,421,85.3,247,305,81.0,53,102,52.0,2,0.7,+1.3,20,48,7,2,41,Matches,00b28772
328,Hugo Mallo,es ESP,DF,Celta Vigo,30,1991,20.3,953,1241,76.8,16393,6411,439,493,89.0,429,523,82.0,72,180,40.0,1,1.7,-0.7,18,52,28,11,91,Matches,cb574619
329,Mickael Malsa,mq MTQ,MF,Levante,25,1995,12.7,430,534,80.5,8238,2375,181,202,89.6,187,212,88.2,55,99,55.6,2,0.9,+1.1,8,42,4,0,60,Matches,bbc19252
330,Giorgi Mamardashvili,ge GEO,GK,Valencia,20,2000,18.0,288,495,58.2,11612,8318,38,40,95.0,87,88,98.9,161,365,44.1,0,0.0,0.0,0,4,0,0,0,Matches,d4b73232
331,Reinildo Mandava,mz MOZ,DF,Atlético Madrid,27,1994,14.4,543,668,81.3,9073,3862,251,273,91.9,245,290,84.5,35,83,42.2,0,0.1,-0.1,3,34,4,0,33,Matches,c20bdcd7
332,Aïssa Mandi,dz ALG,DF,Villarreal,29,1991,15.3,917,984,93.2,20198,6378,238,256,93.0,504,519,97.1,169,197,85.8,0,0.0,0.0,0,26,1,0,37,Matches,fbd6378b
333,Maranhão,br BRA,FWMF,Valencia,24,1996,10.8,121,193,62.7,1934,442,73,98,74.5,34,50,68.0,13,28,46.4,3,1.4,+1.6,11,10,6,0,14,Matches,ae86d473
334,Nikola Maraš,rs SRB,DF,Rayo Vallecano,25,1995,11.6,380,447,85.0,8219,2498,100,112,89.3,209,234,89.3,68,97,70.1,0,0.0,0.0,1,14,0,0,28,Matches,b9d0446f
335,Marcelo,br BRA,DF,Real Madrid,33,1988,5.8,385,468,82.3,6665,1664,202,222,91.0,147,166,88.6,34,68,50.0,2,0.6,+1.4,9,26,12,4,31,Matches,603116a7
336,Iván Marcone,ar ARG,MF,Elche,31,1990,9.0,369,435,84.8,7191,1951,144,167,86.2,156,170,91.8,58,75,77.3,0,0.0,0.0,0,19,3,1,24,Matches,b14f755d
337,Óscar de Marcos,es ESP,DF,Athletic Club,32,1989,18.7,879,1133,77.6,14897,6134,461,518,89.0,335,415,80.7,76,147,51.7,2,1.6,+0.4,17,60,17,10,72,Matches,9f323c71
338,José Mari,es ESP,MF,Cádiz,33,1987,4.3,156,192,81.3,3371,736,49,64,76.6,72,79,91.1,33,44,75.0,0,0.0,0.0,1,15,2,0,16,Matches,6f4c734d
339,José María Giménez,uy URU,DF,Atlético Madrid,26,1995,22.7,820,916,89.5,18105,5389,220,231,95.2,435,466,93.3,152,201,75.6,1,0.1,+0.9,2,39,1,0,36,Matches,f0da930c
340,Mariano,do DOM,FW,Real Madrid,27,1993,3.8,44,58,75.9,683,149,25,30,83.3,13,15,86.7,4,8,50.0,1,0.6,+0.4,5,2,4,0,5,Matches,5c4dc0ff
341,Mika Màrmol,es ESP,DF,Barcelona,20,2001,0.0,4,5,80.0,55,12,2,3,66.7,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,Matches,e7630876
342,Roger Martí,es ESP,FW,Levante,30,1991,23.5,316,459,68.8,4741,1053,193,247,78.1,86,125,68.8,23,47,48.9,3,1.7,+1.3,20,21,14,0,41,Matches,0ae4e09a
343,Anthony Martial,fr FRA,FWMF,Sevilla,25,1995,5.4,128,157,81.5,1925,281,77,90,85.6,37,46,80.4,10,13,76.9,1,0.2,+0.8,2,5,4,1,11,Matches,8b788c01
344,Martín,es ESP,MF,Cádiz,22,1999,1.3,37,49,75.5,851,297,13,15,86.7,12,16,75.0,10,15,66.7,0,0.0,0.0,1,9,0,0,6,Matches,cbec0059
