,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,,-additional
137,Rubén Duarte,es ESP,DF,Alavés,22,1995,30.8,1625,145,583,795,317,21,1377,9,15,60.0,10,1,776,3853,2014,91,28,3,11,3,775,691,89.2,45,Matches,1fe0492d
138,Hugo Duro,es ESP,MFFW,Getafe,18,1999,4.6,115,3,16,57,46,8,110,2,5,40.0,2,0,68,311,138,9,1,2,11,4,166,70,42.2,22,Matches,37e103f8
139,Raphael Dwamena,gh GHA,FW,Levante,22,1995,2.5,80,2,6,32,48,13,78,2,6,33.3,2,0,53,268,173,8,4,1,8,3,125,58,46.4,23,Matches,525f9bf4
140,Dennis Eckert,de GER,FW,Celta Vigo,21,1997,2.4,75,2,3,28,48,20,72,3,7,42.9,4,0,45,250,121,7,3,1,5,1,97,54,55.7,24,Matches,7f8fb807
141,Aritz Elustondo,es ESP,DF,Real Sociedad,24,1994,25.0,1524,192,784,682,150,27,1398,15,17,88.2,16,1,894,5596,3093,88,15,2,13,4,886,849,95.8,19,Matches,f7dc2ae5
142,Gorka Elustondo,es ESP,MF,Rayo Vallecano,31,1987,3.2,162,20,61,97,14,2,159,0,0,,0,0,87,424,238,4,1,0,1,0,100,94,94.0,3,Matches,7b309e55
143,Rodrigo Ely,br BRA,DF,Alavés,24,1993,4.8,219,37,124,90,11,9,211,0,0,,0,0,76,356,187,2,0,0,3,0,92,86,93.5,6,Matches,fd47b4f2
144,Adri Embarba,es ESP,FWMF,Rayo Vallecano,26,1992,25.4,1215,21,191,480,645,83,1049,49,95,51.6,54,2,820,4733,2638,126,46,21,63,67,1038,715,68.9,157,Matches,db8f0eba
145,Emerson,br BRA,DF,Betis,19,1999,3.5,258,11,77,96,101,8,216,1,6,16.7,2,0,157,603,366,21,6,3,8,2,174,156,89.7,12,Matches,df8b52a5
146,Youssef En-Nesyri,ma MAR,FW,Leganés,21,1997,23.4,838,25,71,391,426,119,819,34,72,47.2,37,6,500,1955,1021,47,13,22,66,59,1241,640,51.6,223,Matches,04e17fd5
147,Sergi Enrich,es ESP,FW,Eibar,28,1990,28.7,1257,14,49,532,723,194,1223,23,31,74.2,23,1,716,2168,606,35,15,7,90,46,1878,956,50.9,377,Matches,bb4b1242
148,Javier Eraso,es ESP,MFFW,Leganés,28,1990,7.0,297,6,36,155,127,16,268,7,9,77.8,7,0,201,861,422,19,8,0,10,15,300,193,64.3,48,Matches,aec0fb6f
149,Gonzalo Escalante,ar ARG,MF,Eibar,25,1993,19.9,973,22,116,653,250,36,967,23,31,74.2,24,5,576,2409,1044,59,20,4,11,20,623,527,84.6,51,Matches,3f79a1c8
150,Sergio Escudero,es ESP,DFMF,Sevilla,28,1989,17.2,1168,67,361,540,334,37,990,14,27,51.9,15,1,691,3431,2170,101,29,7,18,12,719,646,89.8,66,Matches,b0616e3d
151,Bernardo Espinosa,co COL,DF,Girona,29,1989,30.3,1726,292,1105,629,67,44,1692,4,4,100.0,4,0,994,3907,1742,19,1,0,11,2,1072,1035,96.5,34,Matches,4242011c
152,Beñat Etxebarria,es ESP,MF,Athletic Club,31,1987,22.6,1403,24,229,896,339,7,1242,12,19,63.2,13,0,917,3362,1505,75,20,1,11,22,937,875,93.4,24,Matches,b037bd4f
153,Xabier Etxeita,es ESP,DF,Huesca,30,1987,29.7,1214,189,669,539,81,42,1178,3,4,75.0,4,0,601,3585,2135,58,11,0,10,1,637,598,93.9,29,Matches,4a895384
154,Zouhair Feddal,ma MAR,DF,Betis,29,1989,18.9,1520,182,724,792,104,25,1456,12,15,80.0,12,0,1015,5433,3283,98,13,0,10,10,1055,1023,97.0,28,Matches,89151b16
155,Aitor Fernández,es ESP,GK,Levante,27,1991,16.0,508,446,508,0,0,0,292,0,0,,0,0,176,1011,719,0,0,0,0,0,112,109,97.3,0,Matches,a01c3d54
156,Andrés Fernández,es ESP,GK,Villarreal,31,1986,6.0,207,182,207,1,0,0,131,0,1,0.0,0,0,83,567,327,0,0,0,0,0,68,68,100.0,0,Matches,307fcd26
157,Borja Fernández,es ESP,MFDF,Valladolid,37,1981,9.3,496,43,174,300,46,11,485,2,2,100.0,2,0,277,1144,499,17,3,1,9,2,312,280,89.7,10,Matches,9127f9ce
158,Joaquín Fernández,es ESP,DFMF,Valladolid,22,1996,9.3,405,58,203,200,19,9,395,1,1,100.0,1,0,224,1097,388,7,2,0,1,1,229,219,95.6,4,Matches,b86a64b2
159,David Ferreiro,es ESP,FWMF,Huesca,30,1988,25.3,1293,18,182,535,659,79,1143,43,62,69.4,44,0,929,6504,3658,187,47,27,49,25,1134,817,72.0,174,Matches,8970907e
160,Facundo Ferreyra,ar ARG,FWMF,Espanyol,27,1991,2.3,75,4,7,30,39,13,72,0,0,,0,0,36,126,43,3,0,0,6,3,111,51,45.9,27,Matches,b39a793e
161,Junior Firpo,es ESP,DFMF,Betis,21,1996,21.5,1354,53,326,612,493,93,1190,23,43,53.5,29,3,910,4404,2776,134,33,22,21,19,982,873,88.9,102,Matches,24f59bb2
162,Mathieu Flamini,fr FRA,MF,Getafe,34,1984,5.0,162,5,23,114,27,3,159,0,0,,0,0,76,236,48,0,0,0,2,3,93,76,81.7,4,Matches,148d4105
163,Pablo Fornals,es ESP,MFFW,Villarreal,22,1996,27.5,1565,39,227,795,662,74,1533,52,91,57.1,57,4,1203,5448,2872,149,54,12,57,53,1503,1144,76.1,230,Matches,82927de4
164,Dimitri Foulquier,fr FRA,MFFW,Getafe,25,1993,20.0,735,24,163,370,259,47,700,27,56,48.2,33,3,454,2163,1222,52,27,8,41,42,574,374,65.2,97,Matches,45e17712
165,Javi Fuego,es ESP,MF,Villarreal,34,1984,2.6,166,14,47,108,16,0,157,3,4,75.0,3,0,97,324,147,7,0,0,1,2,109,98,89.9,4,Matches,2e8fc160
166,Ramiro Funes Mori,ar ARG,DFMF,Villarreal,27,1991,29.2,1553,210,825,740,91,25,1519,15,20,75.0,16,0,951,5882,3194,104,26,1,5,7,902,877,97.2,17,Matches,89cbc961
167,Javi Galán,es ESP,DFMF,Huesca,23,1994,16.0,863,48,271,399,261,25,697,23,45,51.1,26,0,480,2921,1919,86,31,8,18,25,456,382,83.8,26,Matches,a4b00319
168,Álex Gallar,es ESP,MFFW,Huesca,26,1992,11.2,607,13,94,302,269,30,540,28,52,53.8,30,3,470,2239,1133,52,21,5,27,22,532,410,77.1,81,Matches,36d5469c
169,Enric Gallego,es ESP,FW,Huesca,31,1986,17.1,617,31,49,314,285,71,584,19,41,46.3,21,3,341,1240,641,29,15,2,65,26,901,415,46.1,140,Matches,82e9b89d
170,Álex Gálvez,es ESP,DF,Rayo Vallecano,29,1989,15.7,857,121,534,342,19,11,811,2,2,100.0,2,0,478,2385,1205,25,3,0,1,0,463,456,98.5,7,Matches,960fb42d
171,Kévin Gameiro,fr FRA,FW,Valencia,31,1987,17.9,614,6,38,268,353,109,582,14,30,46.7,16,0,430,2528,1406,76,26,25,40,31,848,469,55.3,208,Matches,42276181
172,Cristian Ganea,ro ROU,MF,Athletic Club,26,1992,0.5,16,2,4,5,7,0,15,0,0,,0,0,9,33,18,2,0,0,1,0,10,8,80.0,1,Matches,baf5665c
173,Ezequiel Garay,ar ARG,DF,Valencia,31,1986,23.7,1324,200,703,645,62,26,1280,1,2,50.0,1,0,766,5288,2740,65,8,0,2,1,822,800,97.3,19,Matches,ac3fb1be
174,Borja Garcés,es ESP,FW,Atlético Madrid,18,1999,0.2,9,0,0,1,8,4,9,0,0,,0,0,7,19,9,1,0,1,1,0,6,6,100.0,3,Matches,bc39454c
175,Alberto García,es ESP,GK,Rayo Vallecano,33,1985,17.0,581,512,579,5,0,0,397,0,0,,0,0,283,1518,824,0,0,0,1,0,209,208,99.5,0,Matches,17d9e354
176,Aleix García,es ESP,MF,Girona,21,1997,18.5,1297,30,271,778,315,10,1204,16,28,57.1,17,0,930,3844,1744,72,24,0,9,23,977,890,91.1,68,Matches,a10361d2
177,Álvaro García,es ESP,FWMF,Rayo Vallecano,25,1992,19.6,692,31,138,238,367,76,676,12,29,41.4,13,1,491,3043,1794,102,24,20,26,21,697,451,64.7,138,Matches,90bbd822
178,Borja García,es ESP,FWMF,Girona,27,1990,29.2,1717,22,266,1100,475,44,1687,43,68,63.2,48,2,1394,6126,2886,156,55,6,62,49,1584,1288,81.3,186,Matches,e7f4603c
179,Dani García,es ESP,MF,Athletic Club,28,1990,27.5,1619,83,419,1123,151,2,1583,4,9,44.4,5,1,989,3649,1782,58,21,0,4,11,1025,974,95.0,15,Matches,240d3a0b
180,Javi García,es ESP,DFMF,Betis,31,1987,5.8,502,51,166,341,22,2,496,5,5,100.0,5,1,383,2063,1099,39,3,0,1,3,399,391,98.0,3,Matches,167c1bb0
181,Manu García,es ESP,MF,Alavés,32,1986,25.9,1264,84,324,779,208,45,1245,13,19,68.4,13,2,686,2575,1190,58,16,3,22,26,838,694,82.8,59,Matches,05a4465d
182,Raúl García,es ESP,DF,Leganés,29,1989,4.2,178,25,85,80,21,1,147,1,1,100.0,1,0,69,396,185,7,4,0,3,2,65,61,93.8,2,Matches,1a317a1b
183,Raúl García,es ESP,DF,Girona,29,1989,9.4,629,38,232,288,152,12,511,10,14,71.4,11,0,347,2043,1179,56,18,1,10,5,354,317,89.5,17,Matches,1a317a1b
184,Raúl García,es ESP,MFFW,Athletic Club,32,1986,26.3,1338,41,154,678,567,119,1322,15,31,48.4,18,2,735,2827,1353,73,27,7,67,32,1315,903,68.7,229,Matches,b418dbd4
185,Sergio García,es ESP,FWMF,Espanyol,35,1983,16.5,711,9,75,308,403,83,663,24,43,55.8,26,3,558,2612,1527,98,38,18,34,48,782,532,68.0,163,Matches,2bee98fd
186,Mario Gaspar,es ESP,DF,Villarreal,27,1990,28.9,1639,125,537,766,424,66,1385,13,32,40.6,16,3,860,3782,2347,98,38,10,14,4,996,872,87.6,76,Matches,fb5d47b3
187,Joris Gnagnon,fr FRA,DFMF,Sevilla,21,1997,5.0,313,17,112,185,38,6,299,4,4,100.0,4,0,222,1203,617,26,8,0,4,4,218,208,95.4,6,Matches,1232e1dc
188,Diego Godín,uy URU,DF,Atlético Madrid,32,1986,27.9,1365,209,741,636,60,28,1321,13,16,81.3,14,0,752,3979,2258,48,9,0,7,1,767,731,95.3,18,Matches,fc4f85b1
189,Ibai Gómez,es ESP,FW,Athletic Club,28,1989,6.4,366,8,49,146,194,21,327,11,21,52.4,12,0,264,944,376,24,9,3,12,17,317,256,80.8,54,Matches,9d2a3d5f
190,Ibai Gómez,es ESP,MFFW,Alavés,28,1989,16.1,730,31,119,341,313,32,651,25,47,53.2,26,2,525,2043,883,43,13,2,26,21,601,470,78.2,92,Matches,9d2a3d5f
191,Maxi Gómez,uy URU,FW,Celta Vigo,21,1996,32.9,1064,42,83,587,449,138,981,17,37,45.9,20,1,642,2569,1175,68,23,10,86,40,1521,774,50.9,245,Matches,4c2e9442
192,Moi Gómez,es ESP,MF,Huesca,24,1994,33.9,1823,53,364,1109,494,36,1697,43,61,70.5,44,2,1331,7438,3171,143,48,5,35,35,1326,1163,87.7,70,Matches,5a626448
193,Sergi Gómez,es ESP,DF,Sevilla,26,1992,30.7,1739,202,863,905,81,27,1702,3,3,100.0,3,0,1085,5459,2877,51,19,0,1,2,1148,1119,97.5,17,Matches,bc6f5f06
194,Maxime Gonalons,fr FRA,MF,Sevilla,29,1989,6.0,402,26,108,260,56,3,395,7,9,77.8,8,0,278,1372,533,20,5,1,2,7,264,258,97.7,1,Matches,b8c1de25
195,Álvaro González,es ESP,DF,Villarreal,28,1990,32.9,1877,232,932,977,80,22,1835,1,2,50.0,1,0,1104,5621,3479,123,20,0,3,4,1202,1173,97.6,22,Matches,42dcf26d
196,Bruno González,es ESP,DF,Getafe,28,1990,18.9,697,84,348,348,33,8,660,1,1,100.0,1,0,276,1567,465,12,1,0,2,2,246,236,95.9,8,Matches,f11fe861
197,Cristo González,es ESP,FW,Real Madrid,20,1997,0.5,18,1,4,10,5,0,16,0,1,0.0,0,0,13,14,3,0,0,0,0,2,19,13,68.4,3,Matches,896b5df2
198,Andoni Gorosabel,es ESP,DF,Real Sociedad,21,1996,5.1,354,24,111,181,87,4,296,1,5,20.0,1,0,204,869,465,21,10,0,9,5,220,192,87.3,15,Matches,6f5f82c0
199,Álex Granell,es ESP,MFDF,Girona,29,1988,26.6,1789,57,373,1077,456,17,1569,16,33,48.5,19,0,1171,5411,3002,141,51,3,19,26,1239,1145,92.4,93,Matches,a25250f8
200,Esteban Granero,es ESP,MF,Espanyol,31,1987,22.4,1446,65,305,850,389,9,1306,34,41,82.9,34,1,1033,5090,2278,98,32,1,20,28,1038,944,90.9,64,Matches,1b17ed86
201,Antoine Griezmann,fr FRA,FW,Atlético Madrid,27,1991,35.5,1867,19,153,730,1090,173,1705,35,59,59.3,37,3,1376,6061,2875,159,53,27,57,47,1953,1410,72.2,328,Matches,df69b544
202,Andrés Guardado,mx MEX,MFDF,Betis,31,1986,25.9,1887,49,369,1138,562,33,1790,24,31,77.4,25,1,1463,7831,4260,199,85,8,26,33,1535,1423,92.7,87,Matches,ef322658
203,Sergi Guardiola,es ESP,FW,Valladolid,27,1991,16.8,599,15,31,308,296,81,564,21,33,63.6,21,4,411,1634,862,58,15,17,59,36,824,431,52.3,165,Matches,32974271
204,Sergi Guardiola,es ESP,FWMF,Getafe,27,1991,0.3,24,0,0,6,19,4,24,1,1,100.0,1,0,20,102,63,5,1,1,3,2,23,19,82.6,6,Matches,32974271
205,Gonçalo Guedes,pt POR,MFFW,Valencia,21,1996,16.3,874,4,118,401,443,66,858,46,72,63.9,50,0,712,4878,3250,159,47,20,31,28,823,673,81.8,135,Matches,e6bc67d7
206,Javi Guerra,es ESP,FWMF,Rayo Vallecano,36,1982,2.6,102,3,9,51,44,15,100,4,5,80.0,4,0,66,310,62,5,1,0,5,2,129,75,58.1,25,Matches,aa386464
207,Francis Guerrero,es ESP,DFMF,Betis,22,1996,19.8,1221,41,353,495,458,38,1077,23,40,57.5,25,2,866,4461,2371,116,36,11,23,25,888,803,90.4,60,Matches,59d53e8a
208,Ander Guevara,es ESP,MF,Real Sociedad,21,1997,1.0,55,1,11,38,11,0,54,2,2,100.0,2,0,42,181,75,3,2,0,0,1,37,34,91.9,0,Matches,8e48dc61
209,John Guidetti,se SWE,FW,Alavés,26,1992,7.0,227,7,22,95,113,25,220,3,8,37.5,3,0,129,418,186,9,1,1,25,3,340,173,50.9,76,Matches,99bebd12
210,Gerard Gumbau,es ESP,MF,Leganés,23,1994,13.3,545,18,103,316,147,10,501,6,6,100.0,6,0,307,1112,543,25,9,1,7,5,355,306,86.2,15,Matches,ac454a4f
211,Serdar Gürler,tr TUR,FWMF,Huesca,26,1991,5.4,228,2,29,98,118,28,220,9,17,52.9,11,0,181,1000,679,37,12,7,12,13,249,157,63.1,42,Matches,8d2ad5c0
212,Gorka Guruzeta,es ESP,FWMF,Athletic Club,21,1996,0.6,19,0,2,6,11,1,18,0,1,0.0,0,0,10,25,15,1,0,0,2,1,33,12,36.4,6,Matches,6b5ea2f4
213,Hacen,mr MTN,FW,Valladolid,20,1997,0.0,6,2,4,3,0,0,6,0,0,,0,0,2,10,7,0,0,0,0,0,1,1,100.0,0,Matches,7c689c48
214,Munir El Haddadi,ma MAR,FW,Barcelona,22,1995,1.7,76,2,5,32,44,11,69,5,6,83.3,5,0,59,182,86,6,3,0,2,1,84,59,70.2,23,Matches,8696bc90
215,Munir El Haddadi,ma MAR,FWMF,Sevilla,22,1995,11.6,483,11,46,217,250,55,465,17,29,58.6,18,1,354,1503,812,46,15,7,22,18,529,348,65.8,122,Matches,8696bc90
216,Uche Henry Agbo,ng NGA,MF,Rayo Vallecano,22,1995,4.1,234,3,66,155,30,0,231,2,2,100.0,2,0,177,871,440,19,4,0,2,3,173,169,97.7,2,Matches,98554bfd
217,Mario Hermoso,es ESP,DF,Espanyol,23,1995,31.2,1973,315,1124,890,69,25,1912,12,15,80.0,12,0,1257,5501,3055,71,10,0,3,11,1273,1254,98.5,22,Matches,555f3a0b
218,Lucas Hernández,fr FRA,DF,Atlético Madrid,22,1996,12.4,689,68,279,355,111,16,653,7,11,63.6,9,0,422,2492,1364,46,13,3,3,7,450,417,92.7,19,Matches,c3ee18ef
219,Theo Hernández,fr FRA,DF,Real Sociedad,20,1997,22.0,1476,61,457,782,415,35,1275,38,72,52.8,42,0,991,6366,4311,152,70,14,25,39,1010,914,90.5,62,Matches,d4c9725f
220,Yangel Herrera,ve VEN,MFDF,Huesca,20,1998,12.8,655,41,159,382,147,16,624,13,28,46.4,14,1,378,1454,603,32,10,0,12,18,385,331,86.0,36,Matches,e778654a
221,Iago Herrerín,es ESP,GK,Athletic Club,30,1988,31.0,1044,852,1033,10,1,0,697,1,2,50.0,2,0,518,2871,1995,0,0,0,0,0,420,420,100.0,0,Matches,9109185e
222,Pablo Hervías,es ESP,MF,Eibar,25,1993,2.0,102,0,12,34,67,3,82,9,10,90.0,9,0,77,472,127,9,1,1,1,5,91,64,70.3,11,Matches,ba5a9545
223,Pablo Hervías,es ESP,MFFW,Valladolid,25,1993,1.8,72,1,12,27,45,4,64,3,4,75.0,3,0,57,527,169,9,3,2,2,0,65,49,75.4,6,Matches,ba5a9545
224,Andrew Hjulsager,dk DEN,MFFW,Celta Vigo,23,1995,4.0,196,4,40,67,104,8,188,8,20,40.0,10,1,161,717,366,21,4,3,15,9,179,133,74.3,24,Matches,2ef16f06
225,Wesley Hoedt,nl NED,DF,Celta Vigo,24,1994,9.9,616,81,332,301,18,7,600,10,11,90.9,10,0,386,2310,1114,26,3,1,4,2,389,380,97.7,3,Matches,875898c7
226,Robert Ibáñez,es ESP,FWMF,Getafe,25,1993,0.8,35,0,3,18,19,3,35,0,2,0.0,0,0,27,184,115,8,2,0,1,2,39,25,64.1,8,Matches,c7429db3
227,Vicente Iborra,es ESP,MFFW,Villarreal,30,1988,18.5,968,56,230,618,161,38,955,12,22,54.5,14,0,609,2313,837,35,18,2,8,12,792,643,81.2,76,Matches,ad1ffcfd
228,Borja Iglesias,es ESP,FW,Espanyol,25,1993,34.2,1130,49,111,527,551,189,1054,44,72,61.1,50,1,758,3037,1484,84,24,18,108,74,1606,790,49.2,344,Matches,75645f0e
229,Asier Illarramendi,es ESP,MF,Real Sociedad,28,1990,20.2,1444,87,435,952,160,5,1359,7,12,58.3,7,0,974,5527,2779,110,27,0,6,16,933,891,95.5,10,Matches,5ce0b5ba
230,Giannelli Imbula,cd COD,MF,Rayo Vallecano,25,1992,19.2,939,23,173,651,207,15,916,55,73,75.3,63,0,823,4644,2522,113,32,2,24,38,808,731,90.5,33,Matches,b86fe156
231,Pablo Insua,es ESP,DF,Huesca,24,1993,8.6,328,37,183,155,4,4,322,1,1,100.0,1,0,182,958,385,7,0,0,2,3,179,170,95.0,3,Matches,4b5e7e90
232,Takashi Inui,jp JPN,FWMF,Betis,30,1988,4.2,188,2,19,80,105,18,182,8,12,66.7,9,1,159,759,381,22,6,4,11,5,179,143,79.9,30,Matches,61bd33d0
233,Takashi Inui,jp JPN,MFFW,Alavés,30,1988,9.2,363,12,52,185,147,20,342,11,16,68.8,11,0,268,1676,1052,49,11,5,16,20,317,236,74.4,40,Matches,61bd33d0
234,Gorka Iraizoz,es ESP,GK,Girona,37,1981,6.2,260,241,260,2,0,0,173,1,1,100.0,1,0,104,478,257,0,0,0,0,0,87,87,100.0,0,Matches,26f2473f
235,Carlos Isaac,es ESP,DF,Atlético Madrid,20,1998,1.0,63,3,9,37,23,4,53,1,1,100.0,1,0,46,230,153,6,4,1,3,1,44,41,93.2,2,Matches,3e5a168c
236,Isco,es ESP,MFFW,Real Madrid,26,1992,13.2,1142,5,137,677,413,61,1099,29,43,67.4,30,1,987,4479,2213,124,36,9,24,32,1080,953,88.2,104,Matches,a0b4bb3e
237,Manuel Iturra,cl CHI,MF,Villarreal,34,1984,0.8,61,2,13,46,5,0,60,0,0,,0,0,36,76,30,2,1,0,0,0,44,41,93.2,0,Matches,000b3da6
238,Ander Iturraspe,es ESP,MF,Athletic Club,29,1989,1.1,87,6,30,55,9,0,85,0,0,,0,0,59,218,148,4,2,0,1,2,65,61,93.8,4,Matches,6dce77a5
239,Ivi,es ESP,MFFW,Valladolid,24,1994,0.2,19,0,1,7,14,0,15,0,0,,0,0,13,99,77,3,3,0,2,1,15,13,86.7,2,Matches,d2fa73e7
240,Adnan Januzaj,be BEL,FWMF,Real Sociedad,23,1995,13.9,821,9,71,318,515,66,726,65,113,57.5,70,1,695,3751,2259,119,33,20,61,56,792,605,76.4,127,Matches,4737cebe
241,Jason,es ESP,MFFW,Levante,24,1994,25.9,1187,53,280,560,437,45,1054,31,77,40.3,35,1,752,4445,2677,117,44,7,30,46,877,676,77.1,103,Matches,9038c2a1
242,Mathias Jensen,dk DEN,MFFW,Celta Vigo,22,1996,2.6,112,2,19,62,34,5,111,2,4,50.0,2,0,86,292,123,6,2,0,2,7,101,79,78.2,16,Matches,0f134faf
243,Jesé,es ESP,FWMF,Betis,25,1993,8.7,280,0,14,137,145,50,253,10,24,41.7,13,0,210,989,505,30,6,9,12,11,337,194,57.6,76,Matches,4a537185
244,Joaquín,es ESP,FWDF,Betis,37,1981,18.8,1168,32,122,519,635,68,1074,48,64,75.0,51,2,929,4935,2884,180,57,26,26,28,1066,886,83.1,103,Matches,4c5b14d2
245,Jony,es ESP,MFFW,Alavés,27,1991,33.0,1613,16,208,682,874,84,1311,62,136,45.6,70,5,1063,5735,3695,157,75,21,97,73,1284,944,73.5,152,Matches,244f57b9
246,Joan Jordán,es ESP,MF,Eibar,24,1994,31.9,2234,30,232,1321,802,40,2021,55,74,74.3,55,1,1501,6820,3134,154,51,8,41,29,1569,1362,86.8,117,Matches,2a0c8ba4
247,Willian José,br BRA,FW,Real Sociedad,26,1991,26.3,1047,32,76,584,441,104,998,22,44,50.0,24,3,751,3047,936,46,18,5,50,51,1302,828,63.6,270,Matches,d87e2cae
248,Aleksandar Jovanović,rs SRB,GK,Huesca,25,1992,12.0,359,317,359,1,0,0,227,0,0,,0,0,177,926,670,0,0,0,0,0,141,141,100.0,0,Matches,129dd8e7
249,Jozabed,es ESP,MF,Celta Vigo,27,1991,12.8,816,19,168,541,142,15,800,5,7,71.4,5,0,600,2386,1039,44,9,2,6,11,635,587,92.4,26,Matches,9b337c7c
250,Miguel Juan Llambrich,es ESP,DF,Villarreal,22,1996,6.0,328,23,113,151,89,7,275,15,24,62.5,17,0,199,1060,551,24,9,0,6,7,172,159,92.4,4,Matches,d83f09ff
251,Juanfran,es ESP,DF,Atlético Madrid,33,1985,17.9,1115,64,296,498,388,26,958,12,23,52.2,14,0,753,3662,2012,106,38,8,10,13,744,671,90.2,33,Matches,cfd8d664
252,Juanfran,es ESP,DF,Leganés,29,1988,16.2,811,46,187,350,327,19,691,16,26,61.5,18,1,500,2669,1662,75,33,3,13,17,530,456,86.0,31,Matches,9ba48d64
253,Juanmi,es ESP,FWMF,Real Sociedad,25,1993,16.9,586,9,83,321,216,68,570,22,35,62.9,27,1,422,1790,704,46,8,7,34,30,746,418,56.0,125,Matches,84399660
254,Juanpe,es ESP,DF,Girona,27,1991,30.7,1841,223,1086,815,65,31,1768,14,16,87.5,15,1,1115,5958,3649,51,5,0,6,6,1188,1158,97.5,20,Matches,1633fc8a
255,Juanpi,ve VEN,MFFW,Huesca,24,1994,7.4,350,9,58,197,127,14,330,9,19,47.4,9,0,261,1481,779,38,12,3,18,20,303,222,73.3,34,Matches,d79afcfc
256,David Juncà,es ESP,DF,Celta Vigo,24,1993,19.5,1274,71,394,660,305,17,1110,17,24,70.8,18,2,788,3522,2121,116,47,4,14,12,831,769,92.5,31,Matches,de7d40d6
257,Vinicius Júnior,br BRA,FW,Real Madrid,18,2000,9.7,496,1,38,165,347,111,490,40,61,65.6,42,0,465,3087,2129,120,28,52,30,35,528,399,75.6,110,Matches,7111d552
258,Gaël Kakuta,cd COD,MFFW,Rayo Vallecano,27,1991,8.0,360,7,48,163,174,23,335,23,33,69.7,24,2,285,1227,638,39,11,4,19,18,341,261,76.5,51,Matches,5b1bf5e3
259,Nikola Kalinić,hr CRO,FW,Atlético Madrid,30,1988,7.1,167,1,12,65,95,35,166,4,8,50.0,4,1,106,368,137,8,1,2,26,4,324,127,39.2,61,Matches,d4931a5a
260,Lee Kangin,kr KOR,FWMF,Valencia,17,2001,0.3,20,0,3,8,12,0,20,0,0,,0,0,17,143,97,5,2,0,2,0,19,15,78.9,3,Matches,8455ad90
261,Wilfrid Kaptoum,cm CMR,MF,Betis,22,1996,8.6,416,10,71,281,97,7,414,20,29,69.0,20,0,321,1698,880,37,11,2,12,13,355,310,87.3,21,Matches,d717630e
262,Keko,es ESP,MFFW,Valladolid,26,1991,17.0,757,21,129,324,370,55,733,33,51,64.7,35,1,562,3370,2023,116,29,13,36,29,752,489,65.0,113,Matches,1512328c
263,Kike,es ESP,FW,Eibar,28,1989,14.4,613,4,25,227,380,103,597,11,16,68.8,11,0,387,1267,447,31,7,7,58,29,916,478,52.2,211,Matches,e897d8ba
264,Simon Kjær,dk DEN,DF,Sevilla,29,1989,22.3,1166,206,712,470,30,21,1136,3,3,100.0,3,0,649,2913,1414,27,2,0,4,1,666,643,96.5,15,Matches,8b8a56ce
265,Kenan Kodro,ba BIH,FWMF,Athletic Club,24,1993,1.8,71,0,9,32,32,7,69,1,3,33.3,1,0,43,155,59,2,1,0,7,4,122,56,45.9,23,Matches,e82d2807
266,Koke,es ESP,MF,Atlético Madrid,26,1992,28.7,2324,51,399,1299,731,36,2168,31,39,79.5,32,1,1664,5872,2656,115,45,5,20,28,1895,1703,89.9,106,Matches,55126f3b
267,Geoffrey Kondogbia,cf CTA,MF,Valencia,25,1993,13.8,922,55,263,614,131,13,917,25,32,78.1,25,2,682,3964,1759,63,22,1,8,14,694,647,93.2,28,Matches,cce181df
268,Vasyl Kravets,ua UKR,DF,Leganés,20,1997,5.3,283,11,74,118,110,7,244,3,6,50.0,4,0,166,881,501,19,6,2,3,5,170,153,90.0,17,Matches,29e48848
269,Toni Kroos,de GER,MF,Real Madrid,28,1990,24.7,2389,34,402,1560,568,21,2173,14,18,77.8,14,0,1811,7746,4125,197,51,6,14,12,1913,1834,95.9,43,Matches,6ce1f46f
270,Víctor Laguardia,es ESP,DF,Alavés,28,1989,36.0,1678,243,957,754,52,35,1600,2,3,66.7,2,0,782,3689,2029,43,4,0,5,1,855,825,96.5,27,Matches,b7c99b9b
271,Diego Lainez,mx MEX,MFFW,Betis,18,2000,3.9,209,3,19,71,142,16,204,13,24,54.2,15,3,187,937,542,37,10,3,14,15,212,173,81.6,37,Matches,bf12926c
272,Toni Lato,es ESP,DF,Valencia,20,1997,3.0,219,18,79,106,45,5,187,2,2,100.0,2,0,122,486,190,10,4,0,3,2,123,111,90.2,3,Matches,8e088e04
273,Miguel Layún,mx MEX,MFDF,Villarreal,30,1988,5.6,342,7,55,133,171,7,284,7,10,70.0,7,0,231,906,500,19,9,0,11,7,250,220,88.0,22,Matches,ad6295d4
274,Robin Le Normand,fr FRA,DF,Real Sociedad,21,1996,3.2,257,23,127,144,7,5,248,2,2,100.0,2,0,178,1190,607,9,1,0,1,0,180,179,99.4,5,Matches,9a64e67e
275,Wu Lei,cn CHN,FWMF,Espanyol,26,1991,11.8,351,8,54,141,178,69,344,12,19,63.2,13,0,234,1233,758,42,12,13,22,14,411,227,55.2,102,Matches,e3fabb0a
