,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,,-additional
144,Adri Embarba,es ESP,FWMF,Rayo Vallecano,26,1992,25.4,59,34,24,23,12,23,71,32.4,48,555,125,22.5,157,250,148,48,3,0,45,25,84,9,0,Matches,db8f0eba
145,Emerson,br BRA,DF,Betis,19,1999,3.5,13,10,9,3,1,3,8,37.5,5,71,21,29.6,30,27,14,11,0,0,11,1,14,7,0,Matches,df8b52a5
146,Youssef En-Nesyri,ma MAR,FW,Leganés,21,1997,23.4,14,11,3,8,3,3,28,10.7,25,534,94,17.6,48,255,231,22,2,0,20,9,23,24,0,Matches,04e17fd5
147,Sergi Enrich,es ESP,FW,Eibar,28,1990,28.7,30,26,4,10,16,7,30,23.3,23,638,177,27.7,25,213,400,25,4,0,21,5,35,14,0,Matches,bb4b1242
148,Javier Eraso,es ESP,MFFW,Leganés,28,1990,7.0,5,3,0,3,2,0,6,0.0,6,192,42,21.9,52,88,52,7,1,0,6,3,8,7,0,Matches,aec0fb6f
149,Gonzalo Escalante,ar ARG,MF,Eibar,25,1993,19.9,49,39,15,32,2,14,52,26.9,38,405,119,29.4,81,252,72,38,2,0,36,19,68,27,0,Matches,3f79a1c8
150,Sergio Escudero,es ESP,DFMF,Sevilla,28,1989,17.2,41,20,25,14,2,18,41,43.9,23,281,84,29.9,152,92,37,47,5,0,42,17,58,55,0,Matches,b0616e3d
151,Bernardo Espinosa,co COL,DF,Girona,29,1989,30.3,18,12,14,4,0,9,18,50.0,9,178,58,32.6,117,53,8,66,33,0,33,31,49,221,2,Matches,4242011c
152,Beñat Etxebarria,es ESP,MF,Athletic Club,31,1987,22.6,46,35,17,25,4,15,67,22.4,52,415,103,24.8,100,261,54,23,1,0,22,21,67,24,0,Matches,b037bd4f
153,Xabier Etxeita,es ESP,DF,Huesca,30,1987,29.7,47,28,35,10,2,18,42,42.9,24,230,68,29.6,129,88,13,48,25,0,23,25,72,196,1,Matches,4a895384
154,Zouhair Feddal,ma MAR,DF,Betis,29,1989,18.9,38,18,29,7,2,13,28,46.4,15,151,44,29.1,86,57,8,33,10,0,23,15,53,108,0,Matches,89151b16
155,Aitor Fernández,es ESP,GK,Levante,27,1991,16.0,0,0,0,0,0,0,0,,0,2,0,0.0,2,0,0,1,0,0,1,0,0,1,0,Matches,a01c3d54
156,Andrés Fernández,es ESP,GK,Villarreal,31,1986,6.0,0,0,0,0,0,0,1,0.0,1,2,1,50.0,2,0,0,0,0,0,0,0,0,0,1,Matches,307fcd26
157,Borja Fernández,es ESP,MFDF,Valladolid,37,1981,9.3,26,16,12,13,1,8,19,42.1,11,113,36,31.9,44,62,7,13,3,0,10,11,37,33,0,Matches,9127f9ce
158,Joaquín Fernández,es ESP,DFMF,Valladolid,22,1996,9.3,15,8,13,2,0,3,11,27.3,8,103,26,25.2,71,25,7,8,3,0,5,11,26,66,1,Matches,b86a64b2
159,David Ferreiro,es ESP,FWMF,Huesca,30,1988,25.3,37,21,11,19,7,17,70,24.3,53,463,108,23.3,120,234,109,34,2,0,32,16,53,21,1,Matches,8970907e
160,Facundo Ferreyra,ar ARG,FWMF,Espanyol,27,1991,2.3,4,3,0,2,2,0,1,0.0,1,40,5,12.5,2,23,15,1,0,0,1,0,4,5,0,Matches,b39a793e
161,Junior Firpo,es ESP,DFMF,Betis,21,1996,21.5,38,28,15,19,4,10,30,33.3,20,284,77,27.1,124,109,51,47,1,0,46,15,53,38,0,Matches,24f59bb2
162,Mathieu Flamini,fr FRA,MF,Getafe,34,1984,5.0,7,5,2,4,1,0,2,0.0,2,95,24,25.3,26,62,7,7,3,0,4,4,11,10,0,Matches,148d4105
163,Pablo Fornals,es ESP,MFFW,Villarreal,22,1996,27.5,47,30,16,24,7,16,68,23.5,52,798,169,21.2,156,422,220,49,4,0,45,21,68,20,0,Matches,82927de4
164,Dimitri Foulquier,fr FRA,MFFW,Getafe,25,1993,20.0,40,25,13,17,10,12,33,36.4,21,539,140,26.0,136,278,125,33,2,0,31,20,60,31,0,Matches,45e17712
165,Javi Fuego,es ESP,MF,Villarreal,34,1984,2.6,6,4,6,0,0,5,12,41.7,7,55,16,29.1,19,30,6,4,1,0,3,1,7,14,0,Matches,2e8fc160
166,Ramiro Funes Mori,ar ARG,DFMF,Villarreal,27,1991,29.2,43,26,31,10,2,20,49,40.8,29,312,92,29.5,178,119,15,45,23,1,22,32,75,182,3,Matches,89cbc961
167,Javi Galán,es ESP,DFMF,Huesca,23,1994,16.0,67,38,43,20,4,28,57,49.1,29,356,110,30.9,192,127,37,37,1,0,36,16,83,51,0,Matches,a4b00319
168,Álex Gallar,es ESP,MFFW,Huesca,26,1992,11.2,15,13,6,5,4,6,25,24.0,19,197,62,31.5,45,101,51,9,1,0,8,7,22,5,0,Matches,36d5469c
169,Enric Gallego,es ESP,FW,Huesca,31,1986,17.1,20,14,4,11,5,4,14,28.6,10,361,66,18.3,19,210,132,21,4,0,17,8,28,27,0,Matches,82e9b89d
170,Álex Gálvez,es ESP,DF,Rayo Vallecano,29,1989,15.7,35,25,22,13,0,13,31,41.9,18,126,43,34.1,75,47,4,9,0,0,9,29,64,109,1,Matches,960fb42d
171,Kévin Gameiro,fr FRA,FW,Valencia,31,1987,17.9,11,9,3,5,3,3,17,17.6,14,400,76,19.0,37,209,154,15,3,0,12,6,17,5,0,Matches,42276181
172,Cristian Ganea,ro ROU,MF,Athletic Club,26,1992,0.5,0,0,0,0,0,0,2,0.0,2,5,2,40.0,2,0,3,2,0,0,2,2,2,1,0,Matches,baf5665c
173,Ezequiel Garay,ar ARG,DF,Valencia,31,1986,23.7,22,13,15,5,2,5,16,31.3,11,104,41,39.4,69,32,3,42,24,0,18,12,34,164,0,Matches,ac3fb1be
174,Borja Garcés,es ESP,FW,Atlético Madrid,18,1999,0.2,0,0,0,0,0,0,0,,0,8,4,50.0,0,8,0,0,0,0,0,0,0,0,0,Matches,bc39454c
175,Alberto García,es ESP,GK,Rayo Vallecano,33,1985,17.0,0,0,0,0,0,0,2,0.0,2,4,1,25.0,4,0,0,1,0,0,1,0,0,1,0,Matches,17d9e354
176,Aleix García,es ESP,MF,Girona,21,1997,18.5,34,20,15,16,3,15,41,36.6,26,472,91,19.3,145,261,66,28,7,0,21,22,56,23,0,Matches,a10361d2
177,Álvaro García,es ESP,FWMF,Rayo Vallecano,25,1992,19.6,23,16,12,5,6,6,30,20.0,24,332,69,20.8,102,145,85,28,0,0,28,11,34,24,0,Matches,90bbd822
178,Borja García,es ESP,FWMF,Girona,27,1990,29.2,41,27,20,20,1,26,50,52.0,24,579,139,24.0,120,338,121,38,3,0,35,27,68,17,0,Matches,e7f4603c
179,Dani García,es ESP,MF,Athletic Club,28,1990,27.5,59,40,25,31,3,23,76,30.3,53,439,119,27.1,125,263,51,36,8,0,28,42,101,72,1,Matches,240d3a0b
180,Javi García,es ESP,DFMF,Betis,31,1987,5.8,1,0,1,0,0,0,2,0.0,2,47,15,31.9,30,15,2,11,2,0,9,6,7,27,0,Matches,167c1bb0
181,Manu García,es ESP,MF,Alavés,32,1986,25.9,86,45,34,39,13,28,89,31.5,61,590,130,22.0,182,326,82,38,4,0,34,20,106,74,0,Matches,05a4465d
182,Raúl García,es ESP,DF,Leganés,29,1989,4.2,9,7,5,4,0,5,8,62.5,3,44,11,25.0,30,11,3,9,2,0,7,2,11,18,1,Matches,1a317a1b
183,Raúl García,es ESP,DF,Girona,29,1989,9.4,23,14,12,9,2,10,18,55.6,8,154,44,28.6,69,65,20,31,5,0,26,9,32,41,0,Matches,1a317a1b
184,Raúl García,es ESP,MFFW,Athletic Club,32,1986,26.3,68,43,12,42,14,21,71,29.6,50,661,162,24.5,74,364,223,51,1,0,50,22,90,30,0,Matches,b418dbd4
185,Sergio García,es ESP,FWMF,Espanyol,35,1983,16.5,13,8,4,7,2,4,18,22.2,14,233,53,22.7,38,112,83,6,1,0,5,13,26,5,0,Matches,2bee98fd
186,Mario Gaspar,es ESP,DF,Villarreal,27,1990,28.9,57,29,34,19,4,23,56,41.1,33,428,100,23.4,201,164,63,59,11,0,48,33,90,101,0,Matches,fb5d47b3
187,Joris Gnagnon,fr FRA,DFMF,Sevilla,21,1997,5.0,13,10,6,4,3,4,7,57.1,3,46,19,41.3,17,23,6,5,2,0,3,9,22,22,0,Matches,1232e1dc
188,Diego Godín,uy URU,DF,Atlético Madrid,32,1986,27.9,62,33,41,21,0,18,44,40.9,26,211,63,29.9,141,62,8,37,10,0,27,41,103,158,3,Matches,fc4f85b1
189,Ibai Gómez,es ESP,FW,Athletic Club,28,1989,6.4,7,4,3,1,3,3,8,37.5,5,97,21,21.6,21,46,30,10,1,0,9,4,11,8,0,Matches,9d2a3d5f
190,Ibai Gómez,es ESP,MFFW,Alavés,28,1989,16.1,10,7,8,1,1,6,20,30.0,14,198,45,22.7,71,87,40,14,1,0,13,14,24,8,0,Matches,9d2a3d5f
191,Maxi Gómez,uy URU,FW,Celta Vigo,21,1996,32.9,8,8,1,3,4,4,18,22.2,14,434,103,23.7,16,192,226,18,2,0,16,5,13,36,0,Matches,4c2e9442
192,Moi Gómez,es ESP,MF,Huesca,24,1994,33.9,42,35,17,23,2,10,49,20.4,39,663,155,23.4,176,367,120,41,6,0,35,28,70,26,0,Matches,5a626448
193,Sergi Gómez,es ESP,DF,Sevilla,26,1992,30.7,49,24,36,11,2,15,28,53.6,13,294,89,30.3,171,105,18,49,20,0,29,34,83,163,2,Matches,bc6f5f06
194,Maxime Gonalons,fr FRA,MF,Sevilla,29,1989,6.0,14,10,4,7,3,0,16,0.0,16,106,30,28.3,29,56,21,13,3,0,10,6,20,11,0,Matches,b8c1de25
195,Álvaro González,es ESP,DF,Villarreal,28,1990,32.9,46,31,31,13,2,22,36,61.1,14,247,65,26.3,158,76,13,49,29,0,20,26,72,227,2,Matches,42dcf26d
196,Bruno González,es ESP,DF,Getafe,28,1990,18.9,26,16,14,12,0,7,17,41.2,10,182,62,34.1,104,70,8,16,6,1,10,13,39,100,1,Matches,f11fe861
197,Cristo González,es ESP,FW,Real Madrid,20,1997,0.5,0,0,0,0,0,0,0,,0,23,5,21.7,3,12,8,0,0,0,0,1,1,0,0,Matches,896b5df2
198,Andoni Gorosabel,es ESP,DF,Real Sociedad,21,1996,5.1,17,5,12,3,2,7,13,53.8,6,93,14,15.1,56,25,12,9,1,0,8,6,23,14,1,Matches,6f5f82c0
199,Álex Granell,es ESP,MFDF,Girona,29,1988,26.6,63,35,32,27,4,30,90,33.3,60,631,148,23.5,185,311,135,40,5,0,35,26,89,37,0,Matches,a25250f8
200,Esteban Granero,es ESP,MF,Espanyol,31,1987,22.4,59,35,29,24,6,14,59,23.7,45,487,86,17.7,160,267,60,39,6,1,33,28,87,38,0,Matches,1b17ed86
201,Antoine Griezmann,fr FRA,FW,Atlético Madrid,27,1991,35.5,40,24,10,16,14,10,37,27.0,27,753,154,20.5,79,357,317,19,2,0,17,9,49,16,0,Matches,df69b544
202,Andrés Guardado,mx MEX,MFDF,Betis,31,1986,25.9,28,15,9,15,4,8,50,16.0,42,420,106,25.2,136,206,78,21,2,0,19,24,52,27,0,Matches,ef322658
203,Sergi Guardiola,es ESP,FW,Valladolid,27,1991,16.8,21,10,0,10,11,4,18,22.2,14,378,69,18.3,13,222,143,12,0,0,12,3,24,14,0,Matches,32974271
204,Sergi Guardiola,es ESP,FWMF,Getafe,27,1991,0.3,1,1,0,0,1,0,0,,0,19,2,10.5,0,11,8,0,0,0,0,0,1,0,0,Matches,32974271
205,Gonçalo Guedes,pt POR,MFFW,Valencia,21,1996,16.3,30,18,13,12,5,14,39,35.9,25,303,69,22.8,76,152,75,18,0,0,18,7,37,4,0,Matches,e6bc67d7
206,Javi Guerra,es ESP,FWMF,Rayo Vallecano,36,1982,2.6,2,2,1,1,0,0,2,0.0,2,39,10,25.6,0,21,18,5,2,0,3,1,3,1,0,Matches,aa386464
207,Francis Guerrero,es ESP,DFMF,Betis,22,1996,19.8,46,27,22,17,7,16,43,37.2,27,249,74,29.7,114,90,45,35,0,0,35,15,61,30,2,Matches,59d53e8a
208,Ander Guevara,es ESP,MF,Real Sociedad,21,1997,1.0,5,3,1,4,0,2,7,28.6,5,32,12,37.5,5,23,4,2,0,0,2,0,5,0,0,Matches,8e48dc61
209,John Guidetti,se SWE,FW,Alavés,26,1992,7.0,3,2,0,2,1,0,9,0.0,9,140,33,23.6,6,83,51,8,2,0,6,1,4,6,0,Matches,99bebd12
210,Gerard Gumbau,es ESP,MF,Leganés,23,1994,13.3,20,15,5,14,1,5,42,11.9,37,336,65,19.3,120,170,46,15,1,0,14,7,27,21,0,Matches,ac454a4f
211,Serdar Gürler,tr TUR,FWMF,Huesca,26,1991,5.4,10,7,4,6,0,5,17,29.4,12,89,27,30.3,30,49,10,9,0,0,9,4,14,1,0,Matches,8d2ad5c0
212,Gorka Guruzeta,es ESP,FWMF,Athletic Club,21,1996,0.6,1,1,1,0,0,0,3,0.0,3,12,0,0.0,0,7,5,1,0,0,1,0,1,0,0,Matches,6b5ea2f4
213,Hacen,mr MTN,FW,Valladolid,20,1997,0.0,0,0,0,0,0,0,0,,0,8,1,12.5,6,2,0,1,0,0,1,0,0,1,0,Matches,7c689c48
214,Munir El Haddadi,ma MAR,FW,Barcelona,22,1995,1.7,2,2,1,1,0,1,3,33.3,2,34,13,38.2,10,13,11,1,0,0,1,0,2,1,0,Matches,8696bc90
215,Munir El Haddadi,ma MAR,FWMF,Sevilla,22,1995,11.6,12,8,5,3,4,3,10,30.0,7,210,43,20.5,29,115,66,20,0,0,20,3,15,9,0,Matches,8696bc90
216,Uche Henry Agbo,ng NGA,MF,Rayo Vallecano,22,1995,4.1,6,4,1,5,0,1,7,14.3,6,58,13,22.4,21,30,7,3,0,0,3,6,12,10,0,Matches,98554bfd
217,Mario Hermoso,es ESP,DF,Espanyol,23,1995,31.2,34,25,28,5,1,16,38,42.1,22,168,58,34.5,108,54,6,48,27,2,21,25,59,205,1,Matches,555f3a0b
218,Lucas Hernández,fr FRA,DF,Atlético Madrid,22,1996,12.4,29,21,20,9,0,15,25,60.0,10,141,48,34.0,74,56,11,21,9,0,12,11,40,56,0,Matches,c3ee18ef
219,Theo Hernández,fr FRA,DF,Real Sociedad,20,1997,22.0,42,21,21,13,8,30,53,56.6,23,335,86,25.7,172,112,51,30,1,0,29,33,75,39,2,Matches,d4c9725f
220,Yangel Herrera,ve VEN,MFDF,Huesca,20,1998,12.8,47,30,19,22,6,20,42,47.6,22,362,99,27.3,133,194,35,18,0,0,18,15,62,38,0,Matches,e778654a
221,Iago Herrerín,es ESP,GK,Athletic Club,30,1988,31.0,0,0,0,0,0,0,3,0.0,3,5,0,0.0,3,1,1,0,0,0,0,0,0,1,2,Matches,9109185e
222,Pablo Hervías,es ESP,MF,Eibar,25,1993,2.0,0,0,0,0,0,0,6,0.0,6,22,10,45.5,2,10,10,3,0,0,3,0,0,0,0,Matches,ba5a9545
223,Pablo Hervías,es ESP,MFFW,Valladolid,25,1993,1.8,2,1,1,1,0,1,4,25.0,3,31,6,19.4,10,15,6,0,0,0,0,2,4,1,0,Matches,ba5a9545
224,Andrew Hjulsager,dk DEN,MFFW,Celta Vigo,23,1995,4.0,12,8,9,1,2,1,18,5.6,17,120,23,19.2,45,46,29,2,0,0,2,4,16,3,0,Matches,2ef16f06
225,Wesley Hoedt,nl NED,DF,Celta Vigo,24,1994,9.9,13,6,9,4,0,9,19,47.4,10,84,20,23.8,68,15,1,24,10,0,14,9,22,63,0,Matches,875898c7
226,Robert Ibáñez,es ESP,FWMF,Getafe,25,1993,0.8,1,1,1,0,0,1,3,33.3,2,13,4,30.8,5,5,3,2,0,0,2,0,1,0,0,Matches,c7429db3
227,Vicente Iborra,es ESP,MFFW,Villarreal,30,1988,18.5,34,26,24,7,3,8,30,26.7,22,327,81,24.8,85,197,45,25,9,1,16,19,53,45,1,Matches,ad1ffcfd
228,Borja Iglesias,es ESP,FW,Espanyol,25,1993,34.2,27,21,8,13,6,4,27,14.8,23,632,128,20.3,41,314,277,19,4,0,15,6,33,40,0,Matches,75645f0e
229,Asier Illarramendi,es ESP,MF,Real Sociedad,28,1990,20.2,55,39,31,22,2,18,59,30.5,41,372,114,30.6,142,197,33,41,7,0,34,24,79,43,0,Matches,5ce0b5ba
230,Giannelli Imbula,cd COD,MF,Rayo Vallecano,25,1992,19.2,15,12,6,8,1,4,14,28.6,10,347,66,19.0,82,214,51,17,2,0,15,7,22,13,0,Matches,b86fe156
231,Pablo Insua,es ESP,DF,Huesca,24,1993,8.6,17,10,10,7,0,5,13,38.5,8,90,27,30.0,50,38,2,4,2,0,2,9,26,45,0,Matches,4b5e7e90
232,Takashi Inui,jp JPN,FWMF,Betis,30,1988,4.2,5,1,2,3,0,3,11,27.3,8,77,16,20.8,21,32,24,4,0,0,4,1,6,1,0,Matches,61bd33d0
233,Takashi Inui,jp JPN,MFFW,Alavés,30,1988,9.2,12,6,5,5,2,2,18,11.1,16,197,44,22.3,45,107,45,7,1,0,6,8,20,5,0,Matches,61bd33d0
234,Gorka Iraizoz,es ESP,GK,Girona,37,1981,6.2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,2,0,Matches,26f2473f
235,Carlos Isaac,es ESP,DF,Atlético Madrid,20,1998,1.0,0,0,0,0,0,0,2,0.0,2,16,4,25.0,12,0,4,5,0,0,5,0,0,1,0,Matches,3e5a168c
236,Isco,es ESP,MFFW,Real Madrid,26,1992,13.2,29,20,13,10,6,12,37,32.4,25,228,53,23.2,50,131,47,9,1,0,8,8,37,3,0,Matches,a0b4bb3e
237,Manuel Iturra,cl CHI,MF,Villarreal,34,1984,0.8,2,1,1,1,0,1,3,33.3,2,14,3,21.4,5,8,1,2,0,0,2,2,4,3,0,Matches,000b3da6
238,Ander Iturraspe,es ESP,MF,Athletic Club,29,1989,1.1,1,1,1,0,0,0,1,0.0,1,7,1,14.3,5,1,1,1,0,0,1,1,2,2,0,Matches,6dce77a5
239,Ivi,es ESP,MFFW,Valladolid,24,1994,0.2,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,Matches,d2fa73e7
240,Adnan Januzaj,be BEL,FWMF,Real Sociedad,23,1995,13.9,13,11,6,2,5,2,11,18.2,9,198,51,25.8,34,94,70,13,1,0,12,6,19,3,0,Matches,4737cebe
241,Jason,es ESP,MFFW,Levante,24,1994,25.9,42,25,20,15,7,22,73,30.1,51,509,107,21.0,159,233,117,39,2,0,37,41,83,29,0,Matches,9038c2a1
242,Mathias Jensen,dk DEN,MFFW,Celta Vigo,22,1996,2.6,7,3,3,3,1,2,9,22.2,7,123,28,22.8,36,66,21,1,0,0,1,3,10,2,0,Matches,0f134faf
243,Jesé,es ESP,FWMF,Betis,25,1993,8.7,10,9,3,4,3,3,10,30.0,7,201,44,21.9,28,90,83,4,0,0,4,2,12,0,0,Matches,4a537185
244,Joaquín,es ESP,FWDF,Betis,37,1981,18.8,12,8,6,4,2,5,11,45.5,6,233,61,26.2,56,121,56,19,1,0,18,10,22,25,0,Matches,4c5b14d2
245,Jony,es ESP,MFFW,Alavés,27,1991,33.0,27,12,9,10,8,7,46,15.2,39,490,98,20.0,152,220,118,42,0,0,42,24,51,7,1,Matches,244f57b9
246,Joan Jordán,es ESP,MF,Eibar,24,1994,31.9,69,51,16,45,8,32,91,35.2,59,613,179,29.2,119,364,130,61,4,0,57,32,101,27,0,Matches,2a0c8ba4
247,Willian José,br BRA,FW,Real Sociedad,26,1991,26.3,5,3,0,4,1,3,4,75.0,1,337,98,29.1,11,149,177,13,6,0,7,5,10,28,0,Matches,d87e2cae
248,Aleksandar Jovanović,rs SRB,GK,Huesca,25,1992,12.0,0,0,0,0,0,0,1,0.0,1,0,0,,0,0,0,0,0,0,0,0,0,1,0,Matches,129dd8e7
249,Jozabed,es ESP,MF,Celta Vigo,27,1991,12.8,20,17,6,10,4,8,34,23.5,26,300,68,22.7,99,159,42,18,2,0,16,8,28,8,0,Matches,9b337c7c
250,Miguel Juan Llambrich,es ESP,DF,Villarreal,22,1996,6.0,24,13,17,6,1,11,19,57.9,8,115,32,27.8,61,37,17,15,3,0,12,8,32,19,0,Matches,d83f09ff
251,Juanfran,es ESP,DF,Atlético Madrid,33,1985,17.9,38,28,29,7,2,22,41,53.7,19,176,67,38.1,93,57,26,23,3,0,20,23,61,28,1,Matches,cfd8d664
252,Juanfran,es ESP,DF,Leganés,29,1988,16.2,21,14,12,7,2,7,25,28.0,18,184,53,28.8,76,70,38,32,4,0,28,12,33,24,0,Matches,9ba48d64
253,Juanmi,es ESP,FWMF,Real Sociedad,25,1993,16.9,17,8,4,9,4,4,26,15.4,22,382,69,18.1,58,194,130,20,0,0,20,12,29,6,1,Matches,84399660
254,Juanpe,es ESP,DF,Girona,27,1991,30.7,41,26,25,13,3,20,35,57.1,15,241,83,34.4,133,95,13,48,17,0,31,33,74,173,2,Matches,1633fc8a
255,Juanpi,ve VEN,MFFW,Huesca,24,1994,7.4,16,11,8,7,1,4,12,33.3,8,195,42,21.5,61,100,34,20,0,0,20,2,18,8,0,Matches,d79afcfc
256,David Juncà,es ESP,DF,Celta Vigo,24,1993,19.5,50,26,34,15,1,23,47,48.9,24,242,71,29.3,152,72,18,53,7,0,46,18,68,70,0,Matches,de7d40d6
257,Vinicius Júnior,br BRA,FW,Real Madrid,18,2000,9.7,11,5,3,5,3,0,11,0.0,11,205,48,23.4,43,72,90,7,1,0,6,6,17,0,0,Matches,7111d552
258,Gaël Kakuta,cd COD,MFFW,Rayo Vallecano,27,1991,8.0,12,8,6,4,2,3,12,25.0,9,145,37,25.5,46,77,22,7,1,0,6,8,20,4,0,Matches,5b1bf5e3
259,Nikola Kalinić,hr CRO,FW,Atlético Madrid,30,1988,7.1,3,0,1,2,0,0,4,0.0,4,127,28,22.0,13,57,57,1,0,0,1,2,5,2,0,Matches,d4931a5a
260,Lee Kangin,kr KOR,FWMF,Valencia,17,2001,0.3,2,0,1,0,1,1,3,33.3,2,17,1,5.9,4,9,4,0,0,0,0,1,3,0,0,Matches,8455ad90
261,Wilfrid Kaptoum,cm CMR,MF,Betis,22,1996,8.6,13,5,4,7,2,3,9,33.3,6,163,33,20.2,47,90,26,9,1,0,8,6,19,5,0,Matches,d717630e
262,Keko,es ESP,MFFW,Valladolid,26,1991,17.0,35,19,17,13,5,12,51,23.5,39,492,120,24.4,174,246,72,32,2,0,30,10,45,15,0,Matches,1512328c
263,Kike,es ESP,FW,Eibar,28,1989,14.4,6,4,1,3,2,1,9,11.1,8,288,79,27.4,21,102,165,24,2,0,22,5,11,3,0,Matches,e897d8ba
264,Simon Kjær,dk DEN,DF,Sevilla,29,1989,22.3,35,20,28,7,0,14,24,58.3,10,159,53,33.3,103,53,3,42,31,0,11,19,54,153,0,Matches,8b8a56ce
265,Kenan Kodro,ba BIH,FWMF,Athletic Club,24,1993,1.8,3,2,1,2,0,1,2,50.0,1,34,13,38.2,6,14,14,1,0,0,1,0,3,0,0,Matches,e82d2807
266,Koke,es ESP,MF,Atlético Madrid,26,1992,28.7,75,46,32,34,9,28,95,29.5,67,725,167,23.0,277,320,128,47,5,0,42,24,99,33,0,Matches,55126f3b
267,Geoffrey Kondogbia,cf CTA,MF,Valencia,25,1993,13.8,46,35,19,22,5,8,23,34.8,15,336,75,22.3,121,182,33,27,7,0,20,24,70,27,2,Matches,cce181df
268,Vasyl Kravets,ua UKR,DF,Leganés,20,1997,5.3,20,10,11,8,1,6,12,50.0,6,65,19,29.2,30,24,11,8,1,0,7,2,22,13,1,Matches,29e48848
269,Toni Kroos,de GER,MF,Real Madrid,28,1990,24.7,56,42,17,26,13,17,61,27.9,44,576,147,25.5,97,376,103,32,4,0,28,14,70,16,1,Matches,6ce1f46f
270,Víctor Laguardia,es ESP,DF,Alavés,28,1989,36.0,41,25,29,12,0,22,41,53.7,19,221,74,33.5,160,58,3,74,20,0,54,51,92,256,0,Matches,b7c99b9b
271,Diego Lainez,mx MEX,MFFW,Betis,18,2000,3.9,4,2,0,3,1,1,2,50.0,1,54,9,16.7,13,25,16,4,0,0,4,0,4,1,0,Matches,bf12926c
272,Toni Lato,es ESP,DF,Valencia,20,1997,3.0,6,3,4,0,2,4,9,44.4,5,64,12,18.8,48,12,4,15,3,0,12,7,13,9,0,Matches,8e088e04
273,Miguel Layún,mx MEX,MFDF,Villarreal,30,1988,5.6,4,3,0,4,0,1,6,16.7,5,133,22,16.5,34,74,25,11,1,0,10,1,5,5,0,Matches,ad6295d4
274,Robin Le Normand,fr FRA,DF,Real Sociedad,21,1996,3.2,6,4,4,2,0,2,5,40.0,3,19,3,15.8,9,10,0,5,0,0,5,6,12,15,1,Matches,9a64e67e
275,Wu Lei,cn CHN,FWMF,Espanyol,26,1991,11.8,10,8,3,5,2,4,18,22.2,14,202,38,18.8,47,96,59,15,1,0,14,3,13,8,0,Matches,e3fabb0a
276,Iñigo Lekue,es ESP,DF,Athletic Club,25,1993,2.3,4,4,4,0,0,1,3,33.3,2,28,8,28.6,12,12,4,6,0,0,6,2,6,14,0,Matches,59b7d823
277,Thomas Lemar,fr FRA,MFFW,Atlético Madrid,22,1995,20.2,30,15,17,11,2,12,41,29.3,29,630,109,17.3,171,337,122,36,1,0,35,23,53,4,0,Matches,4dbd0916
278,Clément Lenglet,fr FRA,DF,Barcelona,23,1995,21.5,59,43,33,23,3,20,42,47.6,22,256,85,33.2,131,113,12,42,22,0,20,14,73,78,0,Matches,4f28a6ff
279,Pedro León,es ESP,MFFW,Eibar,31,1986,4.7,9,7,2,3,4,3,8,37.5,5,77,19,24.7,17,29,31,10,0,0,10,4,13,2,0,Matches,d66b9872
280,Sergio León,es ESP,FWMF,Betis,29,1989,7.1,2,1,0,2,0,1,7,14.3,6,87,18,20.7,12,45,30,8,1,0,7,1,3,3,0,Matches,0a0cc13c
281,Diego Llorente,es ESP,DF,Real Sociedad,24,1993,19.5,33,24,23,10,0,17,34,50.0,17,164,62,37.8,95,64,5,32,15,0,17,15,48,115,0,Matches,bba30585
282,Marcos Llorente,es ESP,MF,Real Madrid,23,1995,6.0,15,9,7,6,2,2,12,16.7,10,120,31,25.8,34,66,20,8,0,0,8,5,20,11,0,Matches,02c15616
283,Giovani Lo Celso,ar ARG,MFFW,Betis,22,1996,26.6,55,46,17,29,9,14,48,29.2,34,498,135,27.1,97,269,132,35,1,0,34,10,65,10,1,Matches,d7553721
284,Stanislav Lobotka,sk SVK,MF,Celta Vigo,23,1994,27.7,42,34,12,22,8,10,45,22.2,35,670,151,22.5,221,364,85,23,1,0,22,26,68,17,0,Matches,e1cbb531
285,Samuele Longo,it ITA,FWMF,Huesca,26,1992,6.2,5,5,1,3,1,0,7,0.0,7,183,39,21.3,18,115,50,7,2,0,5,0,5,6,0,Matches,1163de29
286,Alejandro López,es ESP,MF,Espanyol,21,1997,1.2,2,1,1,1,0,2,6,33.3,4,48,8,16.7,16,29,3,0,0,0,0,2,4,2,0,Matches,f1887f53
287,David López,es ESP,DF,Espanyol,28,1989,20.2,30,24,17,11,2,14,26,53.8,12,152,44,28.9,94,47,11,23,11,0,12,15,45,93,2,Matches,f03f284b
288,Diego López,es ESP,GK,Espanyol,36,1981,38.0,0,0,0,0,0,0,1,0.0,1,0,0,,0,0,0,0,0,0,0,0,0,2,1,Matches,73683fa9
289,Javi López,es ESP,DF,Espanyol,32,1986,21.6,71,43,44,22,5,24,67,35.8,43,308,80,26.0,169,105,34,46,3,0,43,38,109,73,0,Matches,ffad706e
