,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,,-additional
138,Hugo Duro,es ESP,MFFW,Getafe,18,1999,4.6,0,6,0,0.0,1.29,0.00,0.00,,15.3,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,37e103f8
139,Raphael Dwamena,gh GHA,FW,Levante,22,1995,2.5,0,4,2,50.0,1.62,0.81,0.00,0.00,12.5,0,0,0,0.6,0.6,0.14,-0.6,-0.6,Matches,525f9bf4
140,Dennis Eckert,de GER,FW,Celta Vigo,21,1997,2.4,0,8,3,37.5,3.33,1.25,0.00,0.00,14.5,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches,7f8fb807
141,Aritz Elustondo,es ESP,DF,Real Sociedad,24,1994,25.0,1,11,5,45.5,0.44,0.20,0.09,0.20,9.2,0,0,0,1.3,1.3,0.12,-0.3,-0.3,Matches,f7dc2ae5
142,Gorka Elustondo,es ESP,MF,Rayo Vallecano,31,1987,3.2,0,3,0,0.0,0.95,0.00,0.00,,23.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,7b309e55
143,Rodrigo Ely,br BRA,DF,Alavés,24,1993,4.8,0,3,1,33.3,0.63,0.21,0.00,0.00,14.9,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,fd47b4f2
144,Adri Embarba,es ESP,FWMF,Rayo Vallecano,26,1992,25.4,5,46,15,32.6,1.81,0.59,0.04,0.13,18.9,6,3,3,6.0,3.7,0.08,-1.0,-1.7,Matches,db8f0eba
145,Emerson,br BRA,DF,Betis,19,1999,3.5,0,3,1,33.3,0.85,0.28,0.00,0.00,18.2,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,df8b52a5
146,Youssef En-Nesyri,ma MAR,FW,Leganés,21,1997,23.4,9,72,23,31.9,3.08,0.98,0.13,0.39,14.6,0,0,0,7.4,7.4,0.10,+1.6,+1.6,Matches,04e17fd5
147,Sergi Enrich,es ESP,FW,Eibar,28,1990,28.7,7,70,17,24.3,2.44,0.59,0.10,0.41,10.4,0,0,0,10.0,10.0,0.14,-3.0,-3.0,Matches,bb4b1242
148,Javier Eraso,es ESP,MFFW,Leganés,28,1990,7.0,0,4,2,50.0,0.57,0.29,0.00,0.00,13.4,0,0,0,1.0,1.0,0.24,-1.0,-1.0,Matches,aec0fb6f
149,Gonzalo Escalante,ar ARG,MF,Eibar,25,1993,19.9,4,22,8,36.4,1.11,0.40,0.18,0.50,16.7,0,0,0,2.1,2.1,0.12,+1.9,+1.9,Matches,3f79a1c8
150,Sergio Escudero,es ESP,DFMF,Sevilla,28,1989,17.2,0,25,3,12.0,1.46,0.17,0.00,0.00,19.7,0,0,0,1.2,1.2,0.05,-1.2,-1.2,Matches,b0616e3d
151,Bernardo Espinosa,co COL,DF,Girona,29,1989,30.3,1,15,7,46.7,0.50,0.23,0.07,0.14,8.5,0,0,0,1.4,1.4,0.09,-0.4,-0.4,Matches,4242011c
152,Beñat Etxebarria,es ESP,MF,Athletic Club,31,1987,22.6,1,16,4,25.0,0.71,0.18,0.06,0.25,27.9,3,0,0,0.5,0.5,0.03,+0.5,+0.5,Matches,b037bd4f
153,Xabier Etxeita,es ESP,DF,Huesca,30,1987,29.7,4,23,8,34.8,0.77,0.27,0.17,0.50,10.0,0,0,0,2.3,2.3,0.10,+1.7,+1.7,Matches,4a895384
154,Zouhair Feddal,ma MAR,DF,Betis,29,1989,18.9,1,17,3,17.6,0.90,0.16,0.06,0.33,9.7,0,0,0,1.6,1.6,0.10,-0.6,-0.6,Matches,89151b16
155,Aitor Fernández,es ESP,GK,Levante,27,1991,16.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a01c3d54
156,Andrés Fernández,es ESP,GK,Villarreal,31,1986,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,307fcd26
157,Borja Fernández,es ESP,MFDF,Valladolid,37,1981,9.3,0,4,0,0.0,0.43,0.00,0.00,,18.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,9127f9ce
158,Joaquín Fernández,es ESP,DFMF,Valladolid,22,1996,9.3,1,7,2,28.6,0.75,0.21,0.14,0.50,10.7,0,0,0,0.6,0.6,0.08,+0.4,+0.4,Matches,b86a64b2
159,David Ferreiro,es ESP,FWMF,Huesca,30,1988,25.3,1,37,12,32.4,1.46,0.47,0.03,0.08,19.1,3,0,0,2.7,2.7,0.07,-1.7,-1.7,Matches,8970907e
160,Facundo Ferreyra,ar ARG,FWMF,Espanyol,27,1991,2.3,1,3,1,33.3,1.28,0.43,0.33,1.00,15.2,0,0,0,0.3,0.3,0.10,+0.7,+0.7,Matches,b39a793e
161,Junior Firpo,es ESP,DFMF,Betis,21,1996,21.5,3,19,8,42.1,0.88,0.37,0.16,0.38,12.9,0,0,0,2.0,2.0,0.10,+1.0,+1.0,Matches,24f59bb2
162,Mathieu Flamini,fr FRA,MF,Getafe,34,1984,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,148d4105
163,Pablo Fornals,es ESP,MFFW,Villarreal,22,1996,27.5,2,57,16,28.1,2.07,0.58,0.04,0.13,18.5,0,0,0,4.3,4.3,0.08,-2.3,-2.3,Matches,82927de4
164,Dimitri Foulquier,fr FRA,MFFW,Getafe,25,1993,20.0,3,13,4,30.8,0.65,0.20,0.23,0.75,15.0,0,0,0,1.1,1.1,0.09,+1.9,+1.9,Matches,45e17712
165,Javi Fuego,es ESP,MF,Villarreal,34,1984,2.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2e8fc160
166,Ramiro Funes Mori,ar ARG,DFMF,Villarreal,27,1991,29.2,2,26,6,23.1,0.89,0.21,0.08,0.33,15.6,0,0,0,2.1,2.1,0.08,-0.1,-0.1,Matches,89cbc961
167,Javi Galán,es ESP,DFMF,Huesca,23,1994,16.0,0,1,0,0.0,0.06,0.00,0.00,,18.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,a4b00319
168,Álex Gallar,es ESP,MFFW,Huesca,26,1992,11.2,4,26,9,34.6,2.32,0.80,0.12,0.33,20.0,3,1,1,3.4,2.6,0.10,+0.6,+0.4,Matches,36d5469c
169,Enric Gallego,es ESP,FW,Huesca,31,1986,17.1,5,31,11,35.5,1.81,0.64,0.16,0.45,12.1,0,0,0,3.6,3.6,0.12,+1.4,+1.4,Matches,82e9b89d
170,Álex Gálvez,es ESP,DF,Rayo Vallecano,29,1989,15.7,1,7,3,42.9,0.45,0.19,0.14,0.33,6.3,0,0,0,1.1,1.1,0.16,-0.1,-0.1,Matches,960fb42d
171,Kévin Gameiro,fr FRA,FW,Valencia,31,1987,17.9,6,35,14,40.0,1.95,0.78,0.17,0.43,11.9,0,0,0,7.3,7.3,0.21,-1.3,-1.3,Matches,42276181
172,Cristian Ganea,ro ROU,MF,Athletic Club,26,1992,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,baf5665c
173,Ezequiel Garay,ar ARG,DF,Valencia,31,1986,23.7,2,13,6,46.2,0.55,0.25,0.15,0.33,9.4,0,0,0,1.5,1.5,0.11,+0.5,+0.5,Matches,ac3fb1be
174,Borja Garcés,es ESP,FW,Atlético Madrid,18,1999,0.2,1,3,1,33.3,13.50,4.50,0.33,1.00,18.4,0,0,0,0.2,0.2,0.08,+0.8,+0.8,Matches,bc39454c
175,Alberto García,es ESP,GK,Rayo Vallecano,33,1985,17.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,17d9e354
176,Aleix García,es ESP,MF,Girona,21,1997,18.5,2,19,5,26.3,1.03,0.27,0.11,0.40,25.2,7,0,0,1.5,1.5,0.08,+0.5,+0.5,Matches,a10361d2
177,Álvaro García,es ESP,FWMF,Rayo Vallecano,25,1992,19.6,4,28,11,39.3,1.43,0.56,0.14,0.36,14.7,0,0,0,4.0,4.0,0.14,0.0,0.0,Matches,90bbd822
178,Borja García,es ESP,FWMF,Girona,27,1990,29.2,1,27,13,48.1,0.92,0.45,0.04,0.08,21.9,0,0,0,1.8,1.8,0.07,-0.8,-0.8,Matches,e7f4603c
179,Dani García,es ESP,MF,Athletic Club,28,1990,27.5,0,2,0,0.0,0.07,0.00,0.00,,29.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,240d3a0b
180,Javi García,es ESP,DFMF,Betis,31,1987,5.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,167c1bb0
181,Manu García,es ESP,MF,Alavés,32,1986,25.9,2,28,5,17.9,1.08,0.19,0.07,0.40,16.1,0,0,0,2.2,2.2,0.08,-0.2,-0.2,Matches,05a4465d
182,Raúl García,es ESP,DF,Leganés,29,1989,4.2,0,2,0,0.0,0.47,0.00,0.00,,31.5,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,1a317a1b
183,Raúl García,es ESP,DF,Girona,29,1989,9.4,0,5,1,20.0,0.53,0.11,0.00,0.00,20.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,1a317a1b
184,Raúl García,es ESP,MFFW,Athletic Club,32,1986,26.3,9,75,32,42.7,2.85,1.22,0.09,0.22,17.6,0,2,4,8.1,4.9,0.07,+0.9,+2.1,Matches,b418dbd4
185,Sergio García,es ESP,FWMF,Espanyol,35,1983,16.5,2,36,10,27.8,2.18,0.61,0.06,0.20,15.1,1,0,0,4.1,4.1,0.12,-2.1,-2.1,Matches,2bee98fd
186,Mario Gaspar,es ESP,DF,Villarreal,27,1990,28.9,1,26,7,26.9,0.90,0.24,0.04,0.14,16.0,0,0,0,1.6,1.6,0.06,-0.6,-0.6,Matches,fb5d47b3
187,Joris Gnagnon,fr FRA,DFMF,Sevilla,21,1997,5.0,0,3,1,33.3,0.61,0.20,0.00,0.00,15.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,1232e1dc
188,Diego Godín,uy URU,DF,Atlético Madrid,32,1986,27.9,3,17,8,47.1,0.61,0.29,0.18,0.38,7.6,0,0,0,3.1,3.1,0.18,-0.1,-0.1,Matches,fc4f85b1
189,Ibai Gómez,es ESP,FW,Athletic Club,28,1989,6.4,0,8,3,37.5,1.24,0.47,0.00,0.00,16.8,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches,9d2a3d5f
190,Ibai Gómez,es ESP,MFFW,Alavés,28,1989,16.1,3,43,10,23.3,2.67,0.62,0.07,0.30,21.6,5,0,1,3.5,2.7,0.06,-0.5,+0.3,Matches,9d2a3d5f
191,Maxi Gómez,uy URU,FW,Celta Vigo,21,1996,32.9,13,81,28,34.6,2.46,0.85,0.15,0.43,15.7,7,1,1,10.6,9.8,0.12,+2.4,+2.2,Matches,4c2e9442
192,Moi Gómez,es ESP,MF,Huesca,24,1994,33.9,2,25,8,32.0,0.74,0.24,0.08,0.25,22.0,2,0,0,1.8,1.8,0.07,+0.2,+0.2,Matches,5a626448
193,Sergi Gómez,es ESP,DF,Sevilla,26,1992,30.7,0,9,3,33.3,0.29,0.10,0.00,0.00,10.3,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Matches,bc6f5f06
194,Maxime Gonalons,fr FRA,MF,Sevilla,29,1989,6.0,0,2,0,0.0,0.33,0.00,0.00,,16.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,b8c1de25
195,Álvaro González,es ESP,DF,Villarreal,28,1990,32.9,1,13,2,15.4,0.39,0.06,0.08,0.50,14.0,0,0,0,1.0,1.0,0.07,0.0,0.0,Matches,42dcf26d
196,Bruno González,es ESP,DF,Getafe,28,1990,18.9,0,6,1,16.7,0.32,0.05,0.00,0.00,8.1,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches,f11fe861
197,Cristo González,es ESP,FW,Real Madrid,20,1997,0.5,0,1,0,0.0,2.00,0.00,0.00,,23.0,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,896b5df2
198,Andoni Gorosabel,es ESP,DF,Real Sociedad,21,1996,5.1,0,2,0,0.0,0.40,0.00,0.00,,20.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,6f5f82c0
199,Álex Granell,es ESP,MFDF,Girona,29,1988,26.6,0,40,7,17.5,1.51,0.26,0.00,0.00,29.1,8,0,0,1.1,1.1,0.03,-1.1,-1.1,Matches,a25250f8
200,Esteban Granero,es ESP,MF,Espanyol,31,1987,22.4,3,29,7,24.1,1.30,0.31,0.10,0.43,23.2,13,0,0,2.0,2.0,0.07,+1.0,+1.0,Matches,1b17ed86
201,Antoine Griezmann,fr FRA,FW,Atlético Madrid,27,1991,35.5,15,110,45,40.9,3.10,1.27,0.11,0.27,19.1,16,3,3,13.6,11.4,0.11,+1.4,+0.6,Matches,df69b544
202,Andrés Guardado,mx MEX,MFDF,Betis,31,1986,25.9,0,26,5,19.2,1.00,0.19,0.00,0.00,22.2,2,0,0,1.4,1.4,0.05,-1.4,-1.4,Matches,ef322658
203,Sergi Guardiola,es ESP,FW,Valladolid,27,1991,16.8,3,45,15,33.3,2.68,0.89,0.07,0.20,15.7,0,0,1,4.9,4.1,0.09,-1.9,-1.1,Matches,32974271
204,Sergi Guardiola,es ESP,FWMF,Getafe,27,1991,0.3,0,2,0,0.0,6.00,0.00,0.00,,21.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,32974271
205,Gonçalo Guedes,pt POR,MFFW,Valencia,21,1996,16.3,5,35,14,40.0,2.15,0.86,0.14,0.36,20.7,1,0,0,2.1,2.1,0.06,+2.9,+2.9,Matches,e6bc67d7
206,Javi Guerra,es ESP,FWMF,Rayo Vallecano,36,1982,2.6,0,7,0,0.0,2.67,0.00,0.00,,13.0,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches,aa386464
207,Francis Guerrero,es ESP,DFMF,Betis,22,1996,19.8,0,10,4,40.0,0.51,0.20,0.00,0.00,18.6,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches,59d53e8a
208,Ander Guevara,es ESP,MF,Real Sociedad,21,1997,1.0,0,3,0,0.0,3.00,0.00,0.00,,24.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,8e48dc61
209,John Guidetti,se SWE,FW,Alavés,26,1992,7.0,2,10,5,50.0,1.43,0.71,0.20,0.40,11.9,0,0,0,1.9,1.9,0.19,+0.1,+0.1,Matches,99bebd12
210,Gerard Gumbau,es ESP,MF,Leganés,23,1994,13.3,1,18,5,27.8,1.35,0.38,0.00,0.00,26.0,3,1,1,1.6,0.9,0.05,-0.6,-0.9,Matches,ac454a4f
211,Serdar Gürler,tr TUR,FWMF,Huesca,26,1991,5.4,0,6,1,16.7,1.12,0.19,0.00,0.00,14.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,8d2ad5c0
212,Gorka Guruzeta,es ESP,FWMF,Athletic Club,21,1996,0.6,0,1,0,0.0,1.80,0.00,0.00,,8.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,6b5ea2f4
213,Hacen,mr MTN,FW,Valladolid,20,1997,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7c689c48
214,Munir El Haddadi,ma MAR,FW,Barcelona,22,1995,1.7,1,4,1,25.0,2.37,0.59,0.25,1.00,10.8,0,0,0,0.6,0.6,0.16,+0.4,+0.4,Matches,8696bc90
215,Munir El Haddadi,ma MAR,FWMF,Sevilla,22,1995,11.6,5,32,11,34.4,2.76,0.95,0.16,0.45,15.4,0,0,0,4.0,4.0,0.12,+1.0,+1.0,Matches,8696bc90
216,Uche Henry Agbo,ng NGA,MF,Rayo Vallecano,22,1995,4.1,0,1,0,0.0,0.24,0.00,0.00,,31.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,98554bfd
217,Mario Hermoso,es ESP,DF,Espanyol,23,1995,31.2,3,27,11,40.7,0.87,0.35,0.11,0.27,24.5,7,0,0,1.8,1.8,0.07,+1.2,+1.2,Matches,555f3a0b
218,Lucas Hernández,fr FRA,DF,Atlético Madrid,22,1996,12.4,1,5,1,20.0,0.40,0.08,0.20,1.00,12.8,0,0,0,0.5,0.5,0.10,+0.5,+0.5,Matches,c3ee18ef
219,Theo Hernández,fr FRA,DF,Real Sociedad,20,1997,22.0,1,23,5,21.7,1.05,0.23,0.04,0.20,24.4,0,0,0,0.9,0.9,0.04,+0.1,+0.1,Matches,d4c9725f
220,Yangel Herrera,ve VEN,MFDF,Huesca,20,1998,12.8,0,16,2,12.5,1.25,0.16,0.00,0.00,22.1,1,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches,e778654a
221,Iago Herrerín,es ESP,GK,Athletic Club,30,1988,31.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9109185e
222,Pablo Hervías,es ESP,MF,Eibar,25,1993,2.0,0,4,1,25.0,2.00,0.50,0.00,0.00,29.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,ba5a9545
223,Pablo Hervías,es ESP,MFFW,Valladolid,25,1993,1.8,0,3,1,33.3,1.69,0.56,0.00,0.00,24.0,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,ba5a9545
224,Andrew Hjulsager,dk DEN,MFFW,Celta Vigo,23,1995,4.0,0,2,0,0.0,0.50,0.00,0.00,,21.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,2ef16f06
225,Wesley Hoedt,nl NED,DF,Celta Vigo,24,1994,9.9,0,4,1,25.0,0.40,0.10,0.00,0.00,16.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,875898c7
226,Robert Ibáñez,es ESP,FWMF,Getafe,25,1993,0.8,0,4,2,50.0,4.74,2.37,0.00,0.00,17.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,c7429db3
227,Vicente Iborra,es ESP,MFFW,Villarreal,30,1988,18.5,3,15,5,33.3,0.81,0.27,0.20,0.60,12.1,0,0,0,2.0,2.0,0.13,+1.0,+1.0,Matches,ad1ffcfd
228,Borja Iglesias,es ESP,FW,Espanyol,25,1993,34.2,17,87,35,40.2,2.55,1.02,0.16,0.40,14.3,0,3,3,16.6,14.3,0.17,+0.4,-0.3,Matches,75645f0e
229,Asier Illarramendi,es ESP,MF,Real Sociedad,28,1990,20.2,1,13,4,30.8,0.64,0.20,0.08,0.25,24.5,2,0,0,0.4,0.4,0.03,+0.6,+0.6,Matches,5ce0b5ba
230,Giannelli Imbula,cd COD,MF,Rayo Vallecano,25,1992,19.2,1,21,4,19.0,1.09,0.21,0.05,0.25,26.4,1,0,0,1.0,1.0,0.05,0.0,0.0,Matches,b86fe156
231,Pablo Insua,es ESP,DF,Huesca,24,1993,8.6,0,1,1,100.0,0.12,0.12,0.00,0.00,12.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,4b5e7e90
232,Takashi Inui,jp JPN,FWMF,Betis,30,1988,4.2,0,13,3,23.1,3.10,0.72,0.00,0.00,18.7,0,0,0,1.4,1.4,0.11,-1.4,-1.4,Matches,61bd33d0
233,Takashi Inui,jp JPN,MFFW,Alavés,30,1988,9.2,2,16,5,31.3,1.74,0.54,0.13,0.40,19.9,0,0,0,1.6,1.6,0.10,+0.4,+0.4,Matches,61bd33d0
234,Gorka Iraizoz,es ESP,GK,Girona,37,1981,6.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,26f2473f
235,Carlos Isaac,es ESP,DF,Atlético Madrid,20,1998,1.0,0,1,0,0.0,1.00,0.00,0.00,,10.3,0,0,0,0.1,0.1,0.13,-0.1,-0.1,Matches,3e5a168c
236,Isco,es ESP,MFFW,Real Madrid,26,1992,13.2,3,24,7,29.2,1.81,0.53,0.13,0.43,15.8,2,0,0,3.8,3.8,0.16,-0.8,-0.8,Matches,a0b4bb3e
237,Manuel Iturra,cl CHI,MF,Villarreal,34,1984,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,000b3da6
238,Ander Iturraspe,es ESP,MF,Athletic Club,29,1989,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,6dce77a5
239,Ivi,es ESP,MFFW,Valladolid,24,1994,0.2,0,1,0,0.0,4.50,0.00,0.00,,27.0,1,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches,d2fa73e7
240,Adnan Januzaj,be BEL,FWMF,Real Sociedad,23,1995,13.9,1,33,7,21.2,2.37,0.50,0.03,0.14,20.2,5,0,0,2.3,2.3,0.07,-1.3,-1.3,Matches,4737cebe
241,Jason,es ESP,MFFW,Levante,24,1994,25.9,2,31,8,25.8,1.20,0.31,0.06,0.25,20.5,3,0,0,2.7,2.7,0.09,-0.7,-0.7,Matches,9038c2a1
242,Mathias Jensen,dk DEN,MFFW,Celta Vigo,22,1996,2.6,0,4,1,25.0,1.53,0.38,0.00,0.00,18.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,0f134faf
243,Jesé,es ESP,FWMF,Betis,25,1993,8.7,2,19,8,42.1,2.20,0.92,0.11,0.25,15.7,0,0,0,3.0,3.0,0.16,-1.0,-1.0,Matches,4a537185
244,Joaquín,es ESP,FWDF,Betis,37,1981,18.8,6,25,12,48.0,1.33,0.64,0.24,0.50,18.7,4,0,0,4.2,4.2,0.17,+1.8,+1.8,Matches,4c5b14d2
245,Jony,es ESP,MFFW,Alavés,27,1991,33.0,4,50,23,46.0,1.51,0.70,0.08,0.17,21.4,8,0,0,4.5,4.5,0.09,-0.5,-0.5,Matches,244f57b9
246,Joan Jordán,es ESP,MF,Eibar,24,1994,31.9,4,58,19,32.8,1.82,0.59,0.07,0.21,23.8,9,0,0,2.9,2.9,0.05,+1.1,+1.1,Matches,2a0c8ba4
247,Willian José,br BRA,FW,Real Sociedad,26,1991,26.3,11,48,20,41.7,1.83,0.76,0.13,0.30,15.9,1,5,7,11.9,6.9,0.14,-0.9,-0.9,Matches,d87e2cae
248,Aleksandar Jovanović,rs SRB,GK,Huesca,25,1992,12.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,129dd8e7
249,Jozabed,es ESP,MF,Celta Vigo,27,1991,12.8,0,11,3,27.3,0.86,0.23,0.00,0.00,20.2,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches,9b337c7c
250,Miguel Juan Llambrich,es ESP,DF,Villarreal,22,1996,6.0,0,2,0,0.0,0.33,0.00,0.00,,16.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,d83f09ff
251,Juanfran,es ESP,DF,Atlético Madrid,33,1985,17.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,cfd8d664
252,Juanfran,es ESP,DF,Leganés,29,1988,16.2,1,10,3,30.0,0.62,0.19,0.10,0.33,19.7,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches,9ba48d64
253,Juanmi,es ESP,FWMF,Real Sociedad,25,1993,16.9,5,44,19,43.2,2.60,1.12,0.11,0.26,14.0,0,0,0,6.5,6.5,0.15,-1.5,-1.5,Matches,84399660
254,Juanpe,es ESP,DF,Girona,27,1991,30.7,0,22,7,31.8,0.72,0.23,0.00,0.00,12.4,0,0,0,1.0,1.0,0.05,-1.0,-1.0,Matches,1633fc8a
255,Juanpi,ve VEN,MFFW,Huesca,24,1994,7.4,2,14,2,14.3,1.88,0.27,0.07,0.50,21.3,3,1,1,1.6,0.8,0.06,+0.4,+0.2,Matches,d79afcfc
256,David Juncà,es ESP,DF,Celta Vigo,24,1993,19.5,0,5,1,20.0,0.26,0.05,0.00,0.00,14.5,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches,de7d40d6
257,Vinicius Júnior,br BRA,FW,Real Madrid,18,2000,9.7,2,43,16,37.2,4.45,1.66,0.05,0.13,17.6,0,0,0,3.0,3.0,0.07,-1.0,-1.0,Matches,7111d552
258,Gaël Kakuta,cd COD,MFFW,Rayo Vallecano,27,1991,8.0,1,5,0,0.0,0.63,0.00,0.00,,20.6,1,1,1,1.2,0.4,0.08,-0.2,-0.4,Matches,5b1bf5e3
259,Nikola Kalinić,hr CRO,FW,Atlético Madrid,30,1988,7.1,2,9,5,55.6,1.26,0.70,0.22,0.40,10.8,0,0,0,1.3,1.3,0.15,+0.7,+0.7,Matches,d4931a5a
260,Lee Kangin,kr KOR,FWMF,Valencia,17,2001,0.3,0,1,0,0.0,3.75,0.00,0.00,,29.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,8455ad90
261,Wilfrid Kaptoum,cm CMR,MF,Betis,22,1996,8.6,0,3,1,33.3,0.35,0.12,0.00,0.00,19.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,d717630e
262,Keko,es ESP,MFFW,Valladolid,26,1991,17.0,2,21,10,47.6,1.23,0.59,0.10,0.20,14.4,0,0,0,3.2,3.2,0.16,-1.2,-1.2,Matches,1512328c
263,Kike,es ESP,FW,Eibar,28,1989,14.4,3,42,17,40.5,2.91,1.18,0.07,0.18,12.9,0,0,0,5.1,5.1,0.12,-2.1,-2.1,Matches,e897d8ba
264,Simon Kjær,dk DEN,DF,Sevilla,29,1989,22.3,0,15,3,20.0,0.67,0.13,0.00,0.00,12.2,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches,8b8a56ce
265,Kenan Kodro,ba BIH,FWMF,Athletic Club,24,1993,1.8,1,4,1,25.0,2.24,0.56,0.25,1.00,15.5,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches,e82d2807
266,Koke,es ESP,MF,Atlético Madrid,26,1992,28.7,3,20,5,25.0,0.70,0.17,0.15,0.60,20.2,1,0,0,1.1,1.1,0.06,+1.9,+1.9,Matches,55126f3b
267,Geoffrey Kondogbia,cf CTA,MF,Valencia,25,1993,13.8,1,22,4,18.2,1.59,0.29,0.05,0.25,20.1,0,0,0,2.0,2.0,0.09,-1.0,-1.0,Matches,cce181df
268,Vasyl Kravets,ua UKR,DF,Leganés,20,1997,5.3,0,4,2,50.0,0.75,0.37,0.00,0.00,22.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,29e48848
269,Toni Kroos,de GER,MF,Real Madrid,28,1990,24.7,0,30,9,30.0,1.22,0.36,0.00,0.00,23.9,0,0,0,1.2,1.2,0.04,-1.2,-1.2,Matches,6ce1f46f
270,Víctor Laguardia,es ESP,DF,Alavés,28,1989,36.0,1,16,5,31.3,0.44,0.14,0.06,0.20,12.1,1,0,0,1.4,1.4,0.09,-0.4,-0.4,Matches,b7c99b9b
271,Diego Lainez,mx MEX,MFFW,Betis,18,2000,3.9,0,10,2,20.0,2.55,0.51,0.00,0.00,22.7,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches,bf12926c
272,Toni Lato,es ESP,DF,Valencia,20,1997,3.0,0,2,0,0.0,0.67,0.00,0.00,,13.4,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches,8e088e04
273,Miguel Layún,mx MEX,MFDF,Villarreal,30,1988,5.6,0,12,2,16.7,2.13,0.36,0.00,0.00,23.7,2,0,0,0.6,0.5,0.04,-0.6,-0.5,Matches,ad6295d4
274,Robin Le Normand,fr FRA,DF,Real Sociedad,21,1996,3.2,0,5,0,0.0,1.58,0.00,0.00,,7.3,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches,9a64e67e
