,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,,-additional
133,Jaume Doménech,es ESP,GK,Valencia,27,1990,4.0,58,94,61.7,2173,1690,6,6,100.0,21,21,100.0,31,67,46.3,0,0.0,0.0,0,0,0,0,0,Matches,c9cb972b
134,Cheick Doukouré,ci CIV,MF,Levante,25,1992,3.5,85,113,75.2,1614,420,32,47,68.1,42,51,82.4,9,12,75.0,0,0.0,0.0,0,11,1,0,11,Matches,e208bcc8
135,Seydou Doumbia,ci CIV,FW,Girona,30,1987,6.0,52,71,73.2,653,119,35,44,79.5,12,15,80.0,2,3,66.7,0,0.0,0.0,0,2,2,0,5,Matches,c49afee6
136,Óscar Duarte,cr CRC,DFMF,Espanyol,29,1989,7.3,300,342,87.7,6568,1960,80,84,95.2,165,177,93.2,52,75,69.3,0,0.1,-0.1,2,18,3,0,15,Matches,aa0ac32d
137,Rubén Duarte,es ESP,DF,Alavés,22,1995,30.8,847,1231,68.8,16222,8064,360,420,85.7,349,468,74.6,126,303,41.6,0,1.4,-1.4,21,95,21,11,85,Matches,1fe0492d
138,Hugo Duro,es ESP,MFFW,Getafe,18,1999,4.6,46,68,67.6,573,143,34,41,82.9,8,17,47.1,2,5,40.0,0,0.4,-0.4,1,1,2,0,3,Matches,37e103f8
139,Raphael Dwamena,gh GHA,FW,Levante,22,1995,2.5,31,49,63.3,460,108,17,25,68.0,9,15,60.0,2,4,50.0,1,0.7,+0.3,4,3,2,1,2,Matches,525f9bf4
140,Dennis Eckert,de GER,FW,Celta Vigo,21,1997,2.4,30,43,69.8,432,73,18,23,78.3,10,14,71.4,2,2,100.0,0,0.1,-0.1,3,0,0,0,2,Matches,7f8fb807
141,Aritz Elustondo,es ESP,DF,Real Sociedad,24,1994,25.0,973,1219,79.8,19576,6906,305,346,88.2,535,605,88.4,126,232,54.3,0,0.6,-0.6,8,55,12,7,60,Matches,f7dc2ae5
142,Gorka Elustondo,es ESP,MF,Rayo Vallecano,31,1987,3.2,107,133,80.5,2274,784,39,47,83.0,44,52,84.6,21,28,75.0,0,0.2,-0.2,2,9,3,1,12,Matches,7b309e55
143,Rodrigo Ely,br BRA,DF,Alavés,24,1993,4.8,100,135,74.1,2651,994,23,26,88.5,46,56,82.1,31,49,63.3,0,0.0,0.0,1,8,0,0,5,Matches,fd47b4f2
144,Adri Embarba,es ESP,FWMF,Rayo Vallecano,26,1992,25.4,510,837,60.9,9910,3364,230,293,78.5,176,255,69.0,89,231,38.5,6,6.2,-0.2,56,34,24,15,40,Matches,db8f0eba
145,Emerson,br BRA,DF,Betis,19,1999,3.5,164,202,81.2,2309,884,108,122,88.5,43,57,75.4,8,13,61.5,0,0.3,-0.3,5,4,7,2,14,Matches,df8b52a5
146,Youssef En-Nesyri,ma MAR,FW,Leganés,21,1997,23.4,278,495,56.2,4351,1104,176,264,66.7,68,137,49.6,26,60,43.3,2,1.2,+0.8,15,26,8,3,37,Matches,04e17fd5
147,Sergi Enrich,es ESP,FW,Eibar,28,1990,28.7,683,926,73.8,9507,1207,446,565,78.9,181,254,71.3,31,45,68.9,4,3.6,+0.4,27,29,13,1,38,Matches,bb4b1242
148,Javier Eraso,es ESP,MFFW,Leganés,28,1990,7.0,175,229,76.4,2862,529,92,104,88.5,64,80,80.0,16,33,48.5,0,0.8,-0.8,6,17,1,0,9,Matches,aec0fb6f
149,Gonzalo Escalante,ar ARG,MF,Eibar,25,1993,19.9,597,768,77.7,11065,2206,251,308,81.5,271,325,83.4,69,107,64.5,1,0.9,+0.1,9,60,7,1,59,Matches,3f79a1c8
150,Sergio Escudero,es ESP,DFMF,Sevilla,28,1989,17.2,752,951,79.1,13180,5433,342,371,92.2,334,402,83.1,64,146,43.8,1,1.1,-0.1,10,61,27,9,84,Matches,b0616e3d
151,Bernardo Espinosa,co COL,DF,Girona,29,1989,30.3,1203,1365,88.1,28127,8029,215,236,91.1,728,782,93.1,258,336,76.8,1,0.9,+0.1,5,22,3,1,48,Matches,4242011c
152,Beñat Etxebarria,es ESP,MF,Athletic Club,31,1987,22.6,992,1241,79.9,20710,5579,371,410,90.5,415,471,88.1,194,331,58.6,2,2.4,-0.4,32,122,18,4,102,Matches,b037bd4f
153,Xabier Etxeita,es ESP,DF,Huesca,30,1987,29.7,659,866,76.1,14516,6094,209,237,88.2,294,344,85.5,147,262,56.1,0,0.2,-0.2,2,54,3,0,62,Matches,4a895384
154,Zouhair Feddal,ma MAR,DF,Betis,29,1989,18.9,1107,1286,86.1,23716,7080,338,375,90.1,591,631,93.7,175,272,64.3,1,0.5,+0.5,4,80,8,0,64,Matches,89151b16
155,Aitor Fernández,es ESP,GK,Levante,27,1991,16.0,270,456,59.2,9852,6701,24,24,100.0,97,99,98.0,148,332,44.6,0,0.0,0.0,0,9,0,0,0,Matches,a01c3d54
156,Andrés Fernández,es ESP,GK,Villarreal,31,1986,6.0,133,187,71.1,4831,3098,7,7,100.0,57,57,100.0,69,123,56.1,0,0.0,0.0,1,0,0,0,0,Matches,307fcd26
157,Borja Fernández,es ESP,MFDF,Valladolid,37,1981,9.3,308,391,78.8,6397,1662,108,132,81.8,141,170,82.9,55,81,67.9,0,0.0,0.0,0,19,0,0,23,Matches,9127f9ce
158,Joaquín Fernández,es ESP,DFMF,Valladolid,22,1996,9.3,244,300,81.3,4840,1290,75,86,87.2,133,147,90.5,34,57,59.6,0,0.0,0.0,1,7,0,0,13,Matches,b86a64b2
159,David Ferreiro,es ESP,FWMF,Huesca,30,1988,25.3,645,1033,62.4,12093,4100,295,358,82.4,230,351,65.5,105,281,37.4,3,4.5,-1.5,51,45,43,23,65,Matches,8970907e
160,Facundo Ferreyra,ar ARG,FWMF,Espanyol,27,1991,2.3,32,47,68.1,463,76,20,24,83.3,10,17,58.8,1,2,50.0,0,0.0,0.0,0,1,0,0,2,Matches,b39a793e
161,Junior Firpo,es ESP,DFMF,Betis,21,1996,21.5,915,1131,80.9,15407,4710,447,506,88.3,387,476,81.3,66,109,60.6,4,2.1,+1.9,19,42,16,4,70,Matches,24f59bb2
162,Mathieu Flamini,fr FRA,MF,Getafe,34,1984,5.0,90,131,68.7,1662,544,39,57,68.4,35,50,70.0,14,22,63.6,0,0.0,0.0,1,7,1,0,11,Matches,148d4105
163,Pablo Fornals,es ESP,MFFW,Villarreal,22,1996,27.5,926,1194,77.6,16907,4940,430,514,83.7,354,431,82.1,126,189,66.7,3,4.8,-1.8,43,108,40,8,114,Matches,82927de4
164,Dimitri Foulquier,fr FRA,MFFW,Getafe,25,1993,20.0,291,475,61.3,5057,1846,142,187,75.9,111,173,64.2,33,71,46.5,2,1.7,+0.3,15,26,9,4,36,Matches,45e17712
165,Javi Fuego,es ESP,MF,Villarreal,34,1984,2.6,108,136,79.4,1897,734,46,53,86.8,50,57,87.7,9,17,52.9,0,0.0,0.0,0,12,0,0,9,Matches,2e8fc160
166,Ramiro Funes Mori,ar ARG,DFMF,Villarreal,27,1991,29.2,995,1211,82.2,23044,6903,255,286,89.2,489,545,89.7,246,362,68.0,1,0.5,+0.5,6,73,4,0,67,Matches,89cbc961
167,Javi Galán,es ESP,DFMF,Huesca,23,1994,16.0,421,627,67.1,7173,3623,202,241,83.8,168,233,72.1,44,118,37.3,2,1.8,+0.2,19,28,17,14,36,Matches,a4b00319
168,Álex Gallar,es ESP,MFFW,Huesca,26,1992,11.2,345,470,73.4,6464,2436,159,196,81.1,124,159,78.0,57,99,57.6,1,2.5,-1.5,26,31,17,6,40,Matches,36d5469c
169,Enric Gallego,es ESP,FW,Huesca,31,1986,17.1,222,383,58.0,3001,836,137,211,64.9,58,108,53.7,13,25,52.0,1,1.7,-0.7,14,15,10,3,33,Matches,82e9b89d
170,Álex Gálvez,es ESP,DF,Rayo Vallecano,29,1989,15.7,556,676,82.2,11892,4490,169,183,92.3,275,304,90.5,103,172,59.9,0,0.2,-0.2,3,28,2,0,26,Matches,960fb42d
171,Kévin Gameiro,fr FRA,FW,Valencia,31,1987,17.9,334,434,77.0,4684,767,208,240,86.7,110,140,78.6,11,18,61.1,1,3.1,-2.1,25,17,13,0,25,Matches,42276181
172,Cristian Ganea,ro ROU,MF,Athletic Club,26,1992,0.5,10,11,90.9,273,95,0,0,,8,8,100.0,2,3,66.7,0,0.0,0.0,0,2,1,0,2,Matches,baf5665c
173,Ezequiel Garay,ar ARG,DF,Valencia,31,1986,23.7,908,1066,85.2,20429,6945,224,247,90.7,507,542,93.5,173,271,63.8,0,0.4,-0.4,4,81,4,0,70,Matches,ac3fb1be
174,Borja Garcés,es ESP,FW,Atlético Madrid,18,1999,0.2,2,4,50.0,28,7,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches,bc39454c
175,Alberto García,es ESP,GK,Rayo Vallecano,33,1985,17.0,381,532,71.6,13536,8694,35,36,97.2,158,164,96.3,188,332,56.6,0,0.0,0.0,0,9,0,0,0,Matches,17d9e354
176,Aleix García,es ESP,MF,Girona,21,1997,18.5,929,1126,82.5,18453,5118,382,425,89.9,386,443,87.1,152,238,63.9,1,1.3,-0.3,25,81,16,3,95,Matches,a10361d2
177,Álvaro García,es ESP,FWMF,Rayo Vallecano,25,1992,19.6,309,507,60.9,5197,1632,166,221,75.1,104,177,58.8,31,73,42.5,2,1.5,+0.5,19,24,14,6,35,Matches,90bbd822
178,Borja García,es ESP,FWMF,Girona,27,1990,29.2,1102,1350,81.6,19282,4791,543,604,89.9,407,479,85.0,136,217,62.7,3,4.2,-1.2,36,91,39,3,116,Matches,e7f4603c
179,Dani García,es ESP,MF,Athletic Club,28,1990,27.5,1165,1391,83.8,23655,5097,408,462,88.3,550,629,87.4,197,275,71.6,1,0.2,+0.8,5,101,3,0,83,Matches,240d3a0b
180,Javi García,es ESP,DFMF,Betis,31,1987,5.8,424,451,94.0,8115,2448,141,148,95.3,240,248,96.8,43,51,84.3,0,0.0,0.0,0,25,0,0,26,Matches,167c1bb0
181,Manu García,es ESP,MF,Alavés,32,1986,25.9,718,951,75.5,12736,3586,334,418,79.9,274,348,78.7,84,131,64.1,1,0.8,+0.2,12,77,6,2,79,Matches,05a4465d
182,Raúl García,es ESP,DF,Leganés,29,1989,4.2,74,131,56.5,1549,794,27,34,79.4,35,53,66.0,12,38,31.6,0,0.0,0.0,0,5,0,0,5,Matches,1a317a1b
183,Raúl García,es ESP,DF,Girona,29,1989,9.4,352,500,70.4,6250,2875,160,182,87.9,151,195,77.4,32,103,31.1,1,0.5,+0.5,6,26,8,6,25,Matches,1a317a1b
184,Raúl García,es ESP,MFFW,Athletic Club,32,1986,26.3,548,939,58.4,9327,3326,290,398,72.9,194,344,56.4,56,148,37.8,3,2.7,+0.3,23,72,30,3,100,Matches,b418dbd4
185,Sergio García,es ESP,FWMF,Espanyol,35,1983,16.5,328,515,63.7,5749,2022,175,228,76.8,113,162,69.8,36,91,39.6,1,2.7,-1.7,25,31,37,13,71,Matches,2bee98fd
186,Mario Gaspar,es ESP,DF,Villarreal,27,1990,28.9,1068,1326,80.5,18148,7762,490,540,90.7,494,590,83.7,70,159,44.0,2,2.8,-0.8,17,80,23,9,102,Matches,fb5d47b3
187,Joris Gnagnon,fr FRA,DFMF,Sevilla,21,1997,5.0,231,260,88.8,4531,1114,77,85,90.6,123,134,91.8,26,34,76.5,0,0.1,-0.1,1,23,1,0,19,Matches,1232e1dc
188,Diego Godín,uy URU,DF,Atlético Madrid,32,1986,27.9,856,1054,81.2,18047,7345,288,319,90.3,401,455,88.1,162,263,61.6,1,0.1,+0.9,2,56,3,0,54,Matches,fc4f85b1
189,Ibai Gómez,es ESP,FW,Athletic Club,28,1989,6.4,201,292,68.8,3352,1316,114,127,89.8,55,75,73.3,27,70,38.6,2,1.1,+0.9,14,18,12,9,16,Matches,9d2a3d5f
190,Ibai Gómez,es ESP,MFFW,Alavés,28,1989,16.1,389,570,68.2,7003,2736,209,245,85.3,124,171,72.5,52,131,39.7,2,1.8,+0.2,18,35,17,10,48,Matches,9d2a3d5f
191,Maxi Gómez,uy URU,FW,Celta Vigo,21,1996,32.9,516,705,73.2,8530,1430,270,350,77.1,172,222,77.5,54,83,65.1,5,3.0,+2.0,27,40,15,2,49,Matches,4c2e9442
192,Moi Gómez,es ESP,MF,Huesca,24,1994,33.9,1234,1557,79.3,24835,7685,492,559,88.0,508,591,86.0,217,375,57.9,7,3.8,+3.2,50,137,28,13,143,Matches,5a626448
193,Sergi Gómez,es ESP,DF,Sevilla,26,1992,30.7,1239,1437,86.2,27311,9029,355,389,91.3,648,707,91.7,226,311,72.7,0,0.6,-0.6,7,65,4,2,73,Matches,bc6f5f06
194,Maxime Gonalons,fr FRA,MF,Sevilla,29,1989,6.0,274,333,82.3,5743,1633,105,120,87.5,115,132,87.1,53,73,72.6,0,0.0,0.0,1,25,1,0,30,Matches,b8c1de25
195,Álvaro González,es ESP,DF,Villarreal,28,1990,32.9,1208,1508,80.1,28109,11167,307,338,90.8,619,705,87.8,279,449,62.1,2,0.4,+1.6,6,131,14,2,139,Matches,42dcf26d
196,Bruno González,es ESP,DF,Getafe,28,1990,18.9,386,531,72.7,9458,2413,87,113,77.0,189,228,82.9,105,172,61.0,1,0.2,+0.8,3,18,2,1,26,Matches,f11fe861
197,Cristo González,es ESP,FW,Real Madrid,20,1997,0.5,10,11,90.9,190,52,3,3,100.0,5,6,83.3,1,1,100.0,0,0.0,0.0,1,0,1,0,1,Matches,896b5df2
198,Andoni Gorosabel,es ESP,DF,Real Sociedad,21,1996,5.1,229,283,80.9,3573,1331,133,151,88.1,84,101,83.2,12,23,52.2,0,0.5,-0.5,5,9,6,2,17,Matches,6f5f82c0
199,Álex Granell,es ESP,MFDF,Girona,29,1988,26.6,1084,1520,71.3,23493,8919,390,461,84.6,469,584,80.3,215,445,48.3,4,4.8,-0.8,54,144,38,18,164,Matches,a25250f8
200,Esteban Granero,es ESP,MF,Espanyol,31,1987,22.4,983,1182,83.2,18036,4874,418,462,90.5,431,489,88.1,118,204,57.8,1,1.2,-0.2,27,95,19,2,95,Matches,1b17ed86
201,Antoine Griezmann,fr FRA,FW,Atlético Madrid,27,1991,35.5,1136,1510,75.2,18302,4920,646,766,84.3,349,458,76.2,111,211,52.6,8,6.6,+1.4,72,82,71,8,131,Matches,df69b544
202,Andrés Guardado,mx MEX,MFDF,Betis,31,1986,25.9,1442,1666,86.6,27573,5985,618,664,93.1,627,698,89.8,191,276,69.2,4,4.1,-0.1,33,112,32,4,108,Matches,ef322658
203,Sergi Guardiola,es ESP,FW,Valladolid,27,1991,16.8,229,358,64.0,3755,714,129,176,73.3,64,96,66.7,30,53,56.6,1,1.6,-0.6,9,15,10,1,26,Matches,32974271
204,Sergi Guardiola,es ESP,FWMF,Getafe,27,1991,0.3,7,14,50.0,116,24,5,7,71.4,1,1,100.0,1,3,33.3,0,0.0,0.0,0,1,1,0,1,Matches,32974271
205,Gonçalo Guedes,pt POR,MFFW,Valencia,21,1996,16.3,466,655,71.1,7840,2419,237,288,82.3,183,247,74.1,40,84,47.6,3,3.5,-0.5,21,46,46,8,86,Matches,e6bc67d7
206,Javi Guerra,es ESP,FWMF,Rayo Vallecano,36,1982,2.6,61,73,83.6,860,140,37,39,94.9,17,23,73.9,5,7,71.4,1,0.5,+0.5,3,3,0,0,4,Matches,aa386464
207,Francis Guerrero,es ESP,DFMF,Betis,22,1996,19.8,795,1000,79.5,12376,4164,426,481,88.6,298,373,79.9,50,93,53.8,1,2.0,-1.0,15,23,23,8,50,Matches,59d53e8a
208,Ander Guevara,es ESP,MF,Real Sociedad,21,1997,1.0,43,44,97.7,815,196,17,17,100.0,18,19,94.7,6,6,100.0,0,0.1,-0.1,1,5,1,1,1,Matches,8e48dc61
209,John Guidetti,se SWE,FW,Alavés,26,1992,7.0,107,158,67.7,1407,332,70,88,79.5,27,50,54.0,4,9,44.4,1,0.6,+0.4,8,5,5,3,9,Matches,99bebd12
210,Gerard Gumbau,es ESP,MF,Leganés,23,1994,13.3,318,448,71.0,6250,1802,133,156,85.3,136,170,80.0,46,104,44.2,1,0.4,+0.6,7,22,5,3,30,Matches,ac454a4f
211,Serdar Gürler,tr TUR,FWMF,Huesca,26,1991,5.4,104,160,65.0,1493,447,66,89,74.2,27,41,65.9,7,16,43.8,1,0.3,+0.7,6,5,7,4,13,Matches,8d2ad5c0
212,Gorka Guruzeta,es ESP,FWMF,Athletic Club,21,1996,0.6,8,10,80.0,99,25,5,5,100.0,3,5,60.0,0,0,,0,0.1,-0.1,1,0,1,0,1,Matches,6b5ea2f4
213,Hacen,mr MTN,FW,Valladolid,20,1997,0.0,0,3,0.0,0,0,0,1,0.0,0,0,,0,2,0.0,0,0.0,0.0,0,0,0,0,0,Matches,7c689c48
214,Munir El Haddadi,ma MAR,FW,Barcelona,22,1995,1.7,48,63,76.2,597,140,38,44,86.4,8,14,57.1,2,4,50.0,1,0.9,+0.1,3,2,0,0,1,Matches,8696bc90
215,Munir El Haddadi,ma MAR,FWMF,Sevilla,22,1995,11.6,246,337,73.0,3262,774,155,184,84.2,66,99,66.7,9,27,33.3,1,1.1,-0.1,9,20,7,2,22,Matches,8696bc90
216,Uche Henry Agbo,ng NGA,MF,Rayo Vallecano,22,1995,4.1,183,201,91.0,3275,797,92,96,95.8,62,69,89.9,26,30,86.7,0,0.0,0.0,1,16,2,0,15,Matches,98554bfd
217,Mario Hermoso,es ESP,DF,Espanyol,23,1995,31.2,1380,1631,84.6,31544,10831,377,414,91.1,690,767,90.0,302,425,71.1,0,0.1,-0.1,4,79,3,0,85,Matches,555f3a0b
218,Lucas Hernández,fr FRA,DF,Atlético Madrid,22,1996,12.4,455,556,81.8,8182,3089,212,235,90.2,188,223,84.3,49,78,62.8,0,0.7,-0.7,3,25,7,4,33,Matches,c3ee18ef
219,Theo Hernández,fr FRA,DF,Real Sociedad,20,1997,22.0,960,1173,81.8,15965,5110,484,537,90.1,402,466,86.3,66,123,53.7,2,1.5,+0.5,17,40,20,9,71,Matches,d4c9725f
220,Yangel Herrera,ve VEN,MFDF,Huesca,20,1998,12.8,365,467,78.2,6066,2145,192,225,85.3,126,155,81.3,38,70,54.3,0,0.3,-0.3,5,41,5,0,35,Matches,e778654a
221,Iago Herrerín,es ESP,GK,Athletic Club,30,1988,31.0,564,988,57.1,27332,21793,27,28,96.4,136,139,97.8,401,820,48.9,1,0.4,+0.6,2,49,3,0,0,Matches,9109185e
222,Pablo Hervías,es ESP,MF,Eibar,25,1993,2.0,47,82,57.3,733,208,25,33,75.8,15,20,75.0,5,23,21.7,1,0.3,+0.7,6,2,2,2,0,Matches,ba5a9545
223,Pablo Hervías,es ESP,MFFW,Valladolid,25,1993,1.8,45,60,75.0,855,142,17,20,85.0,21,26,80.8,6,12,50.0,0,0.2,-0.2,1,2,0,0,2,Matches,ba5a9545
224,Andrew Hjulsager,dk DEN,MFFW,Celta Vigo,23,1995,4.0,94,135,69.6,1636,626,47,56,83.9,40,53,75.5,6,20,30.0,3,1.0,+2.0,5,9,7,4,9,Matches,2ef16f06
225,Wesley Hoedt,nl NED,DF,Celta Vigo,24,1994,9.9,420,495,84.8,9958,3139,96,110,87.3,223,240,92.9,96,136,70.6,0,0.2,-0.2,3,34,0,0,19,Matches,875898c7
226,Robert Ibáñez,es ESP,FWMF,Getafe,25,1993,0.8,16,18,88.9,203,42,12,13,92.3,4,4,100.0,0,1,0.0,0,0.0,0.0,0,2,0,0,2,Matches,c7429db3
227,Vicente Iborra,es ESP,MFFW,Villarreal,30,1988,18.5,632,787,80.3,11252,2576,285,347,82.1,264,316,83.5,72,96,75.0,1,0.7,+0.3,5,50,7,0,48,Matches,ad1ffcfd
228,Borja Iglesias,es ESP,FW,Espanyol,25,1993,34.2,481,692,69.5,7074,1086,285,368,77.4,148,210,70.5,30,51,58.8,3,3.5,-0.5,33,21,13,2,31,Matches,75645f0e
229,Asier Illarramendi,es ESP,MF,Real Sociedad,28,1990,20.2,1046,1243,84.2,20368,5525,399,442,90.3,475,533,89.1,158,238,66.4,1,1.6,-0.6,13,109,10,0,106,Matches,5ce0b5ba
230,Giannelli Imbula,cd COD,MF,Rayo Vallecano,25,1992,19.2,666,747,89.2,12187,2883,283,305,92.8,286,304,94.1,85,118,72.0,1,0.7,+0.3,19,71,15,2,61,Matches,b86fe156
231,Pablo Insua,es ESP,DF,Huesca,24,1993,8.6,198,250,79.2,4580,1336,43,50,86.0,108,128,84.4,44,66,66.7,0,0.0,0.0,0,12,0,0,9,Matches,4b5e7e90
232,Takashi Inui,jp JPN,FWMF,Betis,30,1988,4.2,109,133,82.0,1797,330,57,63,90.5,40,48,83.3,9,13,69.2,0,0.1,-0.1,3,5,6,1,11,Matches,61bd33d0
233,Takashi Inui,jp JPN,MFFW,Alavés,30,1988,9.2,188,255,73.7,2961,813,100,116,86.2,65,85,76.5,16,35,45.7,0,0.4,-0.4,2,15,7,2,21,Matches,61bd33d0
234,Gorka Iraizoz,es ESP,GK,Girona,37,1981,6.2,150,229,65.5,5182,3335,10,10,100.0,66,68,97.1,74,151,49.0,0,0.0,0.0,0,5,0,0,0,Matches,26f2473f
235,Carlos Isaac,es ESP,DF,Atlético Madrid,20,1998,1.0,43,53,81.1,738,169,22,24,91.7,18,23,78.3,3,5,60.0,0,0.0,0.0,1,4,1,0,1,Matches,3e5a168c
236,Isco,es ESP,MFFW,Real Madrid,26,1992,13.2,837,985,85.0,13739,3454,449,491,91.4,285,320,89.1,83,133,62.4,2,2.3,-0.3,26,99,20,3,66,Matches,a0b4bb3e
237,Manuel Iturra,cl CHI,MF,Villarreal,34,1984,0.8,47,55,85.5,976,253,14,16,87.5,24,27,88.9,9,11,81.8,0,0.0,0.0,0,4,0,0,5,Matches,000b3da6
238,Ander Iturraspe,es ESP,MF,Athletic Club,29,1989,1.1,70,80,87.5,1335,457,27,27,100.0,36,45,80.0,7,8,87.5,0,0.0,0.0,0,7,0,0,7,Matches,6dce77a5
239,Ivi,es ESP,MFFW,Valladolid,24,1994,0.2,11,15,73.3,123,20,10,11,90.9,1,2,50.0,0,2,0.0,0,0.0,0.0,0,0,0,0,0,Matches,d2fa73e7
240,Adnan Januzaj,be BEL,FWMF,Real Sociedad,23,1995,13.9,367,553,66.4,7436,2518,180,199,90.5,112,150,74.7,72,173,41.6,3,2.0,+1.0,25,27,33,12,50,Matches,4737cebe
241,Jason,es ESP,MFFW,Levante,24,1994,25.9,576,839,68.7,10015,3791,296,355,83.4,208,282,73.8,62,155,40.0,5,5.1,-0.1,27,47,26,8,72,Matches,9038c2a1
242,Mathias Jensen,dk DEN,MFFW,Celta Vigo,22,1996,2.6,63,84,75.0,860,202,44,53,83.0,15,19,78.9,3,9,33.3,0,0.1,-0.1,1,4,1,0,4,Matches,0f134faf
243,Jesé,es ESP,FWMF,Betis,25,1993,8.7,151,204,74.0,2275,321,93,114,81.6,44,58,75.9,11,15,73.3,0,0.8,-0.8,7,9,6,0,13,Matches,4a537185
244,Joaquín,es ESP,FWDF,Betis,37,1981,18.8,798,981,81.3,13047,3557,437,488,89.5,289,345,83.8,62,117,53.0,0,3.3,-3.3,43,31,46,12,80,Matches,4c5b14d2
245,Jony,es ESP,MFFW,Alavés,27,1991,33.0,657,1183,55.5,14071,6293,269,365,73.7,209,329,63.5,166,433,38.3,11,7.3,+3.7,79,46,60,35,85,Matches,244f57b9
246,Joan Jordán,es ESP,MF,Eibar,24,1994,31.9,1505,1886,79.8,32904,7580,517,594,87.0,629,728,86.4,345,519,66.5,4,4.1,-0.1,65,184,36,13,151,Matches,2a0c8ba4
247,Willian José,br BRA,FW,Real Sociedad,26,1991,26.3,576,773,74.5,10502,1575,281,344,81.7,192,249,77.1,87,138,63.0,5,3.5,+1.5,33,35,22,4,48,Matches,d87e2cae
248,Aleksandar Jovanović,rs SRB,GK,Huesca,25,1992,12.0,158,335,47.2,6668,5007,16,16,100.0,46,48,95.8,95,269,35.3,0,0.0,0.0,0,7,0,0,0,Matches,129dd8e7
249,Jozabed,es ESP,MF,Celta Vigo,27,1991,12.8,611,721,84.7,12549,3166,226,256,88.3,260,289,90.0,117,157,74.5,0,1.0,-1.0,9,73,6,1,48,Matches,9b337c7c
250,Miguel Juan Llambrich,es ESP,DF,Villarreal,22,1996,6.0,174,236,73.7,3014,1232,74,89,83.1,86,108,79.6,12,33,36.4,0,0.3,-0.3,3,9,5,2,15,Matches,d83f09ff
251,Juanfran,es ESP,DF,Atlético Madrid,33,1985,17.9,796,983,81.0,12795,5074,437,488,89.5,294,358,82.1,60,111,54.1,2,2.5,-0.5,19,40,28,11,71,Matches,cfd8d664
252,Juanfran,es ESP,DF,Leganés,29,1988,16.2,450,669,67.3,8636,4397,196,228,86.0,175,246,71.1,72,169,42.6,1,2.2,-1.2,24,37,37,27,66,Matches,9ba48d64
253,Juanmi,es ESP,FWMF,Real Sociedad,25,1993,16.9,305,375,81.3,4581,796,186,209,89.0,90,108,83.3,21,33,63.6,2,1.5,+0.5,7,11,11,2,21,Matches,84399660
254,Juanpe,es ESP,DF,Girona,27,1991,30.7,1256,1515,82.9,28449,10836,288,318,90.6,723,791,91.4,238,388,61.3,0,0.4,-0.4,3,68,6,0,79,Matches,1633fc8a
255,Juanpi,ve VEN,MFFW,Huesca,24,1994,7.4,170,232,73.3,2825,804,93,110,84.5,50,66,75.8,22,47,46.8,2,0.5,+1.5,8,17,6,1,19,Matches,d79afcfc
256,David Juncà,es ESP,DF,Celta Vigo,24,1993,19.5,838,1044,80.3,14871,5836,359,395,90.9,394,458,86.0,75,168,44.6,3,0.8,+2.2,14,49,24,10,73,Matches,de7d40d6
257,Vinicius Júnior,br BRA,FW,Real Madrid,18,2000,9.7,229,315,72.7,3565,704,131,156,84.0,76,106,71.7,15,23,65.2,0,1.4,-1.4,14,7,13,6,22,Matches,7111d552
258,Gaël Kakuta,cd COD,MFFW,Rayo Vallecano,27,1991,8.0,189,280,67.5,3056,1175,104,130,80.0,62,97,63.9,18,41,43.9,0,0.3,-0.3,4,23,8,2,33,Matches,5b1bf5e3
259,Nikola Kalinić,hr CRO,FW,Atlético Madrid,30,1988,7.1,60,104,57.7,709,100,42,68,61.8,12,22,54.5,1,2,50.0,0,0.2,-0.2,3,2,2,0,3,Matches,d4931a5a
260,Lee Kangin,kr KOR,FWMF,Valencia,17,2001,0.3,8,15,53.3,134,58,6,7,85.7,1,3,33.3,1,4,25.0,0,0.0,0.0,1,1,1,0,2,Matches,8455ad90
261,Wilfrid Kaptoum,cm CMR,MF,Betis,22,1996,8.6,286,330,86.7,4354,779,149,165,90.3,110,123,89.4,16,25,64.0,0,0.1,-0.1,2,20,1,0,16,Matches,d717630e
262,Keko,es ESP,MFFW,Valladolid,26,1991,17.0,345,538,64.1,6400,1876,168,216,77.8,119,172,69.2,48,106,45.3,1,2.2,-1.2,14,23,20,15,40,Matches,1512328c
263,Kike,es ESP,FW,Eibar,28,1989,14.4,281,406,69.2,3916,651,170,220,77.3,84,123,68.3,12,28,42.9,0,1.4,-1.4,14,16,10,2,20,Matches,e897d8ba
264,Simon Kjær,dk DEN,DF,Sevilla,29,1989,22.3,772,899,85.9,16879,5813,224,247,90.7,396,418,94.7,140,215,65.1,0,0.4,-0.4,5,38,6,0,39,Matches,8b8a56ce
265,Kenan Kodro,ba BIH,FWMF,Athletic Club,24,1993,1.8,38,45,84.4,534,78,23,27,85.2,11,13,84.6,2,2,100.0,0,0.2,-0.2,2,0,0,0,2,Matches,e82d2807
266,Koke,es ESP,MF,Atlético Madrid,26,1992,28.7,1698,2057,82.5,28913,8922,835,903,92.5,618,714,86.6,199,368,54.1,5,3.3,+1.7,59,181,35,5,145,Matches,55126f3b
